Date,Conf Time,Entry Time,Instrument,Conf Type,Direction,Session,Entry Method,Status,Entry Price,Stop Price,Target Price,Exit Price
10/16/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2776.25,2773.75,2798,2798
10/12/2018,,11:55,ES,Confirmed,Short,RDR,Mode,W,2759.5,2763.5,2732.75,2732.75
10/11/2018,10:45,12:35,ES,Confirmed,Short,RDR,Mode,W,2779,2784.25,2740.5,2740.5
10/11/2018,10:45,10:50,ES,Confirmed,Short,RDR,Mode,EX,2774.5,2779.5,2740.5,2779.5
10/10/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,EX,2858.5,2863,2826,2863
10/10/2018,,9:30,ES,No Conf,Short,RDR,Advanced,W,2879.5,2882,2861,2861
10/09/2018,10:30,10:55,ES,Confirmed,Long,RDR,Mode,EX,2894,2891.5,2912.25,2891.5
10/04/2018,11:35,11:45,ES,Confirmed,Short,RDR,Mode,W,2907,2910.25,2892,2892
10/02/2018,,11:30,ES,Confirmed,Long,RDR,Advanced,W,2929.75,2928.5,2936,2936
10/02/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,BE,2927.5,2928.5,2922,2927.5
10/01/2018,10:30,10:45,ES,Wick,Long,RDR,Mode,EX,2938.75,2937.25,2947.25,2937.25
10/01/2018,10:30,10:35,ES,Wick,Long,RDR,Mode,EX,2940.25,2939,2947.25,2939
09/28/2018,10:30,10:35,ES,Wick,Long,RDR,Mode,W,2918.75,2917.75,2925,2925
09/27/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,BE,2924.75,2922.75,2934.25,2924.75
09/26/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2923.25,2922,2931.25,2931.25
09/26/2018,4:05,7:35,ES,Confirmed,Long,ODR,Advanced,EX,2926.75,2926,2930.25,2926
09/25/2018,10:55,12:10,ES,Confirmed,Short,RDR,Mode,W,2928.25,2929.25,2920.25,2920.25
09/25/2018,,10:45,ES,No Conf,Short,RDR,Frontrun,W,2926,2927,2920.25,2920.25
09/24/2018,10:35,11:05,ES,Confirmed,Short,RDR,Goldfish,EX,2921.25,2923.5,2913.25,2923.5
09/24/2018,,9:50,ES,No Conf,Long,RDR,Advanced,EX,2926,2924.75,2934.5,2924.75
09/21/2018,10:30,12:10,ES,Wick,Short,RDR,Mode,W,2943.5,2945,2934.5,2934.5
09/21/2018,10:30,10:45,ES,Wick,Short,RDR,Mode,EX,2941,2942.5,2934.5,2942.5
09/20/2018,,10:30,ES,No Conf,Long,In Between,Frontrun,W,2928.75,2927,2937.25,2937.25
09/20/2018,6:35,7:20,ES,Confirmed,Long,ODR,Advanced,W,2918.75,2917.5,2927.75,2927.75
09/19/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,BE,2912.75,2911.25,2922,2912.75
09/18/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2905.5,2904,2914.5,2914.5
09/17/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,W,2905,2906,2900.25,2900.25
09/13/2018,11:00,11:10,ES,Confirmed,Short,RDR,Mode,EX,2901,2903.5,2888.75,2903.5
09/11/2018,,10:50,ES,No Conf,Long,RDR,Frontrun,W,2877,2874.5,2892,2892
09/10/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,EX,2882.25,2883.75,2868.25,2883.75
09/10/2018,,9:55,ES,No Conf,Short,RDR,Advanced,BE,2885.25,2887.25,2868.25,2885.25
09/07/2018,,10:45,ES,No Conf,Long,RDR,Frontrun,BE,2877.25,2874.75,2892.25,2877.25
09/06/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,W,2884.75,2886.75,2870.75,2870.75
09/04/2018,10:50,11:05,ES,Confirmed,Long,RDR,Mode,EX,2897.5,2895.25,2912,2895.25
09/04/2018,,9:00,ES,No Conf,Short,In Between,Advanced,BE,2897.75,2899.25,2885,2897.75
08/31/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,EX,2903.75,2902.25,2914.5,2902.25
08/30/2018,10:30,11:45,ES,Confirmed,Long,RDR,Advanced,BE,2905.25,2904,2914.5,2905.25
08/29/2018,10:30,10:35,ES,Wick,Long,RDR,Mode,W,2905.25,2904.25,2914.25,2914.25
08/29/2018,,8:35,ES,No Conf,Long,In Between,Advanced,W,2898.25,2897,2908.25,2908.25
08/28/2018,10:45,11:30,ES,Confirmed,Short,RDR,Mode,BE,2900.5,2901.75,2893.25,2900.5
08/27/2018,11:55,12:05,ES,Confirmed,Long,RDR,Mode,EX,2897,2895.75,2905.25,2895.75
08/27/2018,,10:35,ES,No Conf,Long,In Between,Frontrun,EX,2894.25,2892.5,2905.25,2892.5
08/24/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2868,2867.25,2873.25,2873.25
08/23/2018,,10:35,ES,No Conf,Short,RDR,Advanced,W,2868.5,2870.25,2857.5,2857.5
08/21/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,EX,2867.5,2866.5,2873.25,2866.5
08/20/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,EX,2855.5,2857,2848.25,2857
08/17/2018,11:40,12:45,ES,Confirmed,Long,RDR,Mode,W,2843,2841,2853.5,2853.5
08/17/2018,,10:30,ES,No Conf,Long,RDR,Advanced,W,2835.75,2834.25,2853.5,2853.5
08/16/2018,10:30,10:50,ES,Confirmed,Long,RDR,Mode,W,2839.75,2838.75,2850.5,2850.5
08/15/2018,,11:15,ES,Confirmed,Short,RDR,Mode,EX,2810.5,2814.5,2799,2814.5
08/15/2018,,9:40,ES,No Conf,Short,RDR,Advanced,W,2826,2827.5,2810,2810
08/14/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2834.5,2832.75,2841.5,2841.5
08/13/2018,11:15,13:15,ES,Confirmed,Long,RDR,Advanced,BE,2822.25,2819.5,2835.75,2822.25
08/13/2018,,10:40,ES,No Conf,Long,RDR,Frontrun,EX,2841.75,2840.25,2853.5,2840.25
08/13/2018,4:40,7:35,ES,Confirmed,Long,ODR,Advanced,W,2828.75,2827.5,2841.5,2841.5
08/10/2018,11:20,12:00,ES,Confirmed,Long,RDR,Median,EX,2838.25,2836.25,2850.5,2836.25
08/10/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,BE,2838.75,2840.75,2825.5,2838.75
08/09/2018,10:40,11:55,ES,Confirmed,Long,RDR,Retired,BE,2856.25,2855,2862.75,2856.25
08/09/2018,10:40,11:00,ES,Confirmed,Long,RDR,Mode,EX,2860,2858.75,2866.5,2858.75
08/08/2018,10:55,12:05,ES,Confirmed,Long,RDR,Median,EX,2856.5,2855.5,2864,2855.5
08/07/2018,10:35,11:50,ES,Confirmed,Long,RDR,Mode,BE,2859.25,2857.75,2866.75,2859.25
08/07/2018,10:30,10:35,ES,Wick,Long,RDR,Mode,BE,2860.5,2859.25,2866.75,2860.5
08/06/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2840,2838.5,2851.25,2851.25
08/03/2018,,10:55,ES,Wick,Long,RDR,Mode,EX,2831.25,2830,2840.75,2830
08/02/2018,10:35,11:10,ES,No Conf,Long,RDR,Frontrun,W,2805.75,2803.5,2826,2826
08/01/2018,10:35,11:00,ES,Confirmed,Long,RDR,Mode,EX,2822.5,2821,2831,2821
07/31/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,EX,2812.5,2814.5,2801.25,2814.5
07/30/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,W,2816.75,2818,2803.75,2803.75
07/27/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,W,2837.25,2838.75,2821.75,2821.75
07/26/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2838.75,2837,2845.75,2845.75
