Date,Conf Time,Entry Time,Instrument,Conf Type,Direction,Session,Entry Method,Status,Entry,Stop,Target,Exit
03/16/2018,,9:35,ES,No Conf,Long,RDR,M7 Candle,W,2757.75,2756,2771,2760.25
03/15/2018,11:00,12:20,ES,Confirmed,Long,RDR,Mode,EX,2758,2755.75,2768.75,2755.75
03/15/2018,,9:35,ES,No Conf,Short,RDR,M7 Candle,EX,2756.75,2759.75,2743.75,2759.75
03/14/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,W,2767,2769.25,2752.25,2752.25
03/07/2018,10:30,13:20,ES,Confirmed,Long,RDR,Missed,W,2705.75,2702.25,2727.5,2727.5
03/06/2018,,10:25,ES,No Conf,Short,RDR,Mode,W,2726.5,2729.75,2707.75,2722
03/02/2018,10:40,11:20,ES,Confirmed,Long,RDR,Mode,W,2654,2650.5,2684.5,2684.5
03/01/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,BE,2718.25,2715.25,2737.75,2718.25
02/28/2018,,10:40,ES,No Conf,Short,RDR,Frontrun,W,2755.25,2757.75,2738.5,2738.5
02/27/2018,10:45,11:15,ES,Confirmed,Short,RDR,Missed,W,2776.25,2779.25,2747.75,2747.75
02/26/2018,,9:35,ES,No Conf,Long,RDR,M7 Candle,BE,2760,2758.25,2774.25,2760
02/23/2018,11:00,11:15,ES,Confirmed,Long,RDR,Missed,W,2719.75,2717.75,2743.5,2743.5
02/22/2018,,9:45,ES,No Conf,Short,RDR,Advanced,BE,2717.75,2721.75,2682.25,2717.75
02/20/2018,,10:10,ES,No Conf,Short,RDR,Advanced,EX,2724.75,2727.75,2709,2727.75
02/16/2018,,10:25,ES,No Conf,Long,RDR,Frontrun,W,2736.25,2733.75,2751,2751
02/16/2018,,9:35,ES,No Conf,Long,RDR,M7 Candle,BE,2728.25,2726,2746.75,2728.25
02/15/2018,,10:10,ES,Confirmed,Short,RDR,Frontrun,W,2710.25,2713,2693.25,2693.25
02/12/2018,,10:35,ES,No Conf,Long,RDR,Advanced,W,2631,2626,2680.75,2662.5
02/12/2018,,9:35,ES,No Conf,Long,RDR,Advanced,EX,2648,2643.25,2680.75,2643.25
02/08/2018,,8:55,ES,No Conf,Long,In Between,Advanced,EX,2683,2679.25,2727,2679.25
02/07/2018,,9:35,ES,No Conf,Long,RDR,M7 Candle,W,2689.75,2685,2725.25,2725.25
02/05/2018,,12:00,ES,No Conf,Short,RDR,Advanced,W,2749.25,2754,2712.75,2712.75
02/05/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,BE,2753.5,2749.75,2780.5,2753.5
02/01/2018,11:25,11:30,ES,Confirmed,Long,RDR,Mode,W,2826.25,2824,2839.5,2831.5
02/01/2018,,9:55,ES,No Conf,Long,RDR,Advanced,EX,2821.5,2818,2839.5,2818
01/30/2018,,9:45,ES,No Conf,Long,RDR,Advanced,EX,2832.25,2829.25,2856.75,2829.25
01/29/2018,,9:40,ES,No Conf,Long,RDR,Advanced,EX,2869.5,2867.75,2878.75,2867.75
01/26/2018,10:35,11:05,ES,Confirmed,Long,RDR,Mode,W,2852.75,2851.5,2862.75,2862.75
01/24/2018,,10:50,ES,No Conf,Long,RDR,Frontrun,EX,2852.25,2850.5,2862,2850.5
01/24/2018,,10:10,ES,No Conf,Long,RDR,Frontrun,EX,2854,2852.25,2862,2852.25
01/23/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,BE,2838.5,2836.75,2848,2838.5
01/23/2018,,10:15,ES,No Conf,Long,RDR,Frontrun,EX,2837.25,2835.25,2848,2835.25
01/22/2018,,11:00,ES,No Conf,Long,RDR,Frontrun,W,2818.75,2815.75,2834.25,2834.25
01/22/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,EX,2821,2819,2833.25,2819
01/22/2018,,9:30,ES,No Conf,Long,RDR,Missed,W,2809.5,2808.25,2827.5,2827.5
01/19/2018,11:05,11:55,ES,Wick,Short,RDR,Mode,EX,2802.25,2804,2791.75,2804
01/19/2018,,11:00,ES,No Conf,Short,RDR,Mode,BE,2803.25,2804.75,2791.75,2803.25
01/19/2018,,9:45,ES,No Conf,Short,RDR,Mode,BE,2807,2809,2791.75,2807
01/18/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,EX,2799.75,2801,2791.5,2801
01/18/2018,,8:05,ES,No Conf,Short,ODR,Advanced,EX,2801.75,2803.25,2793.75,2803.25
01/17/2018,,9:45,ES,No Conf,Long,RDR,Advanced,EX,2783.75,2781.75,2794.25,2781.75
01/17/2018,,9:45,ES,No Conf,Long,RDR,Advanced,EX,2783,2780.75,2794.25,2780.75
01/12/2018,10:35,11:15,ES,Confirmed,Long,RDR,Mode,W,2779.25,2778,2787.75,2787.75
01/12/2018,,10:30,ES,No Conf,Long,RDR,Advanced,W,2778.75,2777.5,2784.75,2784.75
01/11/2018,,10:40,ES,No Conf,Long,RDR,Frontrun,W,2754.5,2753.25,2766.75,2766.75
01/09/2018,,10:55,ES,No Conf,Long,RDR,Mode,W,2749.5,2748.25,2758.5,2758.5
01/08/2018,11:10,11:25,ES,Confirmed,Long,RDR,Mode,W,2741.75,2740.75,2748,2748
01/04/2018,,9:35,ES,No Conf,Long,RDR,Mode,W,2721,2719,2730,2724
01/03/2018,,9:35,ES,No Conf,Long,RDR,M7 Candle,W,2698.25,2697.25,2710.5,2710.5
