Date,Entry Time,Instrument,Conf Type,Direction,Session,Entry Method,Status,Entry Price,Stop Price,Target Price,Exit Price
06/22/2022,8:35,ES,Confirmed,Long,In Between,Advanced,W,3706.5,3701.25,3768.5,3768.5
06/22/2022,11:55,ES,Confirmed,Long,RDR,Mode,W,3764.5,3756,3802,3802
06/21/2022,9:05,ES,Confirmed,Long,In Between,Advanced,W,3731.5,3727.5,3778.5,3778.5
06/21/2022,12:05,ES,Confirmed,Long,RDR,Mode,W,3761,3756.25,3782,3782
06/17/2022,7:20,ES,Confirmed,Long,ODR,Advanced,EX,3706.5,3698.75,3734.5,3698.75
06/15/2022,8:40,ES,Confirmed,Long,In Between,Mode,BE,3767.5,3763,3805.75,3767.5
06/15/2022,10:45,ES,Confirmed,Short,RDR,Mode,BE,3774.5,3779,3735.25,3774.5
06/15/2022,12:35,ES,Confirmed,Short,RDR,Mode,BE,3775.5,3780,3738,3775.5
06/15/2022,5:25,ES,Confirmed,Long,ODR,Mode,W,3753.5,3748.25,3786.25,3786.25
06/14/2022,10:10,ES,Confirmed,Short,RDR,Mode,BE,3761,3768.75,3707.25,3761
06/14/2022,9:30,ES,Confirmed,Short,RDR,Mode,BE,3768,3776.25,3704.75,3768
06/13/2022,11:10,ES,Confirmed,Long,RDR,Mode,BE,3758.5,3748,3857.5,3758.5
06/10/2022,7:30,ES,Confirmed,Short,ODR,Mode,W,4017.75,4025.25,3958.5,3958.5
06/09/2022,13:15,ES,Wick,Short,RDR,Mode,W,4105.25,4112.5,4049.5,4049.5
06/09/2022,10:20,ES,Confirmed,Long,RDR,Advanced,EX,4104.75,4098.75,4138.5,4098.75
06/09/2022,11:15,ES,Wick,Short,RDR,Mode,EX,4094.5,4104,4049.25,4104
06/08/2022,7:55,ES,Confirmed,Long,ODR,Advanced,EX,4146,4144,4158.75,4144
06/08/2022,9:40,ES,Confirmed,Long,RDR,Advanced,W,4138.75,4135,4158.75,4158.75
06/07/2022,6:40,ES,Confirmed,Short,ODR,Advanced,BE,4099,4104.5,4045,4099
