feature,importance
bars_held_norm,331.5548975894244
cand_stop_fraction_of_range,317.93897568151544
position_dir,277.1415668714257
f_wddrb_rr_hi,144.90816048040242
f_wddrb_mid,144.57003312199583
f_wddrb_rr_lo,144.0898895434868
cand_stop_rejection,126.21106332827858
f_open,122.03583227189566
f_high,121.61878180864487
f_low,121.46211899742298
f_close,120.9347951282349
f_wddrb_open_price,116.24013798327746
cand_direction,104.7179145568587
bars_since_trade_norm,94.93757934942823
p_seq_intraday_p_high_holds,87.66241010126456
p_seq_intraday_p_high_holds_bucketed,87.63492932072594
p_seq_intraday_p_high_holds_reg,87.63098859261753
cand_hold_prob,83.11300899106983
f_current_wdr_time_idx,82.65516034726936
cand_level_delta_r,82.2878606704213
p_seq_asia_p_asia_high_in_TO,78.3376769405975
p_seq_asia_p_asia_high_in_OR,77.97733907321518
p_seq_asia_p_asia_high_in_OS,77.72917460389932
cand_perfect_stop,76.29563214953478
p_range_p_m7_time,74.94262996130172
p_seq_asia_p_asia_low_in_OR,73.99989499357726
f_low_time_idx,72.70536110321783
f_low_ar_sd,70.08770085858487
p_seq_asia_p_asia_low_in_TO,67.4116309500093
p_wddrb_post_high_percentile,65.93447366375756
p_seq_asia_p_asia_low_in_OS,64.8472831464392
cand_target_prob,63.46964735374572
f_wddrb_full_high_sd,61.03893621053754
f_current_time_idx,58.31739765299915
f_asia_range_low_quarters,56.994134185445205
cand_rr,55.57547721014437
p_wddrb_p_post_high_holds,53.941226799130916
f_asia_range_high_quarters,52.51332286342146
p_seq_asia_p_high_holds,52.51171102651007
p_seq_asia_p_high_holds_bucketed,52.50419636129662
p_seq_asia_p_high_holds_reg,52.488920529938106
p_seq_asia_p_low_holds,51.903079544252456
p_seq_asia_p_low_holds_bucketed,51.88577533500431
p_seq_asia_p_low_holds_reg,51.834333743402375
f_high_time_idx,51.479426824211295
p_wddrb_model_p_model_dx,51.043212970855684
p_box_daily_session_high_percentiles_RS,50.647767678333366
p_range_p_max_ext_time,50.097614828915425
p_range_p_max_ret_time,48.385139570352344
f_wddrb_sigma,47.959821283187935
p_wddrb_p_full_low_holds,47.7886094310773
cand_entry_confidence,47.39842735319471
p_seq_intraday_p_low_holds,47.10255074550967
p_seq_intraday_p_low_holds_reg,47.04519271869574
p_seq_daycycle_p_cycle_pair_24h,47.0179166589763
p_seq_intraday_p_low_holds_bucketed,46.97238126991734
p_box_daily_session_low_percentiles_TR,46.33683021842989
f_wddrb_current_post_index_30m,45.43564791666201
p_wddrb_p_full_high_holds,44.713392503599934
f_wdr_high_time_idx,44.57536904541828
p_seq_intraday_p_day_low_in_OS,43.96392128221463
p_box_daily_day_low_percentile,42.880833574036345
rej_prior_day_low,42.64186841446499
rej_asia_low,42.616716390746696
rej_weekly_low,42.56891340369624
rej_session_low,42.56225122879437
p_modeldb_p_odr_mid_broken,39.73490900627477
f_wddrb_post_high_sd,38.93765032571276
p_wddrb_model_p_model_ux,38.517873740716496
f_wddrb_full_high_index_30m,38.29950526647847
rej_asia_mid,38.266985955114244
rej_session_mid,38.23263072111871
p_wddrb_post_low_percentile,38.03778651456933
f_wdr_low_pct,37.112489952323074
p_seq_intraday_p_day_low_in_RS,35.87859028215936
p_wddrb_full_high_percentile,35.80297919484783
p_box_daily_session_low_percentiles_AS,35.544765462993944
f_low_pct,35.098965349602736
p_wddrb_p_post_low_holds,35.0872178258941
p_box_daily_session_low_percentiles_RS,35.03067598915874
f_day_low_pct_vs_tue_mid,34.742328920394044
rej_weekly_high,34.12582250645984
rej_session_high,34.02897405578062
rej_prior_day_high,34.022640935540174
rej_asia_high,33.99977615733998
p_weekly_week_high_percentile_reached,33.5162277130827
p_weekly_current_day_low_percentile_reached,33.33882501015736
f_wddrb_post_total_index_30m,31.583097392618203
rej_wddrb_low,31.229403049514275
p_seq_daycycle_p_lo_hold_24h,31.041894573455
p_seq_daycycle_p_cycle_pair_low_hold,31.01808410672363
p_seq_intraday_p_day_low_in_TR,30.490135470694213
f_wddrb_post_high_index_30m,29.676217836205
p_box_daily_session_high_percentiles_OS,29.04281164680602
f_wddrb_open_finalized,28.86260951160209
f_wddrb_full_low_index_30m,28.287010825484145
f_wddrb_post_low_index_30m,28.05119656955019
p_modeldb_p_model_uxp,27.14212130431212
rej_wick_wddrb_high,26.531851111212923
rej_wddrb_mid,25.856489985347498
p_range_p_m7_ret_sd,25.8246385296166
rej_close_wddrb_high,24.88970769278879
p_seq_daycycle_p_hi_hold_24h,24.735303979799077
p_seq_daycycle_p_cycle_pair_high_hold,24.62619369903088
p_seq_intraday_p_day_low_in_RR,23.98347058600219
p_box_daily_day_high_percentile,23.486790784378137
f_day_high_pct_vs_tue_mid,23.46317122667067
p_wddrb_full_low_percentile,23.310483515777904
p_seq_asia_lo_pct_percentile,22.831950605101035
f_week_low_pct_vs_tue_mid,22.473781673168553
p_range_p_max_ret_sd,22.26692420099902
p_wddrb_p_break_long,21.94298260530469
f_prior_session_break_out_direction,21.74715098003171
p_seq_intraday_hi_pct_percentile,21.656834534884354
f_wdr_low_time_idx,21.59458509515898
p_seq_intraday_lo_pct_percentile,21.464805433484575
p_range_p_false_session,21.274591254899708
p_seq_intraday_p_day_high_in_TR,20.864767968362784
p_range_p_max_ext_sd,20.834768089837297
p_seq_daycycle_hi_pct_percentile,20.277665044183998
p_seq_asia_p_asia_high_in_AS,20.155300860164957
f_wddrb_full_low_sd,19.618831531437632
p_modeldb_p_model_dxp,19.05962331270842
f_week_high_pct_vs_tue_mid,18.810310705831736
rej_wick_wddrb_mid,18.76045898925479
p_weekly_week_low_percentile_reached,18.602938112519332
rej_close_wddrb_mid,18.32721987095705
p_box_daily_session_high_percentiles_RR,18.220672960731815
p_box_daily_session_high_percentiles_TO,17.335503671107652
rej_close_asia_low,17.059117939841236
rej_close_session_low,17.059002395453174
rej_close_prior_day_low,17.05122774358004
rej_close_weekly_low,17.006660478602036
rej_close_asia_mid,16.995598139745848
rej_close_session_mid,16.96648116038319
p_seq_daycycle_lo_pct_percentile,16.9101341404951
f_current_session_time_idx_extension,16.89126960937032
f_wddrb_break_side,16.874735355860864
rej_wick_wddrb_low,16.84338155793541
p_wddrb_model_p_model_ug,16.820924801259526
p_modeldb_p_adr_mid_broken,16.414274857152144
p_wddrb_model_p_model_u,16.200524492188286
p_modeldb_p_model_rc,16.162449773082578
