entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_r,bars_held,exit_reason,entry_phase,stop_reason,target_reason
2009-01-12 01:00:00+00:00,2009-05-06 12:30:00+00:00,SHORT,882.75,909.75,909.75,0.0,-27.0,-1.0,22075,stop,range_forming,wddrb_high,asia_low
2009-05-06 15:15:00+00:00,2009-05-06 17:55:00+00:00,LONG,903.0,912.5,901.25,912.5,9.5,5.428571428571429,32,target,range_forming,wddrb_low,wddrb_high
2009-05-06 19:50:00+00:00,2009-05-06 20:00:00+00:00,SHORT,912.5,917.25,917.25,0.0,-4.75,-1.0,2,stop,breakout,wddrb_high,asia_low
2009-05-06 23:40:00+00:00,2009-05-06 23:45:00+00:00,SHORT,916.5,916.75,916.75,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,asia_low
2009-05-07 02:00:00+00:00,2009-05-07 07:15:00+00:00,SHORT,913.75,917.25,917.25,0.0,-3.5,-1.0,63,stop,breakout,wddrb_high,prior_day_low
2009-05-07 10:50:00+00:00,2009-05-07 17:50:00+00:00,LONG,923.0,901.25,901.25,988.25,-21.75,-1.0,84,stop,breakout,wddrb_low,min_rr
2009-05-07 19:55:00+00:00,2009-05-08 18:45:00+00:00,LONG,903.5,927.0,898.0,927.0,23.5,4.2727272727272725,260,target,breakout,wddrb_low,wddrb_high
2009-05-10 22:25:00+00:00,2009-05-11 13:35:00+00:00,LONG,919.0,909.75,909.75,946.75,-9.25,-1.0,182,stop,range_forming,wddrb_low,min_rr
2009-05-11 15:40:00+00:00,2009-05-20 13:30:00+00:00,SHORT,911.5,916.5,916.5,0.0,-5.0,-1.0,1885,stop,breakout,wddrb_high,asia_low
2009-05-20 15:25:00+00:00,2009-05-29 20:00:00+00:00,SHORT,916.5,923.5,923.5,0.0,-7.0,-1.0,1898,stop,range_forming,wddrb_high,asia_low
2009-05-31 23:35:00+00:00,2009-06-17 14:30:00+00:00,LONG,918.5,902.25,902.25,967.25,-16.25,-1.0,3447,stop,range_forming,wddrb_low,min_rr
2009-06-17 16:55:00+00:00,2009-06-17 17:35:00+00:00,SHORT,908.0,911.25,911.25,0.0,-3.25,-1.0,8,stop,breakout,wddrb_high,asia_low
2009-06-17 19:45:00+00:00,2009-06-18 14:00:00+00:00,SHORT,909.25,914.25,914.25,0.0,-5.0,-1.0,205,stop,breakout,wddrb_high,asia_low
2009-06-18 17:10:00+00:00,2009-06-19 09:15:00+00:00,SHORT,916.5,917.75,917.75,0.0,-1.25,-1.0,179,stop,breakout,wddrb_high,asia_low
2009-06-19 12:05:00+00:00,2009-06-22 13:40:00+00:00,LONG,920.0,903.5,903.5,969.5,-16.5,-1.0,287,stop,breakout,wddrb_low,min_rr
2009-06-22 15:50:00+00:00,2009-06-25 04:05:00+00:00,SHORT,893.5,907.75,907.75,0.0,-14.25,-1.0,680,stop,breakout,wddrb_high,asia_low
2009-06-25 06:00:00+00:00,2009-06-25 06:45:00+00:00,SHORT,905.5,906.5,906.5,891.5,-1.0,-1.0,9,stop,range_forming,wddrb_high,wddrb_low
2009-06-25 08:45:00+00:00,2009-06-25 12:45:00+00:00,SHORT,903.5,891.5,906.5,891.5,12.0,4.0,48,target,breakout,wddrb_high,wddrb_low
2009-06-25 15:20:00+00:00,2009-06-25 15:25:00+00:00,SHORT,904.75,905.75,905.75,0.0,-1.0,-1.0,1,stop,range_forming,wddrb_high,asia_low
2009-06-25 18:00:00+00:00,2009-06-25 20:00:00+00:00,SHORT,913.0,917.75,917.75,0.0,-4.75,-1.0,24,stop,breakout,wddrb_high,asia_low
2009-06-25 23:20:00+00:00,2009-06-26 12:30:00+00:00,SHORT,915.75,917.75,917.75,0.0,-2.0,-1.0,158,stop,range_forming,wddrb_high,asia_low
2009-06-26 14:45:00+00:00,2009-06-26 19:40:00+00:00,SHORT,910.75,916.25,916.25,0.0,-5.5,-1.0,59,stop,range_forming,wddrb_high,asia_low
2009-06-28 23:15:00+00:00,2009-06-29 11:40:00+00:00,SHORT,912.5,918.25,918.25,0.0,-5.75,-1.0,149,stop,range_forming,wddrb_high,asia_low
2009-06-29 14:15:00+00:00,2009-06-29 14:20:00+00:00,SHORT,917.5,918.25,918.25,0.0,-0.75,-1.0,1,stop,range_forming,wddrb_high,asia_low
