entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_r,bars_held,exit_reason,entry_phase,stop_reason,target_reason
2016-01-04 14:55:00+00:00,2016-01-04 15:00:00+00:00,LONG,1996.75,1996.5,1996.5,2001.0,-0.25,-1.0,1,stop,range_forming,intraday_low,wddrb_high
2016-01-04 17:05:00+00:00,2016-01-04 17:10:00+00:00,LONG,1987.5,1985.75,1985.75,2001.0,-1.75,-1.0,1,stop,breakout,intraday_low,wddrb_high
2016-01-04 19:25:00+00:00,2016-01-04 19:30:00+00:00,LONG,1993.75,1993.5,1993.5,2001.0,-0.25,-1.0,1,stop,breakout,intraday_low,wddrb_high
2016-01-04 23:10:00+00:00,2016-01-04 23:20:00+00:00,SHORT,2011.25,2012.0,2012.0,1980.25,-0.75,-1.0,2,stop,range_forming,intraday_high,wddrb_low
2016-01-05 01:35:00+00:00,2016-01-05 01:45:00+00:00,SHORT,2013.75,2015.5,2015.5,1980.25,-1.75,-1.0,2,stop,breakout,intraday_high,wddrb_low
2016-01-05 03:40:00+00:00,2016-01-05 03:45:00+00:00,SHORT,2015.75,2016.0,2016.0,1980.25,-0.25,-1.0,1,stop,breakout,intraday_high,wddrb_low
2016-01-05 12:10:00+00:00,2016-01-06 11:00:00+00:00,LONG,1995.75,1980.25,1980.25,2026.75,-15.5,-1.0,259,stop,breakout,wddrb_low,min_rr
2016-01-06 15:00:00+00:00,2016-01-06 15:20:00+00:00,LONG,1982.75,1987.75,1981.75,1987.75,5.0,5.0,4,target,range_forming,intraday_low,wddrb_high
2016-01-06 17:30:00+00:00,2016-01-06 18:05:00+00:00,LONG,1987.5,1985.75,1985.75,1995.5,-1.75,-1.0,7,stop,breakout,intraday_low,wddrb_high
2016-01-06 20:00:00+00:00,2016-01-07 01:55:00+00:00,LONG,1973.75,1970.5,1970.5,1995.5,-3.25,-1.0,56,stop,breakout,intraday_low,wddrb_high
2016-01-07 03:55:00+00:00,2016-01-07 04:00:00+00:00,LONG,1965.75,1965.0,1965.0,1995.5,-0.75,-1.0,1,stop,breakout,intraday_low,wddrb_high
2016-01-07 06:00:00+00:00,2016-01-07 06:10:00+00:00,LONG,1957.0,1956.25,1956.25,1995.5,-0.75,-1.0,2,stop,breakout,intraday_low,wddrb_high
2016-01-07 14:30:00+00:00,2016-01-07 14:35:00+00:00,LONG,1946.0,1949.0,1945.0,1949.0,3.0,3.0,1,target,range_forming,intraday_low,wddrb_high
2016-01-07 17:00:00+00:00,2016-01-07 17:05:00+00:00,LONG,1957.5,1956.0,1956.0,1969.0,-1.5,-1.0,1,stop,breakout,intraday_low,wddrb_high
2016-01-07 19:05:00+00:00,2016-01-07 19:10:00+00:00,LONG,1937.5,1935.75,1935.75,1969.0,-1.75,-1.0,1,stop,breakout,intraday_low,wddrb_high
2016-01-07 21:05:00+00:00,2016-01-07 23:10:00+00:00,LONG,1934.75,1930.25,1930.25,1969.0,-4.5,-1.0,10,stop,range_forming,wddrb_low,wddrb_high
2016-01-08 01:20:00+00:00,2016-01-08 16:25:00+00:00,SHORT,1958.5,1930.25,1969.0,1930.25,28.25,2.6904761904761907,181,target,range_forming,wddrb_high,wddrb_low
2016-01-08 18:35:00+00:00,2016-01-08 18:45:00+00:00,LONG,1937.75,1934.75,1934.75,1953.25,-3.0,-1.0,2,stop,breakout,intraday_low,wddrb_high
2016-01-08 20:40:00+00:00,2016-01-08 20:45:00+00:00,LONG,1918.75,1917.5,1917.5,1953.25,-1.25,-1.0,1,stop,breakout,intraday_low,wddrb_high
2016-01-11 01:55:00+00:00,2016-01-11 18:35:00+00:00,LONG,1902.25,1899.0,1899.0,1953.25,-3.25,-1.0,200,stop,range_forming,intraday_low,wddrb_high
2016-01-11 20:45:00+00:00,2016-01-11 20:55:00+00:00,LONG,1916.75,1915.5,1915.5,1929.0,-1.25,-1.0,2,stop,breakout,intraday_low,wddrb_high
2016-01-12 00:05:00+00:00,2016-01-13 19:20:00+00:00,LONG,1917.75,1892.5,1892.5,1968.25,-25.25,-1.0,504,stop,range_forming,wddrb_low,min_rr
2016-01-13 21:30:00+00:00,2016-01-14 01:10:00+00:00,LONG,1884.75,1878.0,1878.0,1943.25,-6.75,-1.0,32,stop,range_forming,wddrb_low,wddrb_high
2016-01-14 03:05:00+00:00,2016-01-14 03:10:00+00:00,SHORT,1887.75,1888.0,1888.0,1878.0,-0.25,-1.0,1,stop,breakout,intraday_high,wddrb_low
2016-01-14 05:40:00+00:00,2016-01-14 05:45:00+00:00,SHORT,1885.5,1887.5,1887.5,1878.0,-2.0,-1.0,1,stop,breakout,intraday_high,wddrb_low
2016-01-14 10:30:00+00:00,2016-01-14 11:05:00+00:00,LONG,1880.75,1878.0,1878.0,1886.25,-2.75,-1.0,7,stop,breakout,wddrb_low,min_rr
