entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_r,bars_held,exit_reason,entry_phase,stop_reason,target_reason
2016-01-04 00:55:00+00:00,2016-01-04 01:00:00+00:00,SHORT,2042.25,2042.5,2042.5,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,asia_low
2016-01-04 02:55:00+00:00,2016-01-04 03:00:00+00:00,SHORT,2029.25,2029.75,2029.75,0.0,-0.5,-1.0,1,stop,breakout,intraday_high,prior_day_low
2016-01-04 05:15:00+00:00,2016-01-04 05:20:00+00:00,SHORT,2019.25,2020.0,2020.0,0.0,-0.75,-1.0,1,stop,breakout,intraday_high,prior_day_low
2016-01-04 07:30:00+00:00,2016-01-04 08:00:00+00:00,SHORT,2013.0,2015.25,2015.25,0.0,-2.25,-1.0,6,stop,range_forming,intraday_high,prior_day_low
2016-01-04 14:30:00+00:00,2016-01-04 20:45:00+00:00,SHORT,1995.5,2001.0,2001.0,0.0,-5.5,-1.0,75,stop,range_forming,wddrb_high,asia_low
2016-01-05 00:10:00+00:00,2016-01-05 00:15:00+00:00,SHORT,2012.0,2012.5,2012.5,1980.25,-0.5,-1.0,1,stop,range_forming,intraday_high,wddrb_low
2016-01-05 02:15:00+00:00,2016-01-05 02:25:00+00:00,SHORT,2013.0,2013.75,2013.75,1980.25,-0.75,-1.0,2,stop,breakout,intraday_high,wddrb_low
2016-01-05 04:35:00+00:00,2016-01-05 04:45:00+00:00,SHORT,2012.0,2012.25,2012.25,0.0,-0.25,-1.0,2,stop,breakout,intraday_high,prior_day_low
2016-01-05 06:40:00+00:00,2016-01-05 19:20:00+00:00,SHORT,2012.5,2013.5,2013.5,0.0,-1.0,-1.0,152,stop,breakout,intraday_high,prior_day_low
2016-01-05 21:40:00+00:00,2016-03-11 15:40:00+00:00,SHORT,2012.5,2014.25,2014.25,0.0,-1.75,-1.0,12945,stop,range_forming,wddrb_high,asia_low
2016-03-11 17:35:00+00:00,2016-03-11 20:05:00+00:00,SHORT,2017.0,2019.0,2019.0,0.0,-2.0,-1.0,30,stop,breakout,wddrb_high,asia_low
2016-03-13 23:25:00+00:00,2016-03-16 19:35:00+00:00,SHORT,2017.75,2022.25,2022.25,0.0,-4.5,-1.0,788,stop,range_forming,wddrb_high,asia_low
2016-03-16 22:50:00+00:00,2016-03-17 00:25:00+00:00,SHORT,2017.5,2022.75,2022.75,0.0,-5.25,-1.0,19,stop,range_forming,wddrb_high,asia_low
2016-03-17 02:20:00+00:00,2016-03-17 02:25:00+00:00,SHORT,2023.0,2023.25,2023.25,0.0,-0.25,-1.0,1,stop,breakout,intraday_high,prior_day_low
2016-03-17 04:35:00+00:00,2016-03-17 07:05:00+00:00,SHORT,2022.5,2022.75,2022.75,0.0,-0.25,-1.0,30,stop,breakout,wddrb_high,prior_day_low
2016-03-17 09:10:00+00:00,2016-03-17 09:15:00+00:00,SHORT,2022.5,2022.75,2022.75,0.0,-0.25,-1.0,1,stop,breakout,wddrb_high,prior_day_low
2016-03-17 11:10:00+00:00,2016-03-17 14:55:00+00:00,SHORT,2010.25,2022.75,2022.75,0.0,-12.5,-1.0,45,stop,breakout,wddrb_high,prior_day_low
2016-03-17 17:15:00+00:00,2016-03-17 17:35:00+00:00,SHORT,2026.75,2031.0,2031.0,0.0,-4.25,-1.0,4,stop,breakout,wddrb_high,asia_low
2016-03-17 19:50:00+00:00,2016-03-18 10:45:00+00:00,SHORT,2031.5,2036.75,2036.75,0.0,-5.25,-1.0,164,stop,breakout,wddrb_high,asia_low
2016-03-18 12:40:00+00:00,2016-03-18 12:45:00+00:00,SHORT,2036.5,2036.75,2036.75,0.0,-0.25,-1.0,1,stop,range_forming,wddrb_high,asia_low
2016-03-18 14:40:00+00:00,2016-03-18 15:00:00+00:00,SHORT,2038.75,2040.75,2040.75,0.0,-2.0,-1.0,4,stop,range_forming,wddrb_high,asia_low
2016-03-18 17:00:00+00:00,2016-03-21 09:35:00+00:00,SHORT,2038.25,2042.75,2042.75,0.0,-4.5,-1.0,184,stop,breakout,wddrb_high,asia_low
2016-03-21 11:30:00+00:00,2016-03-21 17:25:00+00:00,SHORT,2039.0,2042.75,2042.75,0.0,-3.75,-1.0,71,stop,breakout,wddrb_high,prior_day_low
2016-03-21 19:20:00+00:00,2016-03-22 00:10:00+00:00,SHORT,2042.0,2044.5,2044.5,0.0,-2.5,-1.0,43,stop,breakout,wddrb_high,asia_low
2016-03-22 02:15:00+00:00,2016-03-22 16:50:00+00:00,SHORT,2042.0,2044.5,2044.5,0.0,-2.5,-1.0,175,stop,range_forming,wddrb_high,prior_day_low
2016-03-22 18:45:00+00:00,2016-03-29 19:20:00+00:00,SHORT,2046.5,2047.5,2047.5,0.0,-1.0,-1.0,1099,stop,breakout,wddrb_high,asia_low
2016-03-29 22:40:00+00:00,2016-03-29 22:50:00+00:00,SHORT,2047.5,2048.25,2048.25,0.0,-0.75,-1.0,2,stop,range_forming,intraday_high,asia_low
2016-03-30 00:45:00+00:00,2016-03-30 00:55:00+00:00,SHORT,2049.5,2049.75,2049.75,2019.25,-0.25,-1.0,2,stop,range_forming,intraday_high,wddrb_low
2016-03-30 02:50:00+00:00,2016-03-30 06:45:00+00:00,SHORT,2049.75,2050.0,2050.0,0.0,-0.25,-1.0,47,stop,range_forming,intraday_high,prior_day_low
2016-03-30 09:40:00+00:00,2016-06-24 03:45:00+00:00,LONG,2056.75,2019.25,2019.25,2169.25,-37.5,-1.0,16810,stop,breakout,wddrb_low,min_rr
2016-06-24 05:40:00+00:00,2016-06-24 05:45:00+00:00,LONG,2004.5,2002.25,2002.25,2105.0,-2.25,-1.0,1,stop,breakout,intraday_low,wddrb_high
2016-06-24 07:40:00+00:00,2016-07-08 12:30:00+00:00,SHORT,2033.5,2105.0,2105.0,0.0,-71.5,-1.0,2743,stop,range_forming,wddrb_high,prior_day_low
2016-07-08 14:30:00+00:00,2016-07-08 14:40:00+00:00,SHORT,2110.5,2113.75,2113.75,0.0,-3.25,-1.0,2,stop,range_forming,wddrb_high,asia_low
2016-07-08 16:35:00+00:00,2016-07-08 17:00:00+00:00,SHORT,2116.5,2118.5,2118.5,0.0,-2.0,-1.0,5,stop,breakout,wddrb_high,asia_low
2016-07-08 19:25:00+00:00,2016-07-08 19:55:00+00:00,SHORT,2121.5,2123.0,2123.0,0.0,-1.5,-1.0,6,stop,breakout,intraday_high,asia_low
2016-07-10 23:05:00+00:00,2016-07-31 22:00:00+00:00,LONG,2121.25,2174.5,2103.5,2174.5,53.25,3.0,4082,target,range_forming,wddrb_low,min_rr
2016-08-01 00:00:00+00:00,2016-08-02 08:45:00+00:00,LONG,2170.5,2157.5,2157.5,2209.5,-13.0,-1.0,378,stop,range_forming,wddrb_low,min_rr
2016-08-02 11:00:00+00:00,2016-08-02 11:05:00+00:00,LONG,2161.25,2159.75,2159.75,2165.75,-1.5,-1.0,1,stop,breakout,wddrb_low,min_rr
2016-08-02 13:00:00+00:00,2016-08-02 13:20:00+00:00,LONG,2160.25,2161.75,2159.75,2161.75,1.5,3.0,4,target,range_forming,wddrb_low,min_rr
2016-08-02 15:15:00+00:00,2016-08-04 11:25:00+00:00,SHORT,2147.75,2164.0,2164.0,0.0,-16.25,-1.0,500,stop,breakout,wddrb_high,asia_low
2016-08-04 13:20:00+00:00,2016-09-09 16:15:00+00:00,LONG,2159.0,2147.0,2147.0,2195.0,-12.0,-1.0,7088,stop,range_forming,wddrb_low,min_rr
2016-09-09 18:10:00+00:00,2016-09-09 19:10:00+00:00,LONG,2134.75,2134.25,2134.25,2164.5,-0.5,-1.0,12,stop,breakout,wddrb_low,wddrb_high
2016-09-11 22:35:00+00:00,2016-09-22 11:40:00+00:00,SHORT,2117.0,2164.5,2164.5,0.0,-47.5,-1.0,2341,stop,range_forming,wddrb_high,asia_low
2016-09-22 13:35:00+00:00,2016-09-22 14:30:00+00:00,SHORT,2169.25,2171.75,2171.75,0.0,-2.5,-1.0,11,stop,range_forming,wddrb_high,asia_low
2016-09-22 16:30:00+00:00,2016-11-10 08:15:00+00:00,SHORT,2168.5,2172.75,2172.75,0.0,-4.25,-1.0,9432,stop,breakout,wddrb_high,asia_low
2016-11-10 12:30:00+00:00,2017-02-10 18:45:00+00:00,LONG,2167.5,2315.25,2118.25,2315.25,147.75,3.0,17416,target,range_forming,wddrb_low,min_rr
2017-02-12 23:05:00+00:00,2017-02-13 02:15:00+00:00,SHORT,2315.0,2315.75,2315.75,0.0,-0.75,-1.0,38,stop,range_forming,wddrb_high,asia_low
2017-02-13 05:30:00+00:00,2017-02-13 05:35:00+00:00,SHORT,2315.75,2316.0,2316.0,0.0,-0.25,-1.0,1,stop,breakout,intraday_high,prior_day_low
2017-02-13 10:55:00+00:00,2017-02-13 11:10:00+00:00,SHORT,2314.75,2315.75,2315.75,0.0,-1.0,-1.0,3,stop,range_forming,wddrb_high,prior_day_low
2017-02-13 13:05:00+00:00,2017-02-15 20:15:00+00:00,LONG,2317.5,2349.75,2306.75,2349.75,32.25,3.0,632,target,breakout,wddrb_low,min_rr
2017-02-16 00:40:00+00:00,2017-02-16 00:45:00+00:00,SHORT,2348.0,2348.25,2348.25,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,asia_low
2017-02-16 02:45:00+00:00,2017-02-16 08:10:00+00:00,SHORT,2348.25,2349.75,2349.75,0.0,-1.5,-1.0,65,stop,breakout,wddrb_high,prior_day_low
2017-02-16 11:15:00+00:00,2017-02-16 14:30:00+00:00,SHORT,2346.5,2349.75,2349.75,0.0,-3.25,-1.0,39,stop,breakout,wddrb_high,prior_day_low
2017-02-17 00:40:00+00:00,2017-02-20 04:10:00+00:00,SHORT,2344.0,2349.75,2349.75,0.0,-5.75,-1.0,315,stop,range_forming,wddrb_high,asia_low
2017-02-20 07:05:00+00:00,2017-02-20 07:10:00+00:00,SHORT,2353.5,2353.75,2353.75,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,prior_day_low
2017-02-20 13:15:00+00:00,2017-02-20 13:20:00+00:00,SHORT,2349.75,2350.25,2350.25,0.0,-0.5,-1.0,1,stop,breakout,intraday_high,prior_day_low
2017-02-20 15:15:00+00:00,2017-02-20 16:25:00+00:00,SHORT,2352.0,2353.5,2353.5,0.0,-1.5,-1.0,14,stop,range_forming,wddrb_high,asia_low
2017-02-21 00:25:00+00:00,2017-02-21 14:15:00+00:00,SHORT,2353.25,2354.5,2354.5,0.0,-1.25,-1.0,166,stop,range_forming,wddrb_high,asia_low
2017-02-21 19:50:00+00:00,2017-02-21 20:40:00+00:00,SHORT,2362.25,2364.75,2364.75,0.0,-2.5,-1.0,10,stop,breakout,wddrb_high,asia_low
