ts,timestamp,session,raw_session,current_session_break_out,current_session_break_out_direction,high_ar_sd,low_ar_sd,range_pct_change,range_size_category,asia_confirm_side,asia_range,day_high_sd,day_low_sd,day_high_percentile,day_low_percentile,current_session_high_sd,current_session_low_sd,current_session_high_percentile,current_session_low_percentile,filter_range_size_category,filter_asia_confirm_side,filter_odr_model,filter_rdr_model,hist_day_count,hist_session_count
1747008000,2025-05-11 20:00:00-04:00,AR,AR,False,,,,,unknown,none,,,,,,,,,,,,,,4472,
1747008300,2025-05-11 20:05:00-04:00,AR,AR,False,,,,,unknown,none,,,,,,,,,,,,,,4472,
1747008600,2025-05-11 20:10:00-04:00,AR,AR,False,,,,,unknown,none,,,,,,,,,,,,,,4472,
1747008900,2025-05-11 20:15:00-04:00,AR,AR,False,,,,,unknown,none,,,,,,,,,,,,,,4472,
1747009200,2025-05-11 20:20:00-04:00,AR,AR,False,,,,,unknown,none,,,,,,,,,,,,,,4472,
1747009500,2025-05-11 20:25:00-04:00,AR,AR,True,,,,,unknown,none,,,,,,,,,,,,,,4472,
1747009800,2025-05-11 20:30:00-04:00,AS,AS,True,long,1.0789473684210527,0.07894736842105263,0.0827,20-50%,up,4.75,1.0789473684210527,0.07894736842105263,0.988,0.981,1.0789473684210527,0.07894736842105263,0.988,0.981,20-50%,up,,,679,679.0
1747010100,2025-05-11 20:35:00-04:00,AS,AS,True,long,1.2894736842105263,0.07894736842105263,0.0827,20-50%,up,4.75,1.2894736842105263,0.07894736842105263,0.968,0.981,1.2894736842105263,0.07894736842105263,0.968,0.981,20-50%,up,,,679,679.0
1747010400,2025-05-11 20:40:00-04:00,AS,AS,True,long,1.605263157894737,0.07894736842105263,0.0827,20-50%,up,4.75,1.605263157894737,0.07894736842105263,0.94,0.981,1.605263157894737,0.07894736842105263,0.94,0.981,20-50%,up,,,679,679.0
1747010700,2025-05-11 20:45:00-04:00,AS,AS,True,long,1.605263157894737,0.07894736842105263,0.0827,20-50%,up,4.75,1.605263157894737,0.07894736842105263,0.94,0.981,1.605263157894737,0.07894736842105263,0.94,0.981,20-50%,up,,,679,679.0
1747011000,2025-05-11 20:50:00-04:00,AS,AS,True,long,1.605263157894737,0.07894736842105263,0.0827,20-50%,up,4.75,1.605263157894737,0.07894736842105263,0.94,0.981,1.605263157894737,0.07894736842105263,0.94,0.981,20-50%,up,,,679,679.0
1747011300,2025-05-11 20:55:00-04:00,AS,AS,True,long,1.605263157894737,0.07894736842105263,0.0827,20-50%,up,4.75,1.605263157894737,0.07894736842105263,0.94,0.981,1.605263157894737,0.07894736842105263,0.94,0.981,20-50%,up,,,679,679.0
1747011600,2025-05-11 21:00:00-04:00,AS,AS,True,long,1.605263157894737,0.07894736842105263,0.0827,20-50%,up,4.75,1.605263157894737,0.07894736842105263,0.94,0.981,1.605263157894737,0.07894736842105263,0.94,0.981,20-50%,up,,,679,679.0
1747011900,2025-05-11 21:05:00-04:00,AS,AS,True,long,2.5526315789473686,0.07894736842105263,0.0827,20-50%,up,4.75,2.5526315789473686,0.07894736842105263,0.832,0.981,2.5526315789473686,0.07894736842105263,0.832,0.981,20-50%,up,,,679,679.0
1747012200,2025-05-11 21:10:00-04:00,AS,AS,True,long,2.5526315789473686,0.07894736842105263,0.0827,20-50%,up,4.75,2.5526315789473686,0.07894736842105263,0.832,0.981,2.5526315789473686,0.07894736842105263,0.832,0.981,20-50%,up,,,679,679.0
1747012500,2025-05-11 21:15:00-04:00,AS,AS,True,long,2.5526315789473686,0.07894736842105263,0.0827,20-50%,up,4.75,2.5526315789473686,0.07894736842105263,0.832,0.981,2.5526315789473686,0.07894736842105263,0.832,0.981,20-50%,up,,,679,679.0
1747012800,2025-05-11 21:20:00-04:00,AS,AS,True,long,2.5526315789473686,0.07894736842105263,0.0827,20-50%,up,4.75,2.5526315789473686,0.07894736842105263,0.832,0.981,2.5526315789473686,0.07894736842105263,0.832,0.981,20-50%,up,,,679,679.0
1747013100,2025-05-11 21:25:00-04:00,AS,AS,True,long,2.5526315789473686,0.07894736842105263,0.0827,20-50%,up,4.75,2.5526315789473686,0.07894736842105263,0.832,0.981,2.5526315789473686,0.07894736842105263,0.832,0.981,20-50%,up,,,679,679.0
1747013400,2025-05-11 21:30:00-04:00,AS,AS,True,long,2.5526315789473686,0.07894736842105263,0.0827,20-50%,up,4.75,2.5526315789473686,0.07894736842105263,0.832,0.981,2.5526315789473686,0.07894736842105263,0.832,0.981,20-50%,up,,,679,679.0
1747013700,2025-05-11 21:35:00-04:00,AS,AS,True,long,2.5526315789473686,0.07894736842105263,0.0827,20-50%,up,4.75,2.5526315789473686,0.07894736842105263,0.832,0.981,2.5526315789473686,0.07894736842105263,0.832,0.981,20-50%,up,,,679,679.0
1747014000,2025-05-11 21:40:00-04:00,AS,AS,True,long,2.5526315789473686,0.07894736842105263,0.0827,20-50%,up,4.75,2.5526315789473686,0.07894736842105263,0.832,0.981,2.5526315789473686,0.07894736842105263,0.832,0.981,20-50%,up,,,679,679.0
