day,family,level_id,price,metadata
2024-10-09,Monthly,Monthly_RR_20241003_CLUSTER_HIGH_HIGH,5770.0,"{""day"": ""2024-10-03"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20241003_CLUSTER_HIGH_CLOSE,5767.5,"{""day"": ""2024-10-03"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20241003_CLUSTER_LOW_LOW,5739.0,"{""day"": ""2024-10-03"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20241003_CLUSTER_LOW_CLOSE,5742.25,"{""day"": ""2024-10-03"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20241003_SESSION_OPEN,5744.5,"{""day"": ""2024-10-03"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20241003_SESSION_CLOSE,5742.5,"{""day"": ""2024-10-03"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20240905_CLUSTER_HIGH_HIGH,5557.25,"{""day"": ""2024-09-05"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20240905_CLUSTER_HIGH_CLOSE,5554.0,"{""day"": ""2024-09-05"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20240905_CLUSTER_LOW_LOW,5525.5,"{""day"": ""2024-09-05"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20240905_CLUSTER_LOW_CLOSE,5526.5,"{""day"": ""2024-09-05"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20240905_SESSION_OPEN,5528.25,"{""day"": ""2024-09-05"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20240905_SESSION_CLOSE,5549.25,"{""day"": ""2024-09-05"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20240801_CLUSTER_HIGH_HIGH,5600.75,"{""day"": ""2024-08-01"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20240801_CLUSTER_HIGH_CLOSE,5598.25,"{""day"": ""2024-08-01"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20240801_CLUSTER_LOW_LOW,5549.75,"{""day"": ""2024-08-01"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20240801_CLUSTER_LOW_CLOSE,5550.25,"{""day"": ""2024-08-01"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20240801_SESSION_OPEN,5578.0,"{""day"": ""2024-08-01"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20240801_SESSION_CLOSE,5550.25,"{""day"": ""2024-08-01"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20240704_CLUSTER_HIGH_HIGH,5595.5,"{""day"": ""2024-07-04"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20240704_CLUSTER_HIGH_CLOSE,5592.25,"{""day"": ""2024-07-04"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20240704_CLUSTER_LOW_LOW,5585.25,"{""day"": ""2024-07-04"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20240704_CLUSTER_LOW_CLOSE,5585.5,"{""day"": ""2024-07-04"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20240704_SESSION_OPEN,5595.25,"{""day"": ""2024-07-04"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20240704_SESSION_CLOSE,5586.25,"{""day"": ""2024-07-04"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20240606_CLUSTER_HIGH_HIGH,5373.25,"{""day"": ""2024-06-06"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20240606_CLUSTER_HIGH_CLOSE,5373.0,"{""day"": ""2024-06-06"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20240606_CLUSTER_LOW_LOW,5362.25,"{""day"": ""2024-06-06"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20240606_CLUSTER_LOW_CLOSE,5362.5,"{""day"": ""2024-06-06"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20240606_SESSION_OPEN,5369.25,"{""day"": ""2024-06-06"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20240606_SESSION_CLOSE,5369.5,"{""day"": ""2024-06-06"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20240502_CLUSTER_HIGH_HIGH,5088.75,"{""day"": ""2024-05-02"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20240502_CLUSTER_HIGH_CLOSE,5072.5,"{""day"": ""2024-05-02"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20240502_CLUSTER_LOW_LOW,5036.25,"{""day"": ""2024-05-02"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20240502_CLUSTER_LOW_CLOSE,5038.5,"{""day"": ""2024-05-02"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20240502_SESSION_OPEN,5083.25,"{""day"": ""2024-05-02"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20240502_SESSION_CLOSE,5061.5,"{""day"": ""2024-05-02"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20240404_CLUSTER_HIGH_HIGH,5307.0,"{""day"": ""2024-04-04"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20240404_CLUSTER_HIGH_CLOSE,5305.5,"{""day"": ""2024-04-04"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20240404_CLUSTER_LOW_LOW,5294.25,"{""day"": ""2024-04-04"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20240404_CLUSTER_LOW_CLOSE,5295.75,"{""day"": ""2024-04-04"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20240404_SESSION_OPEN,5305.25,"{""day"": ""2024-04-04"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20240404_SESSION_CLOSE,5298.5,"{""day"": ""2024-04-04"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20240307_CLUSTER_HIGH_HIGH,5153.5,"{""day"": ""2024-03-07"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20240307_CLUSTER_HIGH_CLOSE,5153.5,"{""day"": ""2024-03-07"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20240307_CLUSTER_LOW_LOW,5133.25,"{""day"": ""2024-03-07"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20240307_CLUSTER_LOW_CLOSE,5139.25,"{""day"": ""2024-03-07"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20240307_SESSION_OPEN,5143.0,"{""day"": ""2024-03-07"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20240307_SESSION_CLOSE,5153.5,"{""day"": ""2024-03-07"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20240201_CLUSTER_HIGH_HIGH,4899.25,"{""day"": ""2024-02-01"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20240201_CLUSTER_HIGH_CLOSE,4898.75,"{""day"": ""2024-02-01"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20240201_CLUSTER_LOW_LOW,4879.25,"{""day"": ""2024-02-01"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20240201_CLUSTER_LOW_CLOSE,4887.25,"{""day"": ""2024-02-01"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20240201_SESSION_OPEN,4883.25,"{""day"": ""2024-02-01"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20240201_SESSION_CLOSE,4898.75,"{""day"": ""2024-02-01"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20240104_CLUSTER_HIGH_HIGH,4758.5,"{""day"": ""2024-01-04"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20240104_CLUSTER_HIGH_CLOSE,4757.75,"{""day"": ""2024-01-04"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20240104_CLUSTER_LOW_LOW,4737.75,"{""day"": ""2024-01-04"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20240104_CLUSTER_LOW_CLOSE,4742.75,"{""day"": ""2024-01-04"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20240104_SESSION_OPEN,4739.5,"{""day"": ""2024-01-04"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20240104_SESSION_CLOSE,4754.5,"{""day"": ""2024-01-04"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20231207_CLUSTER_HIGH_HIGH,4587.25,"{""day"": ""2023-12-07"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20231207_CLUSTER_HIGH_CLOSE,4586.75,"{""day"": ""2023-12-07"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20231207_CLUSTER_LOW_LOW,4569.75,"{""day"": ""2023-12-07"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20231207_CLUSTER_LOW_CLOSE,4571.25,"{""day"": ""2023-12-07"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20231207_SESSION_OPEN,4576.5,"{""day"": ""2023-12-07"", ""session"": ""RR"", ""stat"": ""session_open""}"
2024-10-09,Monthly,Monthly_RR_20231207_SESSION_CLOSE,4586.75,"{""day"": ""2023-12-07"", ""session"": ""RR"", ""stat"": ""session_close""}"
2024-10-09,Monthly,Monthly_RR_20231102_CLUSTER_HIGH_HIGH,4312.5,"{""day"": ""2023-11-02"", ""session"": ""RR"", ""stat"": ""cluster_high_high""}"
2024-10-09,Monthly,Monthly_RR_20231102_CLUSTER_HIGH_CLOSE,4310.25,"{""day"": ""2023-11-02"", ""session"": ""RR"", ""stat"": ""cluster_high_close""}"
2024-10-09,Monthly,Monthly_RR_20231102_CLUSTER_LOW_LOW,4293.75,"{""day"": ""2023-11-02"", ""session"": ""RR"", ""stat"": ""cluster_low_low""}"
2024-10-09,Monthly,Monthly_RR_20231102_CLUSTER_LOW_CLOSE,4298.25,"{""day"": ""2023-11-02"", ""session"": ""RR"", ""stat"": ""cluster_low_close""}"
2024-10-09,Monthly,Monthly_RR_20231102_SESSION_OPEN,4294.0,"{""day"": ""2023-11-02"", ""session"": ""RR"", ""stat"": ""session_open""}"
