ts,timestamp,symbol,session,day_number,current_model,prior_break_dir,p_adr_mid_broken,p_odr_mid_broken,p_session_true,p_confirm_long_forward,p_confirm_short_forward,p_first_mid_break_asia,p_first_mid_break_overnight,p_box_up,p_box_down,p_model_dx,p_model_rc,p_model_uxp,p_model_rx,p_model_ux,p_model_u,p_model_d,p_model_dxp
1747713600,2025-05-20 00:00:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747713900,2025-05-20 00:05:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747714200,2025-05-20 00:10:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747714500,2025-05-20 00:15:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747714800,2025-05-20 00:20:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747715100,2025-05-20 00:25:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747715400,2025-05-20 00:30:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747715700,2025-05-20 00:35:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747716000,2025-05-20 00:40:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747716300,2025-05-20 00:45:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747716600,2025-05-20 00:50:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747716900,2025-05-20 00:55:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747717200,2025-05-20 01:00:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1747717500,2025-05-20 01:05:00-04:00,ES,AS,5,Undefined,,0.5,0.5,0.5,0.5,0.5,0.732,0.217,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
