ts,timestamp,symbol,session,break_out_direction,day_number,box_std,p_confirm_long,p_confirm_short,confirm_side,is_post_confirm,is_false_session,confirm_idx,p_false_session,p_m7_ret_sd,p_m7_time,p_max_ext_sd,p_max_ext_time,p_max_ret_sd,p_max_ret_time,current_ext_sd,current_ret_sd,p_session_close_std,max_ext_candle_index,max_ret_candle_index
1747713600,2025-05-20 00:00:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.94,0.0,0.63,0.5,0.59,0.0,,,,
1747713900,2025-05-20 00:05:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.94,0.0,0.64,0.5,0.6,0.0,,,,
1747714200,2025-05-20 00:10:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.94,0.0,0.66,0.5,0.61,0.0,,,,
1747714500,2025-05-20 00:15:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.95,0.0,0.66,0.5,0.62,0.0,,,,
1747714800,2025-05-20 00:20:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.96,0.0,0.67,0.5,0.63,0.0,,,,
1747715100,2025-05-20 00:25:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.96,0.0,0.68,0.5,0.64,0.0,,,,
1747715400,2025-05-20 00:30:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.96,0.0,0.69,0.5,0.66,0.0,,,,
1747715700,2025-05-20 00:35:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.96,0.0,0.71,0.5,0.67,0.0,,,,
1747716000,2025-05-20 00:40:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.97,0.0,0.72,0.5,0.68,0.0,,,,
1747716300,2025-05-20 00:45:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.97,0.0,0.73,0.5,0.68,0.0,,,,
1747716600,2025-05-20 00:50:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.97,0.0,0.74,0.5,0.69,0.0,,,,
1747716900,2025-05-20 00:55:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.98,0.0,0.74,0.5,0.7,0.0,,,,
1747717200,2025-05-20 01:00:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.98,0.0,0.75,0.5,0.71,0.0,,,,
1747717500,2025-05-20 01:05:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.98,0.0,0.77,0.5,0.73,0.0,,,,
1747717800,2025-05-20 01:10:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.98,0.0,0.78,0.5,0.75,0.0,,,,
1747718100,2025-05-20 01:15:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.99,0.0,0.79,0.5,0.77,0.0,,,,
1747718400,2025-05-20 01:20:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.99,0.0,0.8,0.5,0.79,0.0,,,,
1747718700,2025-05-20 01:25:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.99,0.0,0.82,0.5,0.81,0.0,,,,
1747719000,2025-05-20 01:30:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,0.99,0.0,0.83,0.5,0.83,0.0,,,,
1747719300,2025-05-20 01:35:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,1.0,0.0,0.85,0.5,0.84,0.0,,,,
1747719600,2025-05-20 01:40:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,1.0,0.0,0.86,0.5,0.87,0.0,,,,
1747719900,2025-05-20 01:45:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,1.0,0.0,0.89,0.5,0.89,0.0,,,,
1747720200,2025-05-20 01:50:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,1.0,0.0,0.92,0.5,0.91,0.0,,,,
1747720500,2025-05-20 01:55:00-04:00,ES,AS,,5,0.0,0.52,0.48,none,False,False,,0.27,0.5,1.0,0.0,0.94,0.5,0.95,0.0,,,,
1747720800,2025-05-20 02:00:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747721100,2025-05-20 02:05:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747721400,2025-05-20 02:10:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747721700,2025-05-20 02:15:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747722000,2025-05-20 02:20:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747722300,2025-05-20 02:25:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747722600,2025-05-20 02:30:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747722900,2025-05-20 02:35:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747723200,2025-05-20 02:40:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747723500,2025-05-20 02:45:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747723800,2025-05-20 02:50:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747724100,2025-05-20 02:55:00-04:00,ES,TO,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
1747724400,2025-05-20 03:00:00-04:00,ES,OR,,5,0.0,0.5,0.5,none,False,False,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
