ts,timestamp,session,t_bucket_5m,hi_pct_now,lo_pct_now,hi_pct_percentile,lo_pct_percentile,p_asia_high_in_AS,p_asia_high_in_TO,p_asia_high_in_OR,p_asia_high_in_OS,p_asia_low_in_AS,p_asia_low_in_TO,p_asia_low_in_OR,p_asia_low_in_OS,p_high_holds_bucketed,p_low_holds_bucketed,p_high_holds_reg,p_low_holds_reg,trend_guard_hi,trend_guard_lo,failed_20_hi,failed_20_lo,as_breakout_dir,as_true,ar_model,ar_box,ar_trade,or_model,or_box
1747008000,2025-05-11 20:00:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,
1747008300,2025-05-11 20:05:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,
1747008600,2025-05-11 20:10:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,
1747008900,2025-05-11 20:15:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,
1747009200,2025-05-11 20:20:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,
1747009500,2025-05-11 20:25:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,
1747009800,2025-05-11 20:30:00-04:00,AS,0.0,0.08914787675849623,0.0065230153725728945,0.8148064297034187,0.958342766583654,0.321,0.059,0.111,0.509,0.408,0.05,0.106,0.437,0.997,0.997,0.997,0.997,False,False,True,True,long,True,Undefined,up,long,,
1747010100,2025-05-11 20:35:00-04:00,AS,1.0,0.10654258441869062,0.0065230153725728945,0.7801675345256962,0.958342766583654,0.321,0.059,0.111,0.509,0.408,0.05,0.106,0.437,0.99,0.997,0.99,0.997,True,False,False,True,long,True,Undefined,up,long,,
1747010400,2025-05-11 20:40:00-04:00,AS,2.0,0.1326346459089822,0.0065230153725728945,0.7323975549015168,0.958342766583654,0.321,0.059,0.111,0.509,0.408,0.05,0.106,0.437,0.99,0.997,0.99,0.997,True,False,False,True,long,True,Undefined,up,long,,
1747010700,2025-05-11 20:45:00-04:00,AS,3.0,0.1326346459089822,0.0065230153725728945,0.7323975549015168,0.958342766583654,0.321,0.059,0.111,0.509,0.408,0.05,0.106,0.437,0.99,0.997,0.99,0.997,True,False,False,True,long,True,Undefined,up,long,,
