ts,timestamp,session,t_bucket_5m,hi_pct_now,lo_pct_now,hi_pct_percentile,lo_pct_percentile,p_day_high_in_OS,p_day_high_in_TR,p_day_high_in_RR,p_day_high_in_RS,p_day_low_in_OS,p_day_low_in_TR,p_day_low_in_RR,p_day_low_in_RS,p_high_holds_bucketed,p_low_holds_bucketed,p_high_holds_reg,p_low_holds_reg,q_hi_20,q_hi_50,q_hi_80,q_hi_15,q_lo_20,q_lo_50,q_lo_80,q_lo_85,trend_guard_hi,trend_guard_lo,failed_20_hi,failed_20_lo,os_breakout_dir,os_true,odr_model,odr_box,odr_trade,rdr_model,rdr_box
1747008000,2025-05-11 20:00:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
1747008300,2025-05-11 20:05:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
1747008600,2025-05-11 20:10:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
1747008900,2025-05-11 20:15:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
1747009200,2025-05-11 20:20:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
1747009500,2025-05-11 20:25:00-04:00,AR,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
1747009800,2025-05-11 20:30:00-04:00,AS,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
1747010100,2025-05-11 20:35:00-04:00,AS,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
1747010400,2025-05-11 20:40:00-04:00,AS,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
1747010700,2025-05-11 20:45:00-04:00,AS,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
