level_id,family,price,first_seen,last_seen,hits,max_strength,mean_strength,min_ticks_error,max_ticks_error
RR_20241011_RANGE_HIGH,RR_Session,5866.25,2024-10-14 04:05:00,2024-10-16 12:05:00,139,0.9500000000000001,0.39388489208633093,0.0,7.0
AR_20241014_RANGE_LOW,AR_Session,5910.25,2024-10-14 20:30:00,2024-10-17 13:50:00,128,0.9,0.368359375,0.0,12.0
AR_20241014_LOW_CLOSE,AR_Session,5910.5,2024-10-14 20:30:00,2024-10-17 13:50:00,127,0.9,0.3854330708661417,0.0,12.0
AR_20241015_HIGH_CLOSE,AR_Session,5865.25,2024-10-15 20:30:00,2024-10-16 12:00:00,124,1.0,0.35,0.0,10.0
AR_HIGH_CLOSE_20241016,AsiaBox,5865.25,2024-10-15 20:30:00,2024-10-16 12:00:00,124,1.0,0.35,0.0,10.0
OR_20241014_HIGH_CLOSE,OR_Session,5864.5,2024-10-15 14:55:00,2024-10-16 11:55:00,120,0.9,0.34625,0.0,13.0
OR_20241014_RANGE_CLOSE,OR_Session,5864.5,2024-10-15 14:55:00,2024-10-16 11:55:00,120,0.9,0.34625,0.0,13.0
AR_20241015_RANGE_HIGH,AR_Session,5865.75,2024-10-15 20:35:00,2024-10-16 12:00:00,119,1.0,0.34075630252100836,0.0,8.0
OR_20241014_RANGE_HIGH,OR_Session,5864.75,2024-10-15 14:55:00,2024-10-16 11:55:00,119,0.9,0.36638655462184877,0.0,12.0
AR_20241015_RANGE_CLOSE,AR_Session,5864.5,2024-10-15 20:30:00,2024-10-16 11:55:00,114,0.8,0.33157894736842103,0.0,13.0
AR_20241015_RANGE_OPEN,AR_Session,5864.5,2024-10-15 20:30:00,2024-10-16 11:55:00,114,0.8,0.33157894736842103,0.0,13.0
AR_20241014_RANGE_CLOSE,AR_Session,5911.5,2024-10-14 20:30:00,2024-10-17 13:00:00,103,0.9,0.4048543689320388,0.0,8.0
AR_20241015_MID,AR_Session,5863.75,2024-10-15 20:30:00,2024-10-16 11:55:00,101,0.9,0.3425742574257426,0.0,12.0
AR_MID_20241016,AsiaBox,5863.75,2024-10-15 20:30:00,2024-10-16 11:55:00,101,0.9,0.3425742574257426,0.0,12.0
