Id,Start,Name,Impact,Currency
ef879029-a199-4a9e-a5c5-67cfb8eaf033,1/4/08 13:30,Average Hourly Earnings (MoM),HIGH,USD
6514b766-8d08-4791-bd59-f4b2527881ef,1/4/08 13:30,Average Hourly Earnings (YoY),HIGH,USD
5449368b-3e88-4a45-bde6-21f4ae603d1e,1/4/08 13:30,Average Weekly Hours,HIGH,USD
6ad3be3e-f7d2-4928-8a92-30147c0e5b6d,1/4/08 13:30,Nonfarm Payrolls,HIGH,USD
b4106dde-63c7-456a-bdd8-537537a98a2d,1/4/08 13:30,Unemployment Rate,HIGH,USD
431a32ce-c1c2-4e0f-b51a-b04171bc9ded,1/15/08 13:30,Retail Sales (MoM),HIGH,USD
5c40cf44-ab9a-4970-b04c-acaa1e5b867d,1/15/08 13:30,Retail Sales ex Autos (MoM),HIGH,USD
3cf477c0-0ee5-44a2-938c-c4179ef0ce35,1/16/08 13:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
ad3f4581-9a2c-4193-bbfa-24f96fac794a,1/16/08 18:00,NAHB Housing Market Index,HIGH,USD
e641a97b-a713-4ea3-b8f2-24983db476ca,1/22/08 13:20,Fed Interest Rate Decision,HIGH,USD
cb2835a8-1614-4e26-a7ed-bcc83ec4c7f5,1/29/08 13:30,Durable Goods Orders ex Transportation,HIGH,USD
a19f1112-d317-41d4-ac1b-97ff020459da,1/30/08 19:15,Fed Interest Rate Decision,HIGH,USD
7e76ab3f-b750-47c8-8c7f-bb4260a2aa5d,1/31/08 13:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
a02ab2e6-f086-4a1d-8166-4978d8142bab,1/31/08 13:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
a1aefb4b-9b53-4197-b73f-7feb3f2071c5,1/31/08 13:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
9d91d7c0-cee3-4ab2-aafd-c769aefa1d07,1/31/08 13:30,Personal Income (MoM),HIGH,USD
445925fd-7178-4c2d-9aba-b980a56b4911,2/1/08 13:30,Average Hourly Earnings (MoM),HIGH,USD
1712c0bd-8046-458f-a548-e4c4f5b00df0,2/1/08 13:30,Average Hourly Earnings (YoY),HIGH,USD
4fe858f4-9485-4d16-b784-431d1184626b,2/1/08 13:30,Average Weekly Hours,HIGH,USD
d98d3b75-709b-49c0-a215-f14b6f32fddf,2/1/08 13:30,Nonfarm Payrolls,HIGH,USD
276b44b6-be36-4775-b1bc-cd4a857573e1,2/1/08 13:30,Unemployment Rate,HIGH,USD
b5b0483a-618f-4467-bb18-6205083d1d7b,2/7/08 15:00,Pending Home Sales (MoM),HIGH,USD
2652d47a-e0eb-487a-855b-16cf6c17d933,2/13/08 13:30,Retail Sales (MoM),HIGH,USD
c8e505d9-c819-4343-b764-c9d0ad28ebab,2/13/08 13:30,Retail Sales ex Autos (MoM),HIGH,USD
31d89286-8e88-416c-8533-f805471c32c7,2/14/08 13:30,Goods and Services Trade Balance,HIGH,USD
2012d6d1-69e9-43ca-b074-e80318edeffe,2/19/08 18:00,NAHB Housing Market Index,HIGH,USD
a4a1f35f-8c8c-4be6-9ffe-870fe842c5f8,2/20/08 13:30,Consumer Price Index (MoM),HIGH,USD
4bd5e119-9abe-430f-86e2-e36c9bd2278b,2/20/08 13:30,Consumer Price Index (YoY),HIGH,USD
bde2d20d-bfac-4676-86eb-9cdcd90ff814,2/20/08 13:30,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
ae31239a-2902-4cc9-ae39-090af18089ab,2/20/08 13:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
bfca02f2-f3b9-4c1a-8bd5-396428b90aea,2/27/08 13:30,Durable Goods Orders,HIGH,USD
5baf8ae2-d19d-4c06-803e-89d38da651b1,2/27/08 13:30,Durable Goods Orders ex Transportation,HIGH,USD
68f36af9-9856-4c44-9433-9b6207ce7b6d,2/28/08 13:30,Gross Domestic Product Annualized,HIGH,USD
e9609adf-3994-47ad-9305-ddcbbfaefe8b,2/29/08 13:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
0333f44a-8259-428d-9dd4-3d6a1cde1561,2/29/08 13:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
7fdfd69e-3af0-4346-bbc4-60d2739e35f6,2/29/08 13:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
bf7af338-aa0f-4df5-aa20-9ddbecaa0a87,3/3/08 15:00,ISM Manufacturing PMI,HIGH,USD
e5112cd4-a7ea-49b9-a3ed-c17bcf6d7a42,3/7/08 13:30,Average Hourly Earnings (MoM),HIGH,USD
