symbol,kind,session_code,anchor_date,cluster_high_high,cluster_high_close,cluster_low_low,cluster_low_close,session_open,session_close
ES,monthly,RR,2008-01-03,1463.75,1463.25,1454.5,1455.25,1458.75,1459.5
ES,monthly,RR,2008-02-07,1339.0,1336.5,1317.5,1319.0,1321.25,1332.0
ES,monthly,RR,2008-03-06,1329.5,1326.0,1316.25,1318.0,1327.25,1321.0
ES,monthly,RR,2008-04-03,1370.0,1368.25,1360.25,1360.25,1362.75,1364.5
ES,monthly,RR,2008-05-01,1392.5,1392.0,1383.0,1383.75,1384.25,1392.0
ES,monthly,RR,2008-06-05,1393.5,1392.75,1379.75,1380.75,1382.25,1392.25
ES,monthly,RR,2008-07-03,1272.75,1269.5,1251.75,1255.0,1272.5,1265.5
ES,monthly,RR,2008-08-07,1282.25,1281.75,1271.25,1274.0,1277.75,1279.75
ES,monthly,RR,2008-09-04,1268.25,1266.5,1261.5,1264.0,1265.25,1264.0
ES,monthly,RR,2008-10-02,1155.75,1154.0,1135.75,1136.25,1154.0,1138.75
ES,monthly,RR,2008-11-06,951.0,948.25,931.0,933.25,941.0,933.25
ES,monthly,RR,2008-12-04,872.5,870.0,854.0,859.5,855.5,865.0
ES,monthly,RR,2009-01-08,900.75,899.75,893.5,894.0,898.5,897.75
ES,monthly,RR,2009-02-05,825.5,825.0,816.75,817.5,822.5,820.5
ES,monthly,RR,2009-03-05,703.5,702.75,694.25,695.5,695.5,696.75
ES,monthly,RR,2009-04-02,832.75,830.75,823.25,825.5,826.5,826.75
ES,monthly,RR,2009-05-07,927.0,926.25,909.75,911.0,925.25,911.0
ES,monthly,RR,2009-06-04,935.75,934.5,928.0,929.25,934.75,933.25
ES,monthly,RR,2009-07-02,907.25,903.5,897.25,898.0,906.75,898.25
ES,monthly,RR,2009-08-06,1005.75,1004.5,992.75,994.0,1004.25,994.25
ES,monthly,RR,2009-09-03,1001.5,999.75,991.25,993.5,999.5,994.0
ES,monthly,RR,2009-10-01,1049.25,1046.5,1036.75,1037.5,1049.0,1038.25
ES,monthly,RR,2009-11-05,1058.5,1057.0,1049.5,1050.25,1051.5,1056.5
ES,monthly,RR,2009-12-03,1117.0,1115.25,1105.5,1106.75,1110.5,1109.0
ES,monthly,RR,2010-01-07,1132.5,1132.0,1127.5,1128.25,1130.5,1130.25
ES,monthly,RR,2010-02-04,1085.75,1085.75,1070.25,1071.0,1085.0,1071.0
ES,monthly,RR,2010-03-04,1123.0,1122.25,1118.75,1119.75,1119.5,1120.25
ES,monthly,RR,2010-04-01,1177.5,1176.25,1173.0,1174.75,1173.25,1175.25
ES,monthly,RR,2010-05-06,1165.0,1164.5,1157.5,1158.0,1157.5,1158.0
ES,monthly,RR,2010-06-03,1105.25,1105.25,1098.25,1098.5,1101.5,1098.5
ES,monthly,RR,2010-07-01,1029.75,1029.0,1014.0,1015.0,1026.25,1016.25
ES,monthly,RR,2010-08-05,1122.25,1121.75,1115.5,1116.5,1117.25,1121.75
ES,monthly,RR,2010-09-02,1086.0,1084.0,1079.25,1080.75,1081.75,1084.0
ES,monthly,RR,2010-10-07,1160.75,1159.0,1152.0,1153.0,1160.25,1157.25
ES,monthly,RR,2010-11-04,1211.75,1211.25,1206.5,1207.0,1207.75,1211.25
ES,monthly,RR,2010-12-02,1216.5,1215.5,1206.25,1208.5,1207.0,1215.25
ES,monthly,RR,2011-01-06,1273.75,1273.25,1270.75,1271.0,1273.0,1273.25
ES,monthly,RR,2011-02-03,1301.25,1301.0,1291.5,1292.75,1298.5,1295.0
ES,monthly,RR,2011-03-03,1325.5,1324.5,1319.25,1321.75,1319.5,1321.75
ES,monthly,RR,2011-04-07,1335.25,1334.5,1329.5,1330.5,1329.75,1332.5
ES,monthly,RR,2011-05-05,1340.25,1338.75,1332.75,1334.25,1336.0,1336.25
ES,monthly,RR,2011-06-02,1317.0,1316.0,1308.25,1309.5,1314.5,1314.0
ES,monthly,RR,2011-07-07,1347.5,1347.0,1344.25,1344.75,1347.0,1346.75
ES,monthly,RR,2011-08-04,1241.0,1239.25,1229.25,1229.75,1239.25,1233.5
ES,monthly,RR,2011-09-01,1228.5,1225.0,1211.25,1212.0,1217.5,1221.0
ES,monthly,RR,2011-10-06,1144.0,1142.75,1129.0,1132.0,1137.25,1142.75
ES,monthly,RR,2011-11-03,1248.75,1246.5,1230.5,1232.25,1247.25,1238.25
ES,monthly,RR,2011-12-01,1251.0,1250.0,1241.5,1241.5,1242.75,1248.5
ES,monthly,RR,2012-01-05,1267.25,1266.25,1259.75,1261.5,1265.5,1265.75
ES,monthly,RR,2012-02-02,1324.25,1323.75,1319.25,1319.75,1322.5,1322.5
ES,monthly,RR,2012-03-01,1373.5,1373.0,1366.25,1368.0,1368.25,1371.25
ES,monthly,RR,2012-04-05,1394.75,1394.0,1387.5,1388.75,1388.75,1393.0
ES,monthly,RR,2012-05-03,1399.25,1398.5,1391.0,1392.25,1398.25,1393.0
ES,monthly,RR,2012-06-07,1329.5,1328.25,1318.75,1319.25,1328.75,1323.25
ES,monthly,RR,2012-07-05,1365.0,1364.0,1357.0,1357.75,1363.5,1360.0
ES,monthly,RR,2012-08-02,1369.5,1369.0,1356.0,1360.0,1359.5,1369.0
ES,monthly,RR,2012-09-06,1424.0,1423.5,1410.75,1416.0,1411.0,1423.5
ES,monthly,RR,2012-10-04,1457.75,1456.5,1448.75,1450.0,1450.5,1455.75
ES,monthly,RR,2012-11-01,1421.25,1420.75,1409.0,1412.0,1410.0,1419.5
ES,monthly,RR,2012-12-06,1410.25,1409.75,1404.75,1406.0,1406.5,1407.25
ES,monthly,RR,2013-01-03,1456.75,1456.25,1452.75,1453.75,1456.5,1456.0
ES,monthly,RR,2013-02-07,1509.5,1508.0,1497.75,1499.25,1508.0,1499.25
ES,monthly,RR,2013-03-07,1544.75,1544.25,1541.0,1541.75,1542.75,1543.25
ES,monthly,RR,2013-04-04,1557.5,1557.25,1548.75,1549.75,1550.25,1549.75
ES,monthly,RR,2013-05-02,1588.0,1587.5,1580.25,1582.75,1582.0,1587.5
ES,monthly,RR,2013-06-06,1613.75,1612.0,1603.5,1607.25,1606.25,1608.25
ES,monthly,RR,2013-07-04,1624.25,1623.5,1621.0,1621.75,1621.5,1621.75
ES,monthly,RR,2013-08-01,1700.75,1700.25,1694.25,1696.25,1695.5,1700.25
ES,monthly,RR,2013-09-05,1658.25,1657.75,1651.25,1654.25,1652.75,1656.5
ES,monthly,RR,2013-10-03,1684.75,1683.5,1671.5,1672.25,1683.0,1673.75
ES,monthly,RR,2013-11-07,1771.5,1770.75,1758.75,1759.75,1770.0,1761.5
ES,monthly,RR,2013-12-05,1792.0,1791.25,1785.0,1786.75,1788.75,1787.0
ES,monthly,RR,2014-01-02,1838.0,1836.25,1828.25,1830.5,1837.25,1831.5
ES,monthly,RR,2014-02-06,1762.0,1761.5,1750.5,1755.5,1750.75,1761.5
ES,monthly,RR,2014-03-06,1881.0,1880.75,1876.0,1876.5,1877.0,1878.75
ES,monthly,RR,2014-04-03,1887.0,1886.25,1882.25,1882.25,1886.5,1882.25
ES,monthly,RR,2014-05-01,1879.5,1879.0,1871.5,1872.25,1876.75,1874.75
ES,monthly,RR,2014-06-05,1929.5,1928.5,1921.0,1922.75,1928.0,1927.0
ES,monthly,RR,2014-07-03,1975.0,1974.0,1971.25,1972.0,1972.75,1973.0
ES,monthly,RR,2014-08-07,1925.75,1923.75,1918.25,1919.0,1923.75,1921.5
ES,monthly,RR,2014-09-04,2010.0,2009.0,2001.0,2002.5,2002.5,2008.0
ES,monthly,RR,2014-10-02,1942.5,1940.0,1935.25,1935.75,1936.5,1937.25
ES,monthly,RR,2014-11-06,2021.5,2020.5,2010.75,2013.5,2018.5,2015.25
ES,monthly,RR,2014-12-04,2072.0,2071.25,2066.75,2067.0,2069.75,2067.0
ES,monthly,RR,2015-02-05,2052.75,2051.25,2043.0,2046.25,2044.25,2051.25
ES,monthly,RR,2015-03-05,2102.25,2102.0,2096.0,2097.25,2101.0,2102.0
ES,monthly,RR,2015-04-02,2064.75,2063.5,2048.75,2051.75,2051.25,2059.75
ES,monthly,RR,2015-05-07,2078.25,2077.25,2069.25,2070.75,2073.5,2072.75
ES,monthly,RR,2015-06-04,2111.75,2110.5,2099.75,2102.5,2104.5,2106.75
ES,monthly,RR,2015-07-02,2077.0,2075.75,2071.0,2071.5,2074.75,2072.75
ES,monthly,RR,2015-08-06,2098.0,2095.0,2084.0,2084.25,2096.75,2084.25
ES,monthly,RR,2015-09-03,1968.75,1967.5,1951.5,1955.75,1955.0,1967.5
