symbol,kind,session_code,anchor_date,cluster_high_high,cluster_high_close,cluster_low_low,cluster_low_close,session_open,session_close
ES,weekly,RR,2008-01-08,1437.75,1437.0,1427.25,1428.25,1429.75,1433.75
ES,weekly,RR,2008-01-15,1407.75,1407.25,1395.75,1397.5,1404.0,1397.5
ES,weekly,RR,2008-01-22,1310.75,1307.5,1262.0,1270.5,1266.5,1307.5
ES,weekly,RR,2008-01-29,1365.25,1364.0,1351.0,1355.0,1363.5,1361.0
ES,weekly,RR,2008-02-05,1363.5,1362.5,1352.75,1354.5,1359.5,1362.5
ES,weekly,RR,2008-02-12,1360.0,1357.75,1345.5,1346.75,1349.0,1357.25
ES,weekly,RR,2008-02-19,1368.5,1367.5,1360.25,1361.5,1366.0,1361.5
ES,weekly,RR,2008-02-26,1371.25,1369.75,1364.25,1366.25,1365.75,1366.25
ES,weekly,RR,2008-03-04,1327.5,1325.5,1319.25,1319.75,1319.75,1322.75
ES,weekly,RR,2008-03-11,1306.25,1303.75,1296.0,1296.25,1303.75,1300.25
ES,weekly,RR,2008-03-18,1307.5,1306.5,1301.0,1302.25,1302.75,1304.5
ES,weekly,RR,2008-03-25,1356.75,1354.5,1342.0,1344.25,1351.5,1344.75
ES,weekly,RR,2008-04-01,1350.75,1347.75,1338.0,1340.75,1338.75,1347.5
ES,weekly,RR,2008-04-08,1370.25,1369.25,1363.75,1364.75,1365.0,1367.75
ES,weekly,RR,2008-04-15,1338.75,1338.0,1329.5,1329.5,1337.5,1329.5
ES,weekly,RR,2008-04-22,1385.25,1384.0,1378.5,1378.75,1384.0,1378.75
ES,weekly,RR,2008-04-29,1398.25,1397.5,1388.75,1389.5,1395.0,1389.5
ES,weekly,RR,2008-05-06,1403.0,1402.5,1397.0,1398.0,1400.5,1402.0
ES,weekly,RR,2008-05-13,1408.25,1405.75,1399.5,1400.0,1407.5,1402.0
ES,weekly,RR,2008-05-20,1422.0,1420.5,1415.0,1416.75,1421.25,1418.25
ES,weekly,RR,2008-05-27,1384.25,1383.5,1375.5,1375.5,1375.5,1380.5
ES,weekly,RR,2008-06-03,1393.0,1392.75,1385.25,1386.25,1390.0,1388.0
ES,weekly,RR,2008-06-10,1361.25,1360.75,1351.25,1351.75,1353.0,1359.5
ES,weekly,RR,2008-06-17,1369.0,1368.5,1360.75,1361.5,1368.5,1361.5
ES,weekly,RR,2008-06-24,1317.0,1315.5,1305.25,1308.0,1314.0,1309.25
ES,weekly,RR,2008-07-01,1280.75,1279.25,1266.25,1268.25,1267.0,1275.5
ES,weekly,RR,2008-07-08,1257.75,1256.5,1247.75,1248.5,1251.0,1250.0
ES,weekly,RR,2008-07-15,1218.75,1217.5,1200.75,1204.25,1218.75,1206.75
ES,weekly,RR,2008-07-22,1260.25,1259.0,1248.75,1250.25,1251.25,1256.5
ES,weekly,RR,2008-07-29,1248.75,1248.0,1237.25,1237.75,1238.75,1246.75
ES,weekly,RR,2008-08-05,1266.75,1266.0,1257.5,1258.5,1259.0,1265.0
ES,weekly,RR,2008-08-12,1301.75,1300.25,1295.5,1295.75,1301.25,1295.75
ES,weekly,RR,2008-08-19,1274.5,1272.75,1265.5,1266.5,1271.5,1266.5
ES,weekly,RR,2008-08-26,1271.75,1271.25,1263.25,1263.5,1267.0,1271.25
ES,weekly,RR,2008-09-02,1303.5,1302.0,1296.0,1297.0,1296.75,1297.5
ES,weekly,RR,2008-09-09,1269.5,1268.5,1258.0,1259.0,1267.0,1259.0
ES,weekly,RR,2008-09-16,1191.75,1191.0,1167.25,1172.75,1168.0,1191.0
ES,weekly,RR,2008-09-23,1222.75,1220.5,1207.25,1207.75,1210.75,1219.25
ES,weekly,RR,2008-09-30,1149.25,1148.0,1132.0,1134.25,1139.75,1144.75
ES,weekly,RR,2008-10-07,1078.0,1073.75,1051.75,1057.25,1073.5,1067.75
ES,weekly,RR,2008-10-14,1057.5,1049.25,1014.0,1016.0,1051.75,1022.0
ES,weekly,RR,2008-10-21,986.0,985.25,966.5,971.0,969.5,981.75
ES,weekly,RR,2008-10-28,881.5,878.75,862.0,863.25,871.5,863.25
ES,weekly,RR,2008-11-04,992.75,992.25,980.0,981.25,988.0,992.25
ES,weekly,RR,2008-11-11,906.0,902.0,888.75,891.75,904.0,892.75
ES,weekly,RR,2008-11-18,864.5,864.5,844.0,846.25,847.5,864.5
ES,weekly,RR,2008-11-25,870.75,869.0,855.25,856.5,868.75,862.5
ES,weekly,RR,2008-12-02,838.0,837.5,817.75,820.0,829.75,834.5
ES,weekly,RR,2008-12-09,911.0,909.75,894.0,896.0,898.75,908.0
ES,weekly,RR,2008-12-16,885.0,884.5,875.75,878.75,877.25,881.0
ES,weekly,RR,2008-12-23,876.0,875.0,869.25,870.75,873.25,874.25
ES,weekly,RR,2008-12-30,876.0,875.75,868.75,870.5,872.5,875.75
ES,weekly,RR,2009-01-06,942.75,940.75,926.0,927.5,934.0,927.5
ES,weekly,RR,2009-01-13,873.75,872.75,861.5,861.5,863.5,868.0
