symbol,day_date,day_num,week_id,RDR_Trade_Direction,RDR_Box_Direction,RDR_Session_True,ADR_Model,ADR_Trade_Direction,ADR_Box_Direction,ADR_Session_True,ODR_Model,ODR_Trade_Direction,ODR_Box_Direction,ODR_Session_True,NextRDR_Model,NextRDR_Trade_Direction,NextRDR_Box_Direction,NextRDR_Session_True,Asia_Mid_Break_Detected,Asia_Mid_Break_Time,Asia_Mid_Break_Direction,Asia_Mid_Break_Session,Overnight_Mid_Break_Detected,Overnight_Mid_Break_Time,Overnight_Mid_Break_Direction,Overnight_Mid_Break_Session,First_Mid_Break
ES,2008-01-02,2,2008-01-01,Short,down,True,DXP,Long,up,True,RX,Short,down,True,RX,Long,up,False,False,N/A,N/A,N/A,True,11:15,down,RS,overnight
ES,2008-01-03,3,2008-01-01,Long,up,False,RC,Long,down,True,UXP,Long,up,True,DXP,Short,down,True,True,02:20,down,TO,True,08:30,down,TR,asia
ES,2008-01-04,4,2008-01-01,Short,down,True,DXP,Long,up,True,U,Long,down,True,D,Short,down,False,True,08:30,down,TR,True,13:35,down,RS,asia
ES,2008-01-07,5,2008-01-01,Short,down,False,RC,Long,up,True,UXP,Long,up,True,UXP,Short,up,True,True,02:05,up,TO,True,09:25,down,TR,asia
ES,2008-01-08,1,2008-01-08,Short,up,True,DXP,Long,up,True,UXP,Short,down,True,RX,Short,up,False,True,11:30,down,RS,True,15:20,down,RS,asia
ES,2008-01-09,2,2008-01-08,Short,up,False,UXP,Long,down,False,DXP,Short,down,True,RX,Long,up,True,True,07:20,down,OS,True,15:15,up,RS,asia
ES,2008-01-10,3,2008-01-08,Long,up,True,UXP,Short,up,True,DXP,Short,up,True,RX,Long,down,False,True,02:40,up,TO,True,10:30,up,RS,asia
ES,2008-01-11,4,2008-01-08,Long,down,False,RC,Short,up,True,DX,Long,up,True,UX,Long,down,True,True,10:50,up,RS,True,10:05,down,RR,overnight
ES,2008-01-14,5,2008-01-08,Long,down,True,UXP,Short,flat,True,DXP,Short,up,True,DXP,Short,down,True,True,03:55,up,OR,True,09:40,down,RR,asia
ES,2008-01-15,1,2008-01-15,Short,down,True,DXP,Long,up,True,RX,Short,up,False,UX,Short,down,False,False,N/A,N/A,N/A,False,N/A,N/A,N/A,none
ES,2008-01-16,2,2008-01-15,Short,down,False,RC,Long,down,False,UXP,Short,down,True,DXP,Short,down,True,True,02:00,down,TO,True,09:35,up,RR,asia
ES,2008-01-17,3,2008-01-15,Short,down,True,DXP,Long,up,True,UXP,Short,down,False,RX,Short,up,True,True,07:00,down,OS,True,14:25,down,RS,asia
ES,2008-01-18,4,2008-01-15,Short,up,True,DXP,Short,down,True,DXP,Short,down,True,DXP,Short,down,True,True,04:05,down,OS,False,N/A,N/A,N/A,asia
ES,2008-01-21,5,2008-01-15,Short,down,True,DXP,Long,flat,False,DXP,Long,up,True,UXP,Long,up,True,False,N/A,N/A,N/A,False,N/A,N/A,N/A,none
ES,2008-01-22,1,2008-01-22,Long,up,True,UX,Short,down,True,UX,Short,down,True,DX,Long,up,True,True,04:05,up,OS,True,10:40,up,RS,asia
ES,2008-01-23,2,2008-01-22,Long,up,True,UXP,Short,down,False,D,Short,up,False,U,Long,down,True,True,02:35,up,TO,True,15:45,up,RS,asia
ES,2008-01-24,3,2008-01-22,Long,down,True,UXP,Long,up,False,UXP,Short,up,True,RX,Short,down,True,True,02:00,down,TO,False,N/A,N/A,N/A,asia
ES,2008-01-25,4,2008-01-22,Short,down,True,DXP,Short,down,True,DXP,Long,up,True,U,Long,up,True,True,04:40,down,OS,False,N/A,N/A,N/A,asia
ES,2008-01-28,5,2008-01-22,Long,up,True,UXP,Short,down,True,DX,Long,up,True,UXP,Long,down,True,True,08:00,up,OS,True,15:40,up,RS,asia
ES,2008-01-29,1,2008-01-29,Long,down,True,RC,Long,flat,False,DXP,Long,up,True,U,Long,up,True,True,02:10,up,TO,True,09:55,down,RR,asia
ES,2008-01-30,2,2008-01-29,Long,up,True,DXP,Long,up,True,UXP,Short,down,True,DX,Long,up,True,True,05:55,up,OS,False,N/A,N/A,N/A,asia
ES,2008-01-31,3,2008-01-29,Long,up,True,UXP,Short,down,True,UXP,Long,up,True,UXP,Short,up,True,True,08:30,down,TR,True,15:10,up,RS,asia
ES,2008-02-01,4,2008-01-29,Short,up,True,UXP,Long,flat,False,RX,Short,down,True,DXP,Short,down,True,True,02:05,up,TO,True,10:05,up,RR,asia
ES,2008-02-04,5,2008-01-29,Short,down,True,DXP,Short,down,False,UXP,Short,down,True,DXP,Short,up,True,True,02:00,down,TO,False,N/A,N/A,N/A,asia
