symbol,day_date,session,session_id,start,end,day_num,week_id,DR_high,DR_low,IDR_high_close,IDR_low_close,IDR_mid,range_open,range_end_close
ES,2008-01-02,AR,ES-20080102-AR,2008-01-02 19:30:00-05:00,2008-01-02 20:25:00-05:00,2,2008-01-01,1461.5,1460.5,1461.5,1460.5,1461.0,1460.75,1461.0
ES,2008-01-02,OR,ES-20080102-OR,2008-01-03 03:00:00-05:00,2008-01-03 03:55:00-05:00,2,2008-01-01,1462.75,1458.5,1462.5,1459.5,1461.0,1460.5,1459.5
ES,2008-01-02,RR,ES-20080102-RR,2008-01-02 09:30:00-05:00,2008-01-02 10:25:00-05:00,2,2008-01-01,1480.5,1465.0,1479.75,1466.5,1473.125,1476.0,1467.75
ES,2008-01-03,AR,ES-20080103-AR,2008-01-03 19:30:00-05:00,2008-01-03 20:25:00-05:00,3,2008-01-01,1457.5,1455.0,1457.25,1455.25,1456.25,1457.25,1455.5
ES,2008-01-03,OR,ES-20080103-OR,2008-01-04 03:00:00-05:00,2008-01-04 03:55:00-05:00,3,2008-01-01,1461.75,1459.75,1461.75,1460.75,1461.25,1460.75,1461.0
ES,2008-01-03,RR,ES-20080103-RR,2008-01-03 09:30:00-05:00,2008-01-03 10:25:00-05:00,3,2008-01-01,1463.75,1454.5,1463.25,1455.25,1459.25,1458.75,1459.5
ES,2008-01-04,AR,ES-20080104-AR,2008-01-06 19:30:00-05:00,2008-01-06 20:25:00-05:00,4,2008-01-01,1427.5,1422.0,1427.25,1422.5,1424.875,1422.25,1427.25
ES,2008-01-04,OR,ES-20080104-OR,2008-01-07 03:00:00-05:00,2008-01-07 03:55:00-05:00,4,2008-01-01,1428.75,1421.75,1428.5,1423.0,1425.75,1426.75,1423.0
ES,2008-01-04,RR,ES-20080104-RR,2008-01-04 09:30:00-05:00,2008-01-04 10:25:00-05:00,4,2008-01-01,1443.75,1432.0,1441.0,1433.25,1437.125,1442.75,1433.25
ES,2008-01-07,AR,ES-20080107-AR,2008-01-07 19:30:00-05:00,2008-01-07 20:25:00-05:00,5,2008-01-01,1422.0,1421.0,1422.0,1421.25,1421.625,1421.5,1422.0
ES,2008-01-07,OR,ES-20080107-OR,2008-01-08 03:00:00-05:00,2008-01-08 03:55:00-05:00,5,2008-01-01,1428.25,1424.25,1427.75,1425.25,1426.5,1425.0,1427.5
ES,2008-01-07,RR,ES-20080107-RR,2008-01-07 09:30:00-05:00,2008-01-07 10:25:00-05:00,5,2008-01-01,1429.5,1412.25,1428.25,1413.25,1420.75,1427.0,1413.25
ES,2008-01-08,AR,ES-20080108-AR,2008-01-08 19:30:00-05:00,2008-01-08 20:25:00-05:00,1,2008-01-08,1398.5,1397.5,1398.25,1397.75,1398.0,1397.5,1398.25
ES,2008-01-08,OR,ES-20080108-OR,2008-01-09 03:00:00-05:00,2008-01-09 03:55:00-05:00,1,2008-01-08,1406.75,1400.0,1405.5,1401.0,1403.25,1406.0,1401.0
ES,2008-01-08,RR,ES-20080108-RR,2008-01-08 09:30:00-05:00,2008-01-08 10:25:00-05:00,1,2008-01-08,1437.75,1427.25,1437.0,1428.25,1432.625,1429.75,1433.75
ES,2008-01-09,AR,ES-20080109-AR,2008-01-09 19:30:00-05:00,2008-01-09 20:25:00-05:00,2,2008-01-08,1413.25,1411.5,1413.25,1411.75,1412.5,1413.0,1412.0
