symbol,pair_day,day_num,asia_range_mid,win_start,win_end,sequence_open,combined_high,combined_low,combined_high_time,combined_low_time,combined_high_where,combined_low_where,cycle_pair,combined_high_pct_change,combined_low_pct_change,AS_high,AS_low,AS_high_time,AS_low_time,AS_high_pct_change,AS_low_pct_change,TO_high,TO_low,TO_high_time,TO_low_time,TO_high_pct_change,TO_low_pct_change,OR_high,OR_low,OR_high_time,OR_low_time,OR_high_pct_change,OR_low_pct_change,OS_high,OS_low,OS_high_time,OS_low_time,OS_high_pct_change,OS_low_pct_change,AR_model,AR_box_direction,AR_trade_direction,AS_breakout_dir,AS_session_true,AS_box_direction,OR_model,OR_box_direction,OR_trade_direction,OS_breakout_dir,OS_session_true,OS_box_direction,win_start_idx,win_start_scaled,win_end_idx,win_end_scaled,combined_high_idx,combined_high_scaled,combined_low_idx,combined_low_scaled,AS_high_idx,AS_high_scaled,AS_low_idx,AS_low_scaled,TO_high_idx,TO_high_scaled,TO_low_idx,TO_low_scaled,OR_high_idx,OR_high_scaled,OR_low_idx,OR_low_scaled,OS_high_idx,OS_high_scaled,OS_low_idx,OS_low_scaled
ES,2008-01-01,1,,20:30,08:25,1478.75,1482.75,1476.0,06:05,08:15,OS,OS,ODR-ODR,,,,,,,,,,,,,,,,,,,,,1482.75,1476.0,06:05,08:15,,,N/A,flat,Undefined,,,flat,N/A,flat,Undefined,,,flat,0.0,0.0,23.0,1.0,19.0,0.8260869565217391,23.0,1.0,,,,,,,,,,,,,19.0,0.8260869565217391,23.0,1.0
ES,2008-01-02,2,1461.0,20:30,08:25,1461.0,1464.0,1455.0,01:40,06:05,AS,OS,Asia-ODR,0.20533880903490762,-0.41067761806981523,1464.0,1460.5,01:40,20:30,0.20533880903490762,-0.034223134839151265,1463.5,1459.75,02:00,02:20,0.17111567419575632,-0.08555783709787816,1462.75,1459.5,03:15,03:00,0.11978097193702943,-0.10266940451745381,1463.0,1455.0,08:20,06:05,0.13689253935660506,-0.41067761806981523,DXP,up,Long,Long,True,up,RX,down,Short,Short,True,down,0.0,0.0,23.0,1.0,10.0,0.43478260869565216,19.0,0.8260869565217391,10.0,0.43478260869565216,0.0,0.0,11.0,0.4782608695652174,11.0,0.4782608695652174,13.0,0.5652173913043478,13.0,0.5652173913043478,23.0,1.0,19.0,0.8260869565217391
ES,2008-01-03,3,1456.25,20:30,08:25,1455.5,1463.25,1455.25,05:15,20:35,OS,AS,Asia-ODR,0.48068669527896996,-0.06866952789699571,1463.0,1455.25,23:10,20:35,0.46351931330472107,-0.06866952789699571,1462.75,1460.5,02:05,02:45,0.4463519313304721,0.2918454935622318,1461.75,1459.75,03:15,03:00,0.3776824034334764,0.24034334763948498,1463.25,1459.25,05:15,08:10,0.48068669527896996,0.20600858369098715,RC,down,Long,Long,True,down,UXP,up,Long,Long,True,up,0.0,0.0,23.0,1.0,17.0,0.7391304347826086,0.0,0.0,5.0,0.21739130434782608,0.0,0.0,11.0,0.4782608695652174,12.0,0.5217391304347826,13.0,0.5652173913043478,13.0,0.5652173913043478,17.0,0.7391304347826086,23.0,1.0
ES,2008-01-04,4,1424.875,20:30,08:25,1427.0,1432.25,1421.75,07:05,03:50,OS,OR,ODR-ODRRange,0.5175892622159839,-0.2193174839898237,1428.25,1423.5,22:25,01:45,0.23686288270900954,-0.09649969295552241,1427.5,1423.5,02:45,02:00,0.18422668655145188,-0.09649969295552241,1428.75,1421.75,03:05,03:50,0.27195368014738136,-0.2193174839898237,1432.25,1423.0,07:05,04:00,0.5175892622159839,-0.1315904903938942,DXP,up,Long,Long,True,up,U,down,Long,Long,True,down,0.0,0.0,23.0,1.0,21.0,0.9130434782608695,14.0,0.6086956521739131,3.0,0.13043478260869565,10.0,0.43478260869565216,12.0,0.5217391304347826,11.0,0.4782608695652174,13.0,0.5652173913043478,14.0,0.6086956521739131,21.0,0.9130434782608695,15.0,0.6521739130434783
ES,2008-01-07,5,1421.625,20:30,08:25,1422.0,1434.0,1421.0,08:00,20:40,OS,AS,Asia-ODR,0.8704827222368767,-0.04396377385034732,1426.75,1421.0,22:40,20:40,0.36050294557284795,-0.04396377385034732,1425.25,1423.5,02:10,02:20,0.2549898883320144,0.13189132155104194,1428.25,1424.25,03:15,03:00,0.4660160028136815,0.1846478501714587,1434.0,1426.25,08:00,04:40,0.8704827222368767,0.32533192649257014,RC,up,Long,Long,True,up,UXP,up,Long,Long,True,up,0.0,0.0,23.0,1.0,23.0,1.0,0.0,0.0,4.0,0.17391304347826086,0.0,0.0,11.0,0.4782608695652174,11.0,0.4782608695652174,13.0,0.5652173913043478,13.0,0.5652173913043478,23.0,1.0,16.0,0.6956521739130435
ES,2008-01-08,1,1398.0,20:30,08:25,1398.0,1406.75,1395.5,02:45,08:15,TO,OS,ODR-TransODR,0.6258941344778255,-0.17882689556509299,1404.5,1397.5,01:25,22:20,0.46494992846924177,-0.035765379113018594,1406.75,1402.5,02:45,02:30,0.6258941344778255,0.3218884120171674,1406.75,1400.75,03:00,03:50,0.6258941344778255,0.19670958512160228,1405.5,1395.5,06:20,08:15,0.5364806866952789,-0.17882689556509299,DXP,up,Long,Long,True,up,UXP,down,Short,Short,True,down,0.0,0.0,23.0,1.0,12.0,0.5217391304347826,23.0,1.0,9.0,0.391304347826087,3.0,0.13043478260869565,12.0,0.5217391304347826,12.0,0.5217391304347826,13.0,0.5652173913043478,14.0,0.6086956521739131,19.0,0.8260869565217391,23.0,1.0
ES,2008-01-09,2,1412.5,20:30,08:25,1411.75,1413.75,1405.25,22:15,04:30,AS,OS,Asia-ODR,0.08849557522123894,-0.5132743362831859,1413.75,1407.0,22:15,01:40,0.08849557522123894,-0.3893805309734513,1412.5,1408.0,02:40,02:00,0.0,-0.3185840707964602,1411.75,1408.5,03:00,03:50,-0.05309734513274337,-0.2831858407079646,1412.0,1405.25,07:50,04:30,-0.035398230088495575,-0.5132743362831859,UXP,down,Long,Long,False,down,DXP,down,Short,Short,True,down,0.0,0.0,23.0,1.0,3.0,0.13043478260869565,16.0,0.6956521739130435,3.0,0.13043478260869565,10.0,0.43478260869565216,12.0,0.5217391304347826,11.0,0.4782608695652174,13.0,0.5652173913043478,14.0,0.6086956521739131,22.0,0.9565217391304348,16.0,0.6956521739130435
ES,2008-01-10,3,1420.125,20:30,08:25,1420.25,1420.25,1406.0,20:30,06:55,AS,OS,Asia-ODR,0.008802042073761111,-0.9946307543350057,1420.25,1410.75,20:30,01:50,0.008802042073761111,-0.6601531555320834,1415.5,1410.75,02:40,02:00,-0.32567555672916115,-0.6601531555320834,1415.5,1412.0,03:35,03:00,-0.32567555672916115,-0.5721327347944724,1415.25,1406.0,04:50,06:55,-0.3432796408766834,-0.9946307543350057,UXP,up,Short,Short,True,up,DXP,up,Short,Short,True,up,0.0,0.0,23.0,1.0,0.0,0.0,20.0,0.8695652173913043,0.0,0.0,10.0,0.43478260869565216,12.0,0.5217391304347826,11.0,0.4782608695652174,14.0,0.6086956521739131,13.0,0.5652173913043478,16.0,0.6956521739130435,20.0,0.8695652173913043
ES,2008-01-11,4,1413.0,20:30,08:25,1414.25,1418.75,1399.75,08:10,02:00,OS,TO,ODR-TransODR,0.4069355980184005,-0.937721160651097,1414.5,1408.0,20:30,01:05,0.10615711252653928,-0.3538570417551309,1411.0,1399.75,02:25,02:00,-0.14154281670205238,-0.937721160651097,1412.75,1407.25,03:50,03:00,-0.017692852087756547,-0.4069355980184005,1418.75,1409.25,08:10,04:35,0.4069355980184005,-0.2653927813163482,RC,up,Short,Short,True,up,DX,up,Long,Long,True,up,0.0,0.0,23.0,1.0,23.0,1.0,11.0,0.4782608695652174,0.0,0.0,9.0,0.391304347826087,11.0,0.4782608695652174,11.0,0.4782608695652174,14.0,0.6086956521739131,13.0,0.5652173913043478,23.0,1.0,16.0,0.6956521739130435
ES,2008-01-14,5,1419.625,20:30,08:25,1419.0,1420.0,1407.25,20:40,08:20,AS,OS,Asia-ODR,0.02641542660913974,-0.8717090781016114,1420.0,1412.25,20:40,01:40,0.02641542660913974,-0.5195033899797482,1415.5,1413.0,02:25,02:00,-0.2905696927005371,-0.4666725367614687,1415.25,1412.75,03:40,03:20,-0.3081799771066303,-0.4842828211675618,1416.75,1407.25,06:30,08:20,-0.2025182706700713,-0.8717090781016114,UXP,flat,Short,Short,True,flat,DXP,up,Short,Short,True,up,0.0,0.0,23.0,1.0,0.0,0.0,23.0,1.0,0.0,0.0,10.0,0.43478260869565216,11.0,0.4782608695652174,11.0,0.4782608695652174,14.0,0.6086956521739131,13.0,0.5652173913043478,20.0,0.8695652173913043,23.0,1.0
ES,2008-01-15,1,1374.5,20:30,08:25,1375.0,1380.5,1371.75,07:40,06:50,OS,OS,ODR-ODR,0.43652237177155323,-0.20007275372862862,1379.75,1373.75,21:25,00:55,0.38195707530010914,-0.054565296471444154,1378.25,1374.25,02:45,02:00,0.2728264823572208,-0.018188432157148052,1379.25,1373.0,03:50,03:15,0.34558021098581304,-0.10913059294288831,1380.5,1371.75,07:40,06:50,0.43652237177155323,-0.20007275372862862,DXP,up,Long,Long,True,up,RX,up,Short,Short,False,up,0.0,0.0,23.0,1.0,22.0,0.9565217391304348,20.0,0.8695652173913043,1.0,0.043478260869565216,8.0,0.34782608695652173,12.0,0.5217391304347826,11.0,0.4782608695652174,14.0,0.6086956521739131,13.0,0.5652173913043478,22.0,0.9565217391304348,20.0,0.8695652173913043
