ODR_Model,OR_Box_Direction,OS_confirm_dir,OS_stays_true,num_days,low_p80,low_p50,low_p20,high_p20,high_p50,high_p80
D,down,Long,False,11.0,-0.4603461336751938,-0.8327618301165867,-1.680496060869305,-0.10725080438103286,0.348491287717807,0.8144694714373982
D,down,Long,True,57.0,0.01754941014604842,-0.30282810655443204,-0.9341996331963353,0.2995794090642633,0.7690617446715007,1.3822568991224737
D,down,Short,False,10.0,0.1399326599263369,-0.30819439792315373,-0.7811940694076692,0.5429039181523333,0.6785035325702238,1.0413975067130334
D,down,Short,True,50.0,-0.23888559138839421,-0.6546684304200023,-1.380161719513828,0.02607228878909399,0.31700141751491384,0.7767766523497418
D,down,,,5.0,-0.02469824603109691,-0.4998387616897775,-0.7356640108465287,0.24906693655817777,0.3955264593562466,0.8244861959127981
D,flat,Long,True,5.0,0.10364578909833128,0.042890006628455574,-0.09399118793855643,0.7474110065539992,0.8694974071041448,0.9507433431545275
D,flat,Short,True,2.0,-0.178472467650567,-0.27547606219863535,-0.3724796567467037,0.3080118741586373,0.6228265450629328,0.9376412159672283
D,up,Long,False,12.0,-0.34618312589008404,-0.7727814615737636,-1.3066129016882582,0.12048413959895521,0.40851307145369253,0.8230888658925803
D,up,Long,True,53.0,0.11676161145954735,-0.29144322685940777,-1.008891488666984,0.21095203163866924,0.7694348633589811,1.4536427937308896
D,up,Short,False,12.0,0.02001689398107123,-0.1601530043384324,-0.4646283312007328,0.3132300955683373,0.6689499696068302,1.1902195842125047
D,up,Short,True,44.0,-0.47418393722768143,-0.915746356828832,-1.6832210222315458,-0.022926239405282677,0.2821500931685058,0.76079023831792
D,up,,,4.0,-0.363594371073375,-0.6591623567589494,-1.4322721009614496,0.11431656553976063,0.3415666901905434,0.4384809235967004
DX,down,Long,False,19.0,-0.37116649662022394,-0.6436847375196681,-1.5326708493026227,0.049406513470121344,0.32893706337520756,0.5596628489031482
DX,down,Long,True,103.0,0.0070183109813184985,-0.23638553142143526,-0.6030920788679048,0.3407822884609423,0.6259127894846651,1.2187186269469763
DX,down,Short,False,23.0,-0.08712195403398326,-0.363433044450657,-0.6858686063024536,0.23250559539619903,0.5159224337306529,0.9981406300714154
DX,down,Short,True,64.0,-0.4592114890695152,-0.7439582992517141,-1.5208565147335837,-0.029551575693273692,0.24033891557505296,0.7540603831991364
DX,down,,,12.0,-0.11158638646085177,-0.5866611774392754,-0.7296804269981758,0.3126848643623764,0.5579319323042589,0.80399972974799
DX,flat,Long,False,2.0,-0.024566011430196308,-0.16449206911912678,-0.30441812680805724,0.22461182344821573,0.41239124664528526,0.6001706698423548
DX,flat,Long,True,12.0,0.07664899537971244,-0.022474655312084348,-0.2910968487375994,0.43817776462484026,0.697233108056937,0.9169208989990053
DX,flat,Short,False,1.0,-0.26785714285714285,-0.26785714285714285,-0.26785714285714285,0.11278195488721805,0.11278195488721805,0.11278195488721805
DX,flat,Short,True,3.0,-0.12436744297433006,-0.23626698168930893,-0.515458258317242,0.2328507524052943,0.29860650298606506,0.35586739696568986
DX,flat,,,2.0,0.10799136069114472,0.10799136069114472,0.10799136069114472,1.0259179265658747,1.0259179265658747,1.0259179265658747
DX,up,Long,False,10.0,-0.4297649180154688,-0.8074326449017029,-1.6060455660419963,0.20689559034121113,0.45398833704501007,2.997718224038956
DX,up,Long,True,60.0,0.14288537222125677,-0.16872190375646967,-0.665084572386979,0.2339757274696499,0.6940704147733208,1.4396301941619114
DX,up,Short,False,18.0,-0.09054407845696875,-0.24092342588337445,-0.42717945930460194,0.18582579019295237,0.5113367584515921,1.0361817931868662
DX,up,Short,True,52.0,-0.29102175891166715,-0.5744335191902599,-1.5392321980102086,0.07600852253831342,0.23997041994130036,0.4748082148762087
DX,up,,,8.0,0.19097912120980193,-0.4108202709094342,-1.2375814772707672,0.24787576781443132,0.48116491777501824,1.0441919728155236
DXP,down,Long,False,68.0,-0.43295623077741335,-0.6790937275604929,-1.5074124653844696,0.2163783744817842,0.5195785311420271,1.5311437324575312
DXP,down,Long,True,277.0,0.060850279199655556,-0.1637256685464799,-0.5591820277393466,0.326290529712831,0.6988505747126437,1.5286599362180036
DXP,down,Short,False,70.0,-0.15892253719990646,-0.3814104053751293,-1.0589271437084125,0.328069905510804,0.6245139019395913,1.2750233432901499
DXP,down,Short,True,202.0,-0.17866430469513567,-0.6129383786451175,-1.4720861808030785,0.0178592692138036,0.29544605977647853,0.8062941072342092
DXP,down,,,33.0,-0.026522001205545414,-0.22854240731335704,-0.9323681827636703,0.20722083264557697,0.48784626479446824,1.128385127353978
DXP,flat,Long,False,5.0,-0.3759016703282092,-0.4299615297578638,-0.8877264904451638,0.41426730309315457,0.43422133552399955,0.9804298570033666
DXP,flat,Long,True,14.0,-0.017599614900838244,-0.09204370470294038,-0.347507147594279,0.5179490583181325,0.7636171752113927,0.9823674284156104
DXP,flat,Short,False,7.0,-0.07576715108165442,-0.26690391459074736,-1.2073387720169833,0.15154042080844712,0.21097046413502107,0.5145721059040992
DXP,flat,Short,True,10.0,-0.23010803606058838,-0.4192535225132584,-0.6901617201954707,0.27087848582638374,0.42762896779261106,0.6323765049351078
DXP,flat,,,2.0,-0.9535601617862905,-1.8260789073448054,-2.69859765290332,0.5693442873367027,0.7035910446373422,0.8378378019379819
DXP,up,Long,False,32.0,-0.1739235383434317,-0.5925241884962528,-1.4926594736385275,0.18733558328745345,0.4341331930581151,0.6437863623968219
DXP,up,Long,True,120.0,0.0007952602489164691,-0.236039009225966,-0.8377514619720144,0.3370893047355881,0.6960918262329411,1.4152804611084728
DXP,up,Short,False,32.0,-0.21771637427608143,-0.5344861056297974,-0.8022177046426462,0.28735828100411615,0.6817696917974281,1.2376276945414302
DXP,up,Short,True,119.0,-0.42195563676167236,-0.8238569447816987,-1.7916312055717143,-0.005239717055278996,0.2867541411320489,0.6936793084887712
DXP,up,,,22.0,-0.09167103195390257,-0.46022353714661407,-1.1606258665082194,0.15079402478676782,0.33824749505392815,0.6540364426209726
RC,down,Long,False,10.0,-0.40354823260800454,-0.7532407574628868,-1.089594152810697,0.18313453066418164,0.7490931184056546,1.5647443696836958
RC,down,Long,True,33.0,0.1685952952167149,-0.10759115361625822,-0.5363432824837457,0.35360414749011576,0.6578947368421052,1.1103007233685436
