session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120806-RR,2012-08-06,RR,2012-08-06 10:25:00-04:00,breakout_long,0.773521363735199,-3.1716748981580167,1.0,0,-3.1716748981580167,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20121226-AR,2012-12-26,AR,2012-12-26 20:25:00-05:00,breakout_long,4.293021202087402,0.0,0.0,-1,-3.1716748981580167,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121227-AR,2012-12-27,AR,2012-12-27 20:25:00-05:00,breakout_long,2.9825003147125244,0.0,0.0,-1,-3.1716748981580167,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121228-AR,2012-12-28,AR,2012-12-30 20:25:00-05:00,breakout_long,2.508000612258911,-1.0,1.0,1,-4.171674898158017,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121220-AR,2012-12-20,AR,2012-12-20 20:25:00-05:00,fade_low_long,0.8848413825035095,0.0,0.0,-1,-4.171674898158017,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121221-AR,2012-12-21,AR,2012-12-23 20:25:00-05:00,mid_revert_short,0.5719159841537476,0.0,0.0,-1,-4.171674898158017,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130111-AR,2013-01-11,AR,2013-01-13 20:25:00-05:00,breakout_long,1.63930344581604,-1.25,1.0,1,-5.421674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130102-AR,2013-01-02,AR,2013-01-02 20:25:00-05:00,fade_high_short,1.524821400642395,0.0,0.0,-1,-5.421674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130118-AR,2013-01-18,AR,2013-01-20 20:25:00-05:00,fade_high_short,1.5056402683258057,1.25,1.0,1,-4.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130122-AR,2013-01-22,AR,2013-01-22 20:25:00-05:00,fade_high_short,1.4479478597640991,0.0,0.0,-1,-4.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130116-AR,2013-01-16,AR,2013-01-16 20:25:00-05:00,breakout_long,1.365180253982544,-3.0,1.0,1,-7.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130110-AR,2013-01-10,AR,2013-01-10 20:25:00-05:00,fade_high_short,1.3560677766799927,0.0,0.0,-1,-7.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130104-AR,2013-01-04,AR,2013-01-06 20:25:00-05:00,fade_high_short,1.2920094728469849,0.0,0.0,-1,-7.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130103-AR,2013-01-03,AR,2013-01-03 20:25:00-05:00,fade_high_short,1.0865839719772339,0.0,0.0,-1,-7.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130109-AR,2013-01-09,AR,2013-01-09 20:25:00-05:00,fade_high_short,1.0727649927139282,-4.0,1.0,1,-11.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130115-AR,2013-01-15,AR,2013-01-15 20:25:00-05:00,fade_high_short,1.0263934135437012,0.0,0.0,-1,-11.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130108-AR,2013-01-08,AR,2013-01-08 20:25:00-05:00,fade_high_short,1.0214314460754395,0.75,1.0,1,-10.421674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130123-AR,2013-01-23,AR,2013-01-23 20:25:00-05:00,fade_high_short,0.8078625798225403,-1.75,1.0,1,-12.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130117-AR,2013-01-17,AR,2013-01-17 20:25:00-05:00,breakout_long,0.6498335003852844,1.0,1.0,1,-11.171674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130114-AR,2013-01-14,AR,2013-01-14 20:25:00-05:00,fade_high_short,0.6239696741104126,3.5,1.0,1,-7.671674898158017,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130607-RR,2013-06-07,RR,2013-06-07 10:25:00-04:00,breakout_long,0.6571546792984009,-3.684801572449942,1.0,0,-11.356476470607959,2009-04-01,2013-03-31,2013-04-01,2013-06-30
ES-20130906-RR,2013-09-06,RR,2013-09-06 10:25:00-04:00,fade_low_long,1.6419554948806763,0.0,0.0,-1,-11.356476470607959,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130717-RR,2013-07-17,RR,2013-07-17 10:25:00-04:00,mid_revert_short,0.6271542310714722,0.0,0.0,-1,-11.356476470607959,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130812-TOUT,2013-08-12,TOUT,2013-08-12 16:55:00-04:00,mid_revert_short,0.514940083026886,0.25,1.0,1,-11.106476470607959,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20131015-RR,2013-10-15,RR,2013-10-15 10:25:00-04:00,mid_revert_short,0.5325797200202942,3.625,1.0,2,-7.481476470607959,2009-10-01,2013-09-30,2013-10-01,2013-12-31
ES-20140203-RR,2014-02-03,RR,2014-02-03 10:25:00-05:00,fade_low_long,1.2524447441101074,-2.4580589348720423,1.0,0,-9.939535405480001,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140508-RR,2014-05-08,RR,2014-05-08 10:25:00-04:00,fade_low_long,0.824112057685852,-2.753853937328131,1.0,0,-12.693389342808132,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140826-RR,2014-08-26,RR,2014-08-26 10:25:00-04:00,fade_low_long,0.641937255859375,0.5,1.0,1,-12.193389342808132,2010-07-01,2014-06-30,2014-07-01,2014-09-30
ES-20140820-RR,2014-08-20,RR,2014-08-20 10:25:00-04:00,fade_low_long,0.5769482254981995,0.0,0.0,-1,-12.193389342808132,2010-07-01,2014-06-30,2014-07-01,2014-09-30
ES-20140926-RR,2014-09-26,RR,2014-09-26 10:25:00-04:00,mid_revert_long,0.5702840685844421,0.0,0.0,-1,-12.193389342808132,2010-07-01,2014-06-30,2014-07-01,2014-09-30
ES-20141112-RR,2014-11-12,RR,2014-11-12 10:25:00-05:00,breakout_long,1.3951704502105713,0.25,1.0,1,-11.943389342808132,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141216-RR,2014-12-16,RR,2014-12-16 10:25:00-05:00,fade_low_long,1.3600236177444458,-2.5,1.0,1,-14.443389342808132,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141113-RR,2014-11-13,RR,2014-11-13 10:25:00-05:00,breakout_long,1.2957892417907715,-5.750762506952469,1.0,0,-20.1941518497606,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141015-RR,2014-10-15,RR,2014-10-15 10:25:00-04:00,fade_low_long,1.172187089920044,-4.030113465558998,1.0,0,-24.2242653153196,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141016-RR,2014-10-16,RR,2014-10-16 10:25:00-04:00,fade_low_long,1.1636582612991333,0.0,0.0,-1,-24.2242653153196,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141211-RR,2014-12-11,RR,2014-12-11 10:25:00-05:00,fade_low_long,1.15485417842865,-1.9723377625834928,1.0,0,-26.19660307790309,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141226-RR,2014-12-26,RR,2014-12-26 10:25:00-05:00,breakout_long,0.9978148937225342,-4.5,1.0,1,-30.69660307790309,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141229-RR,2014-12-29,RR,2014-12-29 10:25:00-05:00,breakout_long,0.8714320659637451,-2.75,1.0,1,-33.44660307790309,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141015-TOUT,2014-10-15,TOUT,2014-10-15 16:55:00-04:00,mid_revert_short,0.6830503344535828,0.0,0.0,-1,-33.44660307790309,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141017-TOUT,2014-10-17,TOUT,2014-10-17 16:55:00-04:00,breakout_long,0.6175699234008789,8.807734681794955,1.0,2,-24.638868396108137,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141028-RR,2014-10-28,RR,2014-10-28 10:25:00-04:00,breakout_long,0.583544909954071,10.0,1.0,1,-14.638868396108137,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141027-RR,2014-10-27,RR,2014-10-27 10:25:00-04:00,breakout_long,0.5792009234428406,2.5,1.0,1,-12.138868396108137,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141016-TOUT,2014-10-16,TOUT,2014-10-16 16:55:00-04:00,breakout_long,0.5134169459342957,-0.75,1.0,1,-12.888868396108137,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141013-TOUT,2014-10-13,TOUT,2014-10-13 16:55:00-04:00,mid_revert_short,0.5035361051559448,0.0,0.0,-1,-12.888868396108137,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20150113-RR,2015-01-13,RR,2015-01-13 10:25:00-05:00,breakout_long,3.6229326725006104,0.0,0.0,-1,-12.888868396108137,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150203-RR,2015-02-03,RR,2015-02-03 10:25:00-05:00,breakout_long,3.4511446952819824,8.75,1.0,1,-4.138868396108137,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150116-RR,2015-01-16,RR,2015-01-16 10:25:00-05:00,breakout_long,3.0276756286621094,16.011730330910723,1.0,2,11.872861934802586,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150130-RR,2015-01-30,RR,2015-01-30 10:25:00-05:00,breakout_long,2.397501230239868,-6.221423175160453,1.0,0,5.651438759642133,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150108-RR,2015-01-08,RR,2015-01-08 10:25:00-05:00,breakout_long,2.2235288619995117,6.5,1.0,1,12.151438759642133,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150209-RR,2015-02-09,RR,2015-02-09 10:25:00-05:00,breakout_long,1.9803674221038818,-6.77848011650326,1.0,0,5.3729586431388725,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150114-RR,2015-01-14,RR,2015-01-14 10:25:00-05:00,breakout_long,1.9802861213684082,0.0,0.0,-1,5.3729586431388725,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150109-RR,2015-01-09,RR,2015-01-09 10:25:00-05:00,fade_low_long,1.8500096797943115,-3.883418084075174,1.0,0,1.4895405590636983,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150205-RR,2015-02-05,RR,2015-02-05 10:25:00-05:00,breakout_long,1.5654494762420654,4.5,1.0,1,5.989540559063698,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150206-RR,2015-02-06,RR,2015-02-06 10:25:00-05:00,breakout_long,1.4890620708465576,-6.72559944390423,1.0,0,-0.7360588848405314,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150122-RR,2015-01-22,RR,2015-01-22 10:25:00-05:00,mid_revert_long,1.4617540836334229,0.0,0.0,-1,-0.7360588848405314,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150202-RR,2015-02-02,RR,2015-02-02 10:25:00-05:00,fade_low_long,1.3693374395370483,0.0,0.0,-1,-0.7360588848405314,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150204-RR,2015-02-04,RR,2015-02-04 10:25:00-05:00,breakout_long,1.279120683670044,-6.5696643814951585,1.0,0,-7.30572326633569,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150121-RR,2015-01-21,RR,2015-01-21 10:25:00-05:00,breakout_long,1.25271475315094,-7.198778764343388,1.0,0,-14.504502030679078,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150224-TOUT,2015-02-24,TOUT,2015-02-24 16:55:00-05:00,breakout_long,1.1694368124008179,0.0,0.0,-1,-14.504502030679078,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150213-TOUT,2015-02-13,TOUT,2015-02-13 16:55:00-05:00,breakout_long,1.078731894493103,0.0,0.0,-1,-14.504502030679078,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150219-TOUT,2015-02-19,TOUT,2015-02-19 16:55:00-05:00,breakout_long,1.0622729063034058,0.0,0.0,-1,-14.504502030679078,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150212-TOUT,2015-02-12,TOUT,2015-02-12 16:55:00-05:00,breakout_long,1.0387722253799438,0.0,0.0,-1,-14.504502030679078,2011-01-01,2014-12-31,2015-01-01,2015-03-31
