session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120504-AR,2012-05-04,AR,2012-05-06 20:25:00-04:00,fade_high_short,0.729241132736206,0.8400831390310941,1.0,2,0.8400831390310941,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20121226-AR,2012-12-26,AR,2012-12-26 20:25:00-05:00,breakout_long,3.7302751541137695,0.0,0.0,-1,0.8400831390310941,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121227-AR,2012-12-27,AR,2012-12-27 20:25:00-05:00,breakout_long,3.0092999935150146,0.0,0.0,-1,0.8400831390310941,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121221-AR,2012-12-21,AR,2012-12-23 20:25:00-05:00,breakout_long,2.327923059463501,-2.0,1.0,1,-1.159916860968906,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121228-AR,2012-12-28,AR,2012-12-30 20:25:00-05:00,breakout_long,2.223403215408325,-1.0,1.0,1,-2.159916860968906,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130115-AR,2013-01-15,AR,2013-01-15 20:25:00-05:00,breakout_short,0.7930780649185181,2.0,1.0,1,-0.1599168609689059,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130114-AR,2013-01-14,AR,2013-01-14 20:25:00-05:00,breakout_short,0.6568706631660461,1.25,1.0,1,1.090083139031094,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20131111-AR,2013-11-11,AR,2013-11-11 20:25:00-05:00,fade_high_short,0.6303282976150513,0.75,1.0,1,1.840083139031094,2009-10-01,2013-09-30,2013-10-01,2013-12-31
ES-20150304-AR,2015-03-04,AR,2015-03-04 20:25:00-05:00,breakout_long,0.9529685974121094,1.5,1.0,1,3.340083139031094,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150224-AR,2015-02-24,AR,2015-02-24 20:25:00-05:00,breakout_long,0.9017064571380615,-0.75,1.0,1,2.590083139031094,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150223-AR,2015-02-23,AR,2015-02-23 20:25:00-05:00,breakout_long,0.8788880705833435,0.5,1.0,1,3.090083139031094,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150305-AR,2015-03-05,AR,2015-03-05 20:25:00-05:00,breakout_long,0.8423087000846863,-1.956171074904887,1.0,0,1.133912064126207,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150209-AR,2015-02-09,AR,2015-02-09 20:25:00-05:00,breakout_long,0.808239758014679,-2.1428535962513706,1.0,0,-1.0089415321251636,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150126-AR,2015-01-26,AR,2015-01-26 20:25:00-05:00,breakout_long,0.7716306447982788,-1.5,1.0,1,-2.5089415321251636,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150121-AR,2015-01-21,AR,2015-01-21 20:25:00-05:00,breakout_long,0.7620009183883667,2.0,1.0,1,-0.5089415321251636,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150330-AR,2015-03-30,AR,2015-03-30 20:25:00-04:00,breakout_long,0.6934542059898376,-1.552830925735634,1.0,0,-2.0617724578607977,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150324-AR,2015-03-24,AR,2015-03-24 20:25:00-04:00,breakout_long,0.6715731024742126,-1.3009237790979569,1.0,0,-3.3626962369587545,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150203-AR,2015-02-03,AR,2015-02-03 20:25:00-05:00,breakout_long,0.6643849015235901,-2.5359338181699513,1.0,0,-5.898630055128706,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150212-AR,2015-02-12,AR,2015-02-12 20:25:00-05:00,breakout_short,0.6252250671386719,-2.4022631907146206,1.0,0,-8.300893245843326,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150326-AR,2015-03-26,AR,2015-03-26 20:25:00-04:00,breakout_long,0.6145536303520203,-1.3430401832069947,1.0,0,-9.643933429050321,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150225-AR,2015-02-25,AR,2015-02-25 20:25:00-05:00,breakout_long,0.5982428193092346,1.5,1.0,1,-8.143933429050321,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150928-AR,2015-09-28,AR,2015-09-28 20:25:00-04:00,breakout_short,0.5876390933990479,5.0,1.0,1,-3.143933429050321,2011-07-01,2015-06-30,2015-07-01,2015-09-30
ES-20150921-AR,2015-09-21,AR,2015-09-21 20:25:00-04:00,breakout_short,0.5829874277114868,1.25,1.0,1,-1.8939334290503211,2011-07-01,2015-06-30,2015-07-01,2015-09-30
ES-20150930-AR,2015-09-30,AR,2015-09-30 20:25:00-04:00,breakout_long,1.5033994913101196,9.535949245299435,1.0,2,7.642015816249113,2011-10-01,2015-09-30,2015-10-01,2015-12-31
ES-20151001-AR,2015-10-01,AR,2015-10-01 20:25:00-04:00,breakout_short,0.9310734868049622,-1.5,1.0,1,6.142015816249113,2011-10-01,2015-09-30,2015-10-01,2015-12-31
ES-20160204-AR,2016-02-04,AR,2016-02-04 20:25:00-05:00,breakout_long,2.9393670558929443,-5.295255718311864,1.0,0,0.8467600979372492,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160121-AR,2016-01-21,AR,2016-01-21 20:25:00-05:00,breakout_short,2.919153928756714,-6.243691859385535,1.0,0,-5.396931761448286,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160125-AR,2016-01-25,AR,2016-01-25 20:25:00-05:00,breakout_short,2.841902256011963,3.5,1.0,1,-1.8969317614482861,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160126-AR,2016-01-26,AR,2016-01-26 20:25:00-05:00,breakout_short,2.4685094356536865,-4.75,1.0,1,-6.646931761448286,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160128-AR,2016-01-28,AR,2016-01-28 20:25:00-05:00,breakout_short,2.209444284439087,0.0,0.0,-1,-6.646931761448286,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160111-AR,2016-01-11,AR,2016-01-11 20:25:00-05:00,breakout_short,2.012434959411621,14.571130619117639,1.0,2,7.924198857669353,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160129-AR,2016-01-29,AR,2016-01-31 20:25:00-05:00,breakout_short,2.0076234340667725,-5.436330717934425,1.0,0,2.4878681397349283,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160315-AR,2016-03-15,AR,2016-03-15 20:25:00-04:00,breakout_long,1.9714014530181885,-2.733465055967372,1.0,0,-0.24559691623244362,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160114-AR,2016-01-14,AR,2016-01-14 20:25:00-05:00,breakout_short,1.7999504804611206,10.0,1.0,1,9.754403083767556,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160112-AR,2016-01-12,AR,2016-01-12 20:25:00-05:00,breakout_short,1.752296805381775,0.0,0.0,-1,9.754403083767556,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160202-AR,2016-02-02,AR,2016-02-02 20:25:00-05:00,breakout_short,1.6161311864852905,-5.335114370188194,1.0,0,4.419288713579363,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160203-AR,2016-02-03,AR,2016-02-03 20:25:00-05:00,breakout_short,1.5725703239440918,0.0,0.0,-1,4.419288713579363,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160223-AR,2016-02-23,AR,2016-02-23 20:25:00-05:00,breakout_long,1.3594965934753418,-3.111495744315789,1.0,0,1.3077929692635735,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160317-AR,2016-03-17,AR,2016-03-17 20:25:00-04:00,breakout_long,0.9882918000221252,0.0,0.0,-1,1.3077929692635735,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160113-AR,2016-01-13,AR,2016-01-13 20:25:00-05:00,breakout_short,0.9615080952644348,0.0,0.0,-1,1.3077929692635735,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160225-AR,2016-02-25,AR,2016-02-25 20:25:00-05:00,breakout_long,0.9183651208877563,0.25,1.0,1,1.5577929692635735,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160302-AR,2016-03-02,AR,2016-03-02 20:25:00-05:00,breakout_long,0.8345508575439453,-3.1422252860493245,1.0,0,-1.584432316785751,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160211-AR,2016-02-11,AR,2016-02-11 20:25:00-05:00,breakout_long,0.7513816356658936,-3.128687566455028,1.0,0,-4.713119883240779,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160318-AR,2016-03-18,AR,2016-03-20 20:25:00-04:00,breakout_long,0.7397173643112183,0.0,0.0,-1,-4.713119883240779,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160308-AR,2016-03-08,AR,2016-03-08 20:25:00-05:00,breakout_long,0.6902436017990112,0.75,1.0,1,-3.963119883240779,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160222-AR,2016-02-22,AR,2016-02-22 20:25:00-05:00,breakout_long,0.667360782623291,0.0,0.0,-1,-3.963119883240779,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160229-AR,2016-02-29,AR,2016-02-29 20:25:00-05:00,breakout_short,0.5874401926994324,-3.242974229231095,1.0,0,-7.206094112471874,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160624-AR,2016-06-24,AR,2016-06-26 20:25:00-04:00,breakout_long,1.0071394443511963,-3.22939745762892,1.0,0,-10.435491570100794,2012-04-01,2016-03-31,2016-04-01,2016-06-30
ES-20160627-AR,2016-06-27,AR,2016-06-27 20:25:00-04:00,breakout_short,0.7082371711730957,0.0,0.0,-1,-10.435491570100794,2012-04-01,2016-03-31,2016-04-01,2016-06-30
ES-20160720-AR,2016-07-20,AR,2016-07-20 20:25:00-04:00,breakout_long,1.0824495553970337,-1.0,1.0,1,-11.435491570100794,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160707-AR,2016-07-07,AR,2016-07-07 20:25:00-04:00,breakout_long,0.9991452097892761,-3.3575830428840163,1.0,0,-14.79307461298481,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160630-AR,2016-06-30,AR,2016-06-30 20:25:00-04:00,breakout_short,0.7714980244636536,0.0,0.0,-1,-14.79307461298481,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160708-AR,2016-07-08,AR,2016-07-10 20:25:00-04:00,breakout_long,0.6602134704589844,7.493046541048443,1.0,2,-7.300028071936367,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160711-AR,2016-07-11,AR,2016-07-11 20:25:00-04:00,breakout_long,0.6419795155525208,-0.25,1.0,1,-7.550028071936367,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160721-AR,2016-07-21,AR,2016-07-21 20:25:00-04:00,breakout_long,0.6093140244483948,-2.5,1.0,1,-10.050028071936367,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160719-AR,2016-07-19,AR,2016-07-19 20:25:00-04:00,breakout_long,0.6071797609329224,0.0,0.0,-1,-10.050028071936367,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160706-AR,2016-07-06,AR,2016-07-06 20:25:00-04:00,fade_low_long,0.5858504772186279,3.25,1.0,1,-6.800028071936367,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160712-AR,2016-07-12,AR,2016-07-12 20:25:00-04:00,breakout_long,0.5140499472618103,-3.3892045589859663,1.0,0,-10.189232630922334,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20161202-AR,2016-12-02,AR,2016-12-04 20:25:00-05:00,breakout_short,1.3861327171325684,0.0,0.0,-1,-10.189232630922334,2012-10-01,2016-09-30,2016-10-01,2016-12-31
ES-20161121-AR,2016-11-21,AR,2016-11-21 20:25:00-05:00,breakout_long,1.1575816869735718,3.25,1.0,1,-6.9392326309223336,2012-10-01,2016-09-30,2016-10-01,2016-12-31
ES-20161109-AR,2016-11-09,AR,2016-11-09 20:25:00-05:00,breakout_long,1.0026508569717407,1.5,1.0,1,-5.4392326309223336,2012-10-01,2016-09-30,2016-10-01,2016-12-31
ES-20161115-AR,2016-11-15,AR,2016-11-15 20:25:00-05:00,breakout_long,0.9632530808448792,0.0,0.0,-1,-5.4392326309223336,2012-10-01,2016-09-30,2016-10-01,2016-12-31
ES-20161114-AR,2016-11-14,AR,2016-11-14 20:25:00-05:00,breakout_short,0.8788535594940186,0.0,0.0,-1,-5.4392326309223336,2012-10-01,2016-09-30,2016-10-01,2016-12-31
ES-20161116-AR,2016-11-16,AR,2016-11-16 20:25:00-05:00,fade_low_long,0.715863823890686,0.0,0.0,-1,-5.4392326309223336,2012-10-01,2016-09-30,2016-10-01,2016-12-31
