session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120105-RR,2012-01-05,RR,2012-01-05 10:25:00-05:00,breakout_short,0.7574607133865356,0.0,0.0,-1,0.0,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120802-RR,2012-08-02,RR,2012-08-02 10:25:00-04:00,fade_high_short,1.3805102109909058,0.0,0.0,-1,0.0,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120913-RR,2012-09-13,RR,2012-09-13 10:25:00-04:00,breakout_short,1.31913423538208,0.0,0.0,-1,0.0,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120918-RR,2012-09-18,RR,2012-09-18 10:25:00-04:00,breakout_short,1.2185083627700806,0.0,0.0,-1,0.0,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120921-RR,2012-09-21,RR,2012-09-21 10:25:00-04:00,breakout_short,1.1152807474136353,4.75,1.0,1,4.75,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120925-RR,2012-09-25,RR,2012-09-25 10:25:00-04:00,breakout_long,0.5975084900856018,-3.5917219009304517,1.0,0,1.1582780990695483,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20121010-RR,2012-10-10,RR,2012-10-10 10:25:00-04:00,mid_revert_short,0.6506059765815735,2.25,1.0,2,3.4082780990695483,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130311-RR,2013-03-11,RR,2013-03-11 10:25:00-04:00,breakout_short,1.6498448848724365,0.0,0.0,-1,3.4082780990695483,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130118-RR,2013-01-18,RR,2013-01-18 10:25:00-05:00,breakout_short,1.5423684120178223,-3.2909486054604713,1.0,0,0.11732949360907696,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130107-RR,2013-01-07,RR,2013-01-07 10:25:00-05:00,fade_high_short,1.5388652086257935,4.064387458809961,1.0,2,4.181716952419038,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130206-RR,2013-02-06,RR,2013-02-06 10:25:00-05:00,breakout_long,1.3734123706817627,-1.9317519061039548,1.0,0,2.249965046315083,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130208-RR,2013-02-08,RR,2013-02-08 10:25:00-05:00,breakout_long,1.3648924827575684,-2.402721655559617,1.0,0,-0.15275660924453405,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130103-RR,2013-01-03,RR,2013-01-03 10:25:00-05:00,breakout_short,1.1606214046478271,-2.0,1.0,1,-2.152756609244534,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130117-RR,2013-01-17,RR,2013-01-17 10:25:00-05:00,mid_revert_short,1.1299688816070557,0.0,0.0,-1,-2.152756609244534,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130219-RR,2013-02-19,RR,2013-02-19 10:25:00-05:00,breakout_short,1.078493356704712,0.0,0.0,-1,-2.152756609244534,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130220-RR,2013-02-20,RR,2013-02-20 10:25:00-05:00,breakout_short,1.0680338144302368,5.573966477094018,1.0,2,3.421209867849484,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130131-RR,2013-01-31,RR,2013-01-31 10:25:00-05:00,breakout_long,0.9537662863731384,0.0,0.0,-1,3.421209867849484,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130110-RR,2013-01-10,RR,2013-01-10 10:25:00-05:00,breakout_short,0.9039899706840515,-3.2053697782707786,1.0,0,0.21584008957870537,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130313-RR,2013-03-13,RR,2013-03-13 10:25:00-04:00,breakout_short,0.8484260439872742,0.0,0.0,-1,0.21584008957870537,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130129-RR,2013-01-29,RR,2013-01-29 10:25:00-05:00,breakout_short,0.8373787999153137,0.0,0.0,-1,0.21584008957870537,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130301-RR,2013-03-01,RR,2013-03-01 10:25:00-05:00,mid_revert_short,0.8292252421379089,-2.9467329161509497,1.0,0,-2.7308928265722443,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130215-RR,2013-02-15,RR,2013-02-15 10:25:00-05:00,breakout_short,0.8051119446754456,-2.4057755961723615,1.0,0,-5.136668422744606,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130327-RR,2013-03-27,RR,2013-03-27 10:25:00-04:00,breakout_long,0.7591752409934998,5.828569992843086,1.0,2,0.6919015700984801,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130326-RR,2013-03-26,RR,2013-03-26 10:25:00-04:00,breakout_short,0.758886456489563,-2.701469752488947,1.0,0,-2.009568182390467,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130122-RR,2013-01-22,RR,2013-01-22 10:25:00-05:00,mid_revert_long,0.7342693209648132,2.375,1.0,2,0.365431817609533,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130123-RR,2013-01-23,RR,2013-01-23 10:25:00-05:00,fade_high_short,0.7119934558868408,-0.5,1.0,1,-0.13456818239046697,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130116-RR,2013-01-16,RR,2013-01-16 10:25:00-05:00,breakout_short,0.7113174796104431,0.0,0.0,-1,-0.13456818239046697,2009-01-01,2012-12-31,2013-01-01,2013-03-31
