session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20130906-RR,2013-09-06,RR,2013-09-06 10:25:00-04:00,fade_low_long,2.1203227043151855,0.0,0.0,-1,0.0,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130718-RR,2013-07-18,RR,2013-07-18 10:25:00-04:00,breakout_short,1.4456815719604492,0.0,0.0,-1,0.0,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130920-RR,2013-09-20,RR,2013-09-20 10:25:00-04:00,breakout_short,1.390012502670288,10.248423675535832,1.0,2,10.248423675535832,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130717-RR,2013-07-17,RR,2013-07-17 10:25:00-04:00,breakout_short,1.3502588272094727,-3.9419854521581783,1.0,0,6.306438223377654,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20140203-RR,2014-02-03,RR,2014-02-03 10:25:00-05:00,fade_low_long,1.2796896696090698,-2.4580589348720423,1.0,0,3.848379288505612,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140402-RR,2014-04-02,RR,2014-04-02 10:25:00-04:00,fade_high_short,1.1736233234405518,-2.7315105756056255,1.0,0,1.1168687128999863,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140515-RR,2014-05-15,RR,2014-05-15 10:25:00-04:00,breakout_short,1.134523868560791,-3.657518776254392,1.0,0,-2.5406500633544056,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20141113-RR,2014-11-13,RR,2014-11-13 10:25:00-05:00,breakout_long,2.604048252105713,-5.750762506952469,1.0,0,-8.291412570306875,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141223-RR,2014-12-23,RR,2014-12-23 10:25:00-05:00,breakout_short,2.4610090255737305,-5.030098545559667,1.0,0,-13.321511115866542,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141229-RR,2014-12-29,RR,2014-12-29 10:25:00-05:00,breakout_long,2.217097520828247,-2.75,1.0,1,-16.071511115866542,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141112-RR,2014-11-12,RR,2014-11-12 10:25:00-05:00,breakout_long,2.1477832794189453,0.25,1.0,1,-15.821511115866542,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141015-RR,2014-10-15,RR,2014-10-15 10:25:00-04:00,fade_low_long,2.126682996749878,-4.030113465558998,1.0,0,-19.85162458142554,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141107-RR,2014-11-07,RR,2014-11-07 10:25:00-05:00,breakout_short,2.060328245162964,-7.298982756024998,1.0,0,-27.150607337450538,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141226-RR,2014-12-26,RR,2014-12-26 10:25:00-05:00,breakout_long,1.999057650566101,-4.5,1.0,1,-31.650607337450538,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141027-RR,2014-10-27,RR,2014-10-27 10:25:00-04:00,breakout_short,1.8338905572891235,0.0,0.0,-1,-31.650607337450538,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141216-RR,2014-12-16,RR,2014-12-16 10:25:00-05:00,fade_low_long,1.768383264541626,-2.5,1.0,1,-34.15060733745054,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141016-TOUT,2014-10-16,TOUT,2014-10-16 16:55:00-04:00,breakout_short,1.642612338066101,0.0,0.0,-1,-34.15060733745054,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141222-RR,2014-12-22,RR,2014-12-22 10:25:00-05:00,breakout_long,1.5311239957809448,0.75,1.0,1,-33.40060733745054,2010-10-01,2014-09-30,2014-10-01,2014-12-31
