session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20130301-RR,2013-03-01,RR,2013-03-01 10:25:00-05:00,fade_high_short,0.9486545324325562,-2.272549687113269,1.0,0,-2.272549687113269,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130123-RR,2013-01-23,RR,2013-01-23 10:25:00-05:00,mid_revert_long,0.8524792194366455,0.0,0.0,-1,-2.272549687113269,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130325-TOUT,2013-03-25,TOUT,2013-03-25 16:55:00-04:00,mid_revert_short,0.8174432516098022,1.25,1.0,2,-1.022549687113269,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130312-TOUT,2013-03-12,TOUT,2013-03-12 16:55:00-04:00,mid_revert_short,0.7541393041610718,1.0,1.0,2,-0.0225496871132691,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130318-RR,2013-03-18,RR,2013-03-18 10:25:00-04:00,mid_revert_short,0.7367967963218689,-2.966028205031307,1.0,0,-2.9885778921445763,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130311-TOUT,2013-03-11,TOUT,2013-03-11 16:55:00-04:00,mid_revert_long,0.7171981930732727,0.0,0.0,-1,-2.9885778921445763,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130327-RR,2013-03-27,RR,2013-03-27 10:25:00-04:00,breakout_long,0.6966729760169983,5.828569992843086,1.0,2,2.8399921006985096,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130307-TOUT,2013-03-07,TOUT,2013-03-07 16:55:00-05:00,mid_revert_short,0.6897835731506348,0.0,0.0,-1,2.8399921006985096,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130116-RR,2013-01-16,RR,2013-01-16 10:25:00-05:00,breakout_short,0.6645514965057373,0.0,0.0,-1,2.8399921006985096,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130110-TOUT,2013-01-10,TOUT,2013-01-10 16:55:00-05:00,breakout_short,0.6370900869369507,0.0,0.0,-1,2.8399921006985096,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130122-TOUT,2013-01-22,TOUT,2013-01-22 16:55:00-05:00,mid_revert_short,0.6123636364936829,0.0,0.0,-1,2.8399921006985096,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130208-RR,2013-02-08,RR,2013-02-08 10:25:00-05:00,breakout_long,0.6094792485237122,-2.402721655559617,1.0,0,0.4372704451388927,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130221-TOUT,2013-02-21,TOUT,2013-02-21 16:55:00-05:00,mid_revert_short,0.602514386177063,-1.361764245171571,1.0,0,-0.9244938000326783,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130128-TOUT,2013-01-28,TOUT,2013-01-28 16:55:00-05:00,mid_revert_long,0.588844895362854,0.0,0.0,-1,-0.9244938000326783,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130305-TOUT,2013-03-05,TOUT,2013-03-05 16:55:00-05:00,mid_revert_short,0.5838683843612671,0.625,1.0,2,-0.29949380003267834,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130313-TOUT,2013-03-13,TOUT,2013-03-13 16:55:00-04:00,mid_revert_short,0.5555371046066284,1.125,1.0,2,0.8255061999673217,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130214-RR,2013-02-14,RR,2013-02-14 10:25:00-05:00,fade_high_short,0.5503318905830383,-1.8837662081907638,1.0,0,-1.0582600082234421,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130117-RR,2013-01-17,RR,2013-01-17 10:25:00-05:00,mid_revert_short,0.5440962314605713,0.0,0.0,-1,-1.0582600082234421,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130206-RR,2013-02-06,RR,2013-02-06 10:25:00-05:00,mid_revert_long,0.5407333374023438,0.0,0.0,-1,-1.0582600082234421,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130107-RR,2013-01-07,RR,2013-01-07 10:25:00-05:00,mid_revert_short,0.5323933362960815,0.0,0.0,-1,-1.0582600082234421,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130109-RR,2013-01-09,RR,2013-01-09 10:25:00-05:00,breakout_short,0.5318482518196106,-1.75,1.0,1,-2.808260008223442,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130110-RR,2013-01-10,RR,2013-01-10 10:25:00-05:00,breakout_short,0.5310795903205872,-3.2053697782707786,1.0,0,-6.013629786494221,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130208-TOUT,2013-02-08,TOUT,2013-02-08 16:55:00-05:00,mid_revert_short,0.5262238383293152,0.625,1.0,2,-5.388629786494221,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130129-TOUT,2013-01-29,TOUT,2013-01-29 16:55:00-05:00,breakout_short,0.51181560754776,0.0,0.0,-1,-5.388629786494221,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130124-RR,2013-01-24,RR,2013-01-24 10:25:00-05:00,breakout_short,0.5021246671676636,-3.1781696726075097,1.0,0,-8.56679945910173,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130205-TOUT,2013-02-05,TOUT,2013-02-05 16:55:00-05:00,mid_revert_short,0.5009631514549255,0.75,1.0,2,-7.8167994591017305,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130522-RR,2013-05-22,RR,2013-05-22 10:25:00-04:00,breakout_short,0.7980568408966064,-1.950377280116527,1.0,0,-9.767176739218257,2009-04-01,2013-03-31,2013-04-01,2013-06-30
ES-20130607-RR,2013-06-07,RR,2013-06-07 10:25:00-04:00,breakout_short,0.606854259967804,0.0,0.0,-1,-9.767176739218257,2009-04-01,2013-03-31,2013-04-01,2013-06-30
ES-20130906-RR,2013-09-06,RR,2013-09-06 10:25:00-04:00,fade_low_long,2.1203227043151855,0.0,0.0,-1,-9.767176739218257,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130718-RR,2013-07-18,RR,2013-07-18 10:25:00-04:00,breakout_short,1.4456815719604492,0.0,0.0,-1,-9.767176739218257,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130920-RR,2013-09-20,RR,2013-09-20 10:25:00-04:00,breakout_short,1.390012502670288,10.248423675535832,1.0,2,0.4812469363175751,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130717-RR,2013-07-17,RR,2013-07-17 10:25:00-04:00,breakout_short,1.3502588272094727,-3.9419854521581783,1.0,0,-3.460738515840603,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130909-RR,2013-09-09,RR,2013-09-09 10:25:00-04:00,breakout_short,0.6663732528686523,0.0,0.0,-1,-3.460738515840603,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130725-RR,2013-07-25,RR,2013-07-25 10:25:00-04:00,breakout_short,0.6618123054504395,-3.590737391024504,1.0,0,-7.051475906865107,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130912-RR,2013-09-12,RR,2013-09-12 10:25:00-04:00,fade_high_short,0.5472529530525208,5.9786609399825466,1.0,2,-1.0728149668825608,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20140203-RR,2014-02-03,RR,2014-02-03 10:25:00-05:00,fade_low_long,1.2796896696090698,-2.4580589348720423,1.0,0,-3.530873901754603,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140402-RR,2014-04-02,RR,2014-04-02 10:25:00-04:00,fade_high_short,1.1736233234405518,-2.7315105756056255,1.0,0,-6.262384477360229,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140515-RR,2014-05-15,RR,2014-05-15 10:25:00-04:00,breakout_short,1.134523868560791,-3.657518776254392,1.0,0,-9.91990325361462,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140401-RR,2014-04-01,RR,2014-04-01 10:25:00-04:00,fade_high_short,0.9282346963882446,-0.5,1.0,1,-10.41990325361462,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140624-RR,2014-06-24,RR,2014-06-24 10:25:00-04:00,fade_high_short,0.9027742147445679,-1.7439433644940436,1.0,0,-12.163846618108664,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140630-RR,2014-06-30,RR,2014-06-30 10:25:00-04:00,fade_high_short,0.8730418086051941,0.0,0.0,-1,-12.163846618108664,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140423-TOUT,2014-04-23,TOUT,2014-04-23 16:55:00-04:00,fade_high_short,0.7743988037109375,0.25,1.0,1,-11.913846618108664,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140527-RR,2014-05-27,RR,2014-05-27 10:25:00-04:00,fade_high_short,0.7388191223144531,-0.5,1.0,1,-12.413846618108664,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140424-RR,2014-04-24,RR,2014-04-24 10:25:00-04:00,breakout_short,0.7377074360847473,0.0,0.0,-1,-12.413846618108664,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140422-RR,2014-04-22,RR,2014-04-22 10:25:00-04:00,fade_high_short,0.7195340991020203,-2.7281342295905233,1.0,0,-15.141980847699188,2010-04-01,2014-03-31,2014-04-01,2014-06-30
