session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20251112-RR,2025-11-12,RR,2025-11-12 10:25:00-05:00,breakout_short,6.005467414855957,-5.25,1.0,1,-5.25,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251104-RR,2025-11-04,RR,2025-11-04 10:25:00-05:00,breakout_short,5.5436482429504395,-15.020525415591692,1.0,0,-20.270525415591692,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251124-RR,2025-11-24,RR,2025-11-24 10:25:00-05:00,fade_low_long,5.44430685043335,0.0,0.0,-1,-20.270525415591692,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251105-RR,2025-11-05,RR,2025-11-05 10:25:00-05:00,breakout_long,4.132139682769775,-5.5,1.0,1,-25.770525415591692,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251111-AR,2025-11-11,AR,2025-11-11 20:25:00-05:00,breakout_long,3.951899528503418,7.25,1.0,1,-18.520525415591692,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251105-AR,2025-11-05,AR,2025-11-05 20:25:00-05:00,breakout_long,3.8623523712158203,-7.430691855685836,1.0,0,-25.951217271277528,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251117-RR,2025-11-17,RR,2025-11-17 10:25:00-05:00,mid_revert_short,3.8291406631469727,0.0,0.0,-1,-25.951217271277528,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251124-AR,2025-11-24,AR,2025-11-24 20:25:00-05:00,breakout_long,3.765232563018799,0.0,0.0,-1,-25.951217271277528,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251112-AR,2025-11-12,AR,2025-11-12 20:25:00-05:00,breakout_long,3.541987180709839,0.0,1.0,1,-25.951217271277528,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251126-AR,2025-11-26,AR,2025-11-26 20:25:00-05:00,breakout_long,3.444089412689209,-7.803090601309123,1.0,0,-33.75430787258665,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251113-AR,2025-11-13,AR,2025-11-13 20:25:00-05:00,breakout_long,3.0946872234344482,-8.45192331423732,1.0,0,-42.20623118682397,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251103-RR,2025-11-03,RR,2025-11-03 10:25:00-05:00,breakout_short,2.95274019241333,-13.947363365184174,1.0,0,-56.153594552008144,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251110-RR,2025-11-10,RR,2025-11-10 10:25:00-05:00,breakout_long,2.8513853549957275,21.0,1.0,1,-35.153594552008144,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251103-AR,2025-11-03,AR,2025-11-03 20:25:00-05:00,breakout_long,2.6033785343170166,0.0,0.0,-1,-35.153594552008144,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251104-AR,2025-11-04,AR,2025-11-04 20:25:00-05:00,breakout_long,2.5363008975982666,15.668009237719161,1.0,2,-19.485585314288983,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251119-TOUT,2025-11-19,TOUT,2025-11-19 16:55:00-05:00,fade_high_short,2.53078031539917,-8.204550041650691,1.0,0,-27.690135355939674,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251120-TOUT,2025-11-20,TOUT,2025-11-20 16:55:00-05:00,breakout_long,2.4494850635528564,-13.81739391451356,1.0,0,-41.50752927045323,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251120-RR,2025-11-20,RR,2025-11-20 10:25:00-05:00,breakout_short,2.4015533924102783,47.22613449976143,1.0,2,5.718605229308196,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251114-RR,2025-11-14,RR,2025-11-14 10:25:00-05:00,fade_low_long,2.3942205905914307,0.0,0.0,-1,5.718605229308196,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251107-RR,2025-11-07,RR,2025-11-07 10:25:00-05:00,fade_low_long,2.056821584701538,-11.655094570173787,1.0,0,-5.936489340865592,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251110-TOUT,2025-11-10,TOUT,2025-11-10 16:55:00-05:00,breakout_long,2.055920124053955,-1.5,1.0,1,-7.436489340865592,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251111-TOUT,2025-11-11,TOUT,2025-11-11 16:55:00-05:00,breakout_short,2.04978084564209,-8.0,1.0,1,-15.436489340865592,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251119-RR,2025-11-19,RR,2025-11-19 10:25:00-05:00,mid_revert_short,1.9708162546157837,25.125,1.0,2,9.688510659134408,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251031-AR,2025-10-31,AR,2025-11-02 19:25:00-05:00,breakout_long,1.9035972356796265,-6.750455449630863,1.0,0,2.9380552095035455,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251125-AR,2025-11-25,AR,2025-11-25 20:25:00-05:00,breakout_long,1.7927876710891724,7.25,1.0,1,10.188055209503545,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251114-AR,2025-11-14,AR,2025-11-16 20:25:00-05:00,breakout_long,1.7027018070220947,-1.0,1.0,1,9.188055209503545,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251113-RR,2025-11-13,RR,2025-11-13 10:25:00-05:00,mid_revert_short,1.6584547758102417,0.0,0.0,-1,9.188055209503545,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251114-TOUT,2025-11-14,TOUT,2025-11-14 16:55:00-05:00,breakout_long,1.6289266347885132,-10.803708190913312,1.0,0,-1.6156529814097667,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251121-AR,2025-11-21,AR,2025-11-23 20:25:00-05:00,breakout_long,1.5905741453170776,-8.221949177222086,1.0,0,-9.837602158631853,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251107-AR,2025-11-07,AR,2025-11-09 20:25:00-05:00,fade_high_short,1.5062543153762817,-5.709904500502489,1.0,0,-15.547506659134342,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251117-TOUT,2025-11-17,TOUT,2025-11-17 16:55:00-05:00,breakout_long,1.498691439628601,-10.843342931940242,1.0,0,-26.390849591074584,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251113-TOUT,2025-11-13,TOUT,2025-11-13 16:55:00-05:00,fade_high_short,1.4405027627944946,0.0,0.0,-1,-26.390849591074584,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251112-TOUT,2025-11-12,TOUT,2025-11-12 16:55:00-05:00,breakout_short,1.359579086303711,9.0,1.0,1,-17.390849591074584,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251119-AR,2025-11-19,AR,2025-11-19 20:25:00-05:00,fade_low_long,1.2440367937088013,0.0,0.0,-1,-17.390849591074584,2025-09-01,2025-10-31,2025-11-01,2025-11-30
ES-20251104-TOUT,2025-11-04,TOUT,2025-11-04 16:55:00-05:00,fade_low_long,1.1631755828857422,-12.394759316887757,1.0,0,-29.78560890796234,2025-09-01,2025-10-31,2025-11-01,2025-11-30
