session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120313-RR,2012-03-13,RR,2012-03-13 10:25:00-04:00,breakout_long,3.271688222885132,3.441985452157951,1.0,2,3.441985452157951,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120125-RR,2012-01-25,RR,2012-01-25 10:25:00-05:00,breakout_long,2.7535321712493896,5.984850059396422,1.0,2,9.426835511554373,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120307-RR,2012-03-07,RR,2012-03-07 10:25:00-05:00,breakout_long,2.565330743789673,3.7569583801837325,1.0,2,13.183793891738105,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120130-RR,2012-01-30,RR,2012-01-30 10:25:00-05:00,breakout_long,2.3874785900115967,5.248953249674287,1.0,2,18.432747141412392,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120326-RR,2012-03-26,RR,2012-03-26 10:25:00-04:00,breakout_long,2.205960273742676,3.2686299292402055,1.0,2,21.701377070652597,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120216-RR,2012-02-16,RR,2012-02-16 10:25:00-05:00,breakout_long,1.9831812381744385,-1.866322987524427,1.0,0,19.83505408312817,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120215-RR,2012-02-15,RR,2012-02-15 10:25:00-05:00,breakout_short,1.9073009490966797,4.5806007853441315,1.0,2,24.415654868472302,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120105-RR,2012-01-05,RR,2012-01-05 10:25:00-05:00,breakout_long,1.8898578882217407,-2.8372600320965375,1.0,0,21.578394836375764,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120126-RR,2012-01-26,RR,2012-01-26 10:25:00-05:00,breakout_short,1.8688868284225464,6.029208066895535,1.0,2,27.6076029032713,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120223-RR,2012-02-23,RR,2012-02-23 10:25:00-05:00,breakout_long,1.820091962814331,4.205901431336542,1.0,2,31.813504334607842,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120327-RR,2012-03-27,RR,2012-03-27 10:25:00-04:00,breakout_short,1.3660449981689453,-1.6300147787155765,1.0,0,30.183489555892265,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120117-RR,2012-01-17,RR,2012-01-17 10:25:00-05:00,breakout_short,1.2877131700515747,-2.840976243568548,1.0,0,27.342513312323717,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120228-RR,2012-02-28,RR,2012-02-28 10:25:00-05:00,fade_low_long,1.0175817012786865,0.0,0.0,-1,27.342513312323717,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120227-RR,2012-02-27,RR,2012-02-27 10:25:00-05:00,breakout_long,1.0145703554153442,4.212356255977511,1.0,2,31.55486956830123,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120113-RR,2012-01-13,RR,2012-01-13 10:25:00-05:00,fade_low_long,0.9843913316726685,0.0,0.0,-1,31.55486956830123,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120308-RR,2012-03-08,RR,2012-03-08 10:25:00-05:00,breakout_long,0.9298300743103027,3.9308421148700745,1.0,2,35.4857116831713,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120207-RR,2012-02-07,RR,2012-02-07 10:25:00-05:00,breakout_long,0.8623878955841064,5.464834545424537,1.0,2,40.95054622859584,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120118-RR,2012-01-18,RR,2012-01-18 10:25:00-05:00,breakout_long,0.7832898497581482,-2.827228213247281,1.0,0,38.12331801534856,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120127-RR,2012-01-27,RR,2012-01-27 10:25:00-05:00,fade_low_long,0.7045270204544067,3.052062752440179,1.0,2,41.17538076778874,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120213-RR,2012-02-13,RR,2012-02-13 10:25:00-05:00,fade_low_long,0.6889556050300598,2.8396953094541004,1.0,2,44.01507607724284,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120104-RR,2012-01-04,RR,2012-01-04 10:25:00-05:00,fade_low_long,0.6771150231361389,3.5983324738056126,1.0,2,47.61340855104845,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120221-RR,2012-02-21,RR,2012-02-21 10:25:00-05:00,fade_high_short,0.6745873093605042,-1.5776034192542738,1.0,0,46.03580513179418,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120214-RR,2012-02-14,RR,2012-02-14 10:25:00-05:00,fade_low_long,0.5900643467903137,2.6247067928288743,1.0,2,48.66051192462305,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120124-RR,2012-01-24,RR,2012-01-24 10:25:00-05:00,breakout_long,0.5737736821174622,3.25,1.0,1,51.91051192462305,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120120-RR,2012-01-20,RR,2012-01-20 10:25:00-05:00,fade_low_long,0.5733013153076172,3.5518942214443996,1.0,2,55.46240614606745,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120301-RR,2012-03-01,RR,2012-03-01 10:25:00-05:00,fade_low_long,0.5691291689872742,0.0,0.0,-1,55.46240614606745,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120224-RR,2012-02-24,RR,2012-02-24 10:25:00-05:00,fade_high_short,0.5634239315986633,2.3738719380655766,1.0,2,57.83627808413303,2008-01-01,2011-12-31,2012-01-01,2012-03-31
