session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120313-RR,2012-03-13,RR,2012-03-13 10:25:00-04:00,breakout_long,5.1374921798706055,3.441985452157951,1.0,2,3.441985452157951,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120125-RR,2012-01-25,RR,2012-01-25 10:25:00-05:00,breakout_long,2.319648027420044,5.984850059396422,1.0,2,9.426835511554373,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120215-RR,2012-02-15,RR,2012-02-15 10:25:00-05:00,breakout_short,2.3038361072540283,4.5806007853441315,1.0,2,14.007436296898504,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120130-RR,2012-01-30,RR,2012-01-30 10:25:00-05:00,breakout_long,2.218496084213257,5.248953249674287,1.0,2,19.25638954657279,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120326-RR,2012-03-26,RR,2012-03-26 10:25:00-04:00,breakout_long,2.0016772747039795,3.2686299292402055,1.0,2,22.525019475812996,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120105-RR,2012-01-05,RR,2012-01-05 10:25:00-05:00,breakout_long,1.9242278337478638,-2.8372600320965375,1.0,0,19.68775944371646,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120126-RR,2012-01-26,RR,2012-01-26 10:25:00-05:00,breakout_short,1.903667688369751,6.029208066895535,1.0,2,25.716967510611994,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120216-RR,2012-02-16,RR,2012-02-16 10:25:00-05:00,breakout_long,1.8357356786727905,-1.866322987524427,1.0,0,23.850644523087567,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120307-RR,2012-03-07,RR,2012-03-07 10:25:00-05:00,breakout_long,1.8346173763275146,3.7569583801837325,1.0,2,27.6076029032713,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120327-RR,2012-03-27,RR,2012-03-27 10:25:00-04:00,breakout_short,1.626896858215332,-1.6300147787155765,1.0,0,25.977588124555723,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120117-RR,2012-01-17,RR,2012-01-17 10:25:00-05:00,breakout_short,1.5188027620315552,-2.840976243568548,1.0,0,23.136611880987175,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120223-RR,2012-02-23,RR,2012-02-23 10:25:00-05:00,breakout_long,1.4020330905914307,4.205901431336542,1.0,2,27.342513312323717,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120118-RR,2012-01-18,RR,2012-01-18 10:25:00-05:00,breakout_long,1.0066124200820923,-2.827228213247281,1.0,0,24.515285099076436,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120227-RR,2012-02-27,RR,2012-02-27 10:25:00-05:00,breakout_long,0.9081516265869141,4.212356255977511,1.0,2,28.727641355053947,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120207-RR,2012-02-07,RR,2012-02-07 10:25:00-05:00,breakout_long,0.8208192586898804,5.464834545424537,1.0,2,34.192475900478485,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120209-RR,2012-02-09,RR,2012-02-09 10:25:00-05:00,fade_low_long,0.7852833271026611,3.1914510785882158,1.0,2,37.3839269790667,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120228-RR,2012-02-28,RR,2012-02-28 10:25:00-05:00,fade_low_long,0.7132183909416199,0.0,0.0,-1,37.3839269790667,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120213-RR,2012-02-13,RR,2012-02-13 10:25:00-05:00,fade_low_long,0.6932905316352844,2.8396953094541004,1.0,2,40.2236222885208,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120330-RR,2012-03-30,RR,2012-03-30 10:25:00-04:00,fade_low_long,0.6671423316001892,-1.2941330450614714,1.0,0,38.92948924345933,2008-01-01,2011-12-31,2012-01-01,2012-03-31
