session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120203-RR,2012-02-03,RR,2012-02-03 10:25:00-05:00,breakout_long,0.6200810670852661,-2.5866361336443333,1.0,0,-2.5866361336443333,2.3366361336443333,-1.1069914123129052,-1.1069914123129052,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120312-RR,2012-03-12,RR,2012-03-12 10:25:00-04:00,breakout_long,0.5853536128997803,0.0,0.0,-1,-2.5866361336443333,,,-1.1069914123129052,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120501-RR,2012-05-01,RR,2012-05-01 10:25:00-04:00,breakout_long,0.7636849880218506,-2.565707235381751,1.0,0,-5.1523433690260845,2.315707235381751,-1.1079583792718362,-2.2149497915847416,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20121227-AR,2012-12-27,AR,2012-12-27 20:25:00-05:00,breakout_long,3.5932364463806152,0.0,0.0,-1,-5.1523433690260845,,,-2.2149497915847416,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121226-AR,2012-12-26,AR,2012-12-26 20:25:00-05:00,breakout_long,3.3764610290527344,0.0,0.0,-1,-5.1523433690260845,,,-2.2149497915847416,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121221-AR,2012-12-21,AR,2012-12-23 20:25:00-05:00,breakout_long,2.770139217376709,-2.0,1.0,1,-7.1523433690260845,10.207155320501442,-0.195940978382382,-2.4108907699671236,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121228-AR,2012-12-28,AR,2012-12-30 20:25:00-05:00,breakout_long,2.58020281791687,-1.0,1.0,1,-8.152343369026084,10.196877747108374,-0.09806923499534755,-2.508960004962471,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121005-RR,2012-10-05,RR,2012-10-05 10:25:00-04:00,breakout_long,0.6735950708389282,-3.191619451934457,1.0,0,-11.343962820960542,2.941619451934457,-1.0849871997669447,-3.5939472047294156,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130117-RR,2013-01-17,RR,2013-01-17 10:25:00-05:00,breakout_short,1.6370530128479004,0.0,0.0,-1,-11.343962820960542,,,-3.5939472047294156,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130118-AR,2013-01-18,AR,2013-01-20 20:25:00-05:00,breakout_short,1.5858399868011475,-0.5,1.0,1,-11.843962820960542,10.243186117712867,-0.04881293713245957,-3.642760141861875,2009-01-01,2012-12-31,2013-01-01,2013-03-31
