session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120216-RR,2012-02-16,RR,2012-02-16 10:25:00-05:00,breakout_long,0.5619555711746216,-1.866322987524427,1.0,0,-1.866322987524427,1.616322987524427,-1.1546720562224668,-1.1546720562224668,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120904-RR,2012-09-04,RR,2012-09-04 10:25:00-04:00,breakout_short,0.6448730826377869,-2.2779299790672667,1.0,0,-4.144252966591694,2.0279299790672667,-1.1232784181803903,-2.277950474402857,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20121227-AR,2012-12-27,AR,2012-12-27 20:25:00-05:00,breakout_long,3.023057222366333,0.0,0.0,-1,-4.144252966591694,,,-2.277950474402857,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121221-AR,2012-12-21,AR,2012-12-23 20:25:00-05:00,breakout_long,2.2611684799194336,-2.0,1.0,1,-6.144252966591694,10.207155320501442,-0.195940978382382,-2.473891452785239,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121226-AR,2012-12-26,AR,2012-12-26 20:25:00-05:00,breakout_long,1.912945032119751,0.0,0.0,-1,-6.144252966591694,,,-2.473891452785239,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121228-AR,2012-12-28,AR,2012-12-30 20:25:00-05:00,breakout_long,1.427365779876709,-1.0,1.0,1,-7.144252966591694,10.196877747108374,-0.09806923499534755,-2.5719606877805865,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121101-RR,2012-11-01,RR,2012-11-01 10:25:00-04:00,breakout_long,0.944649338722229,-1.8608186869121255,1.0,0,-9.005071653503819,1.6108186869121255,-1.1552005834246424,-3.7271612712052287,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121005-RR,2012-10-05,RR,2012-10-05 10:25:00-04:00,breakout_long,0.5813950300216675,-3.191619451934457,1.0,0,-12.196691105438276,2.941619451934457,-1.0849871997669447,-4.812148470972174,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130305-RR,2013-03-05,RR,2013-03-05 10:25:00-05:00,breakout_short,1.7838072776794434,0.0,0.0,-1,-12.196691105438276,,,-4.812148470972174,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130103-AR,2013-01-03,AR,2013-01-03 20:25:00-05:00,breakout_short,1.7011585235595703,0.25,1.0,1,-11.946691105438276,10.208959880521888,0.024488292923648958,-4.787660178048525,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130118-AR,2013-01-18,AR,2013-01-20 20:25:00-05:00,breakout_short,1.3943227529525757,-0.5,1.0,1,-12.446691105438276,10.243186117712867,-0.04881293713245957,-4.8364731151809845,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130208-RR,2013-02-08,RR,2013-02-08 10:25:00-05:00,breakout_short,1.3001452684402466,0.0,0.0,-1,-12.446691105438276,,,-4.8364731151809845,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130318-RR,2013-03-18,RR,2013-03-18 10:25:00-04:00,breakout_long,1.2459989786148071,-2.966028205031307,1.0,0,-15.412719310469583,2.716028205031307,-1.0920461722513706,-5.928519287432355,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130108-AR,2013-01-08,AR,2013-01-08 20:25:00-05:00,fade_high_short,1.1527447700500488,0.75,1.0,1,-14.662719310469583,7.658900588445022,0.09792528200868934,-5.830594005423666,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130109-AR,2013-01-09,AR,2013-01-09 20:25:00-05:00,breakout_short,1.125813364982605,-4.75,1.0,1,-19.412719310469583,10.217052309484188,-0.4649090418760703,-6.295503047299736,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130114-AR,2013-01-14,AR,2013-01-14 20:25:00-05:00,breakout_short,1.0907127857208252,1.25,1.0,1,-18.162719310469583,10.22267699773397,0.12227716871784944,-6.173225878581887,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130102-AR,2013-01-02,AR,2013-01-02 20:25:00-05:00,breakout_short,1.08414626121521,0.25,1.0,1,-17.912719310469583,10.193030061866011,0.024526563591261683,-6.148699314990625,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130122-AR,2013-01-22,AR,2013-01-22 20:25:00-05:00,fade_high_short,1.0418949127197266,0.0,0.0,-1,-17.912719310469583,,,-6.148699314990625,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130117-RR,2013-01-17,RR,2013-01-17 10:25:00-05:00,breakout_short,1.0389946699142456,0.0,0.0,-1,-17.912719310469583,,,-6.148699314990625,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130322-RR,2013-03-22,RR,2013-03-22 10:25:00-04:00,breakout_short,0.9734288454055786,0.0,0.0,-1,-17.912719310469583,,,-6.148699314990625,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130107-AR,2013-01-07,AR,2013-01-07 20:25:00-05:00,breakout_short,0.9685562252998352,3.0,1.0,1,-14.912719310469583,10.215595340355549,0.2936686409404678,-5.855030674050157,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130227-RR,2013-02-27,RR,2013-02-27 10:25:00-05:00,breakout_short,0.9486452341079712,0.0,0.0,-1,-14.912719310469583,,,-5.855030674050157,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130129-RR,2013-01-29,RR,2013-01-29 10:25:00-05:00,breakout_short,0.9170050621032715,0.0,0.0,-1,-14.912719310469583,,,-5.855030674050157,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130109-RR,2013-01-09,RR,2013-01-09 10:25:00-05:00,breakout_short,0.9075309038162231,-1.75,1.0,1,-16.662719310469583,2.9690287265277675,-0.5894183455902722,-6.444449019640429,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130104-AR,2013-01-04,AR,2013-01-06 20:25:00-05:00,breakout_short,0.8914583325386047,0.75,1.0,1,-15.912719310469583,10.219627658270383,0.07338819231765792,-6.371060827322771,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130212-RR,2013-02-12,RR,2013-02-12 10:25:00-05:00,breakout_short,0.8508608937263489,0.0,0.0,-1,-15.912719310469583,,,-6.371060827322771,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130214-RR,2013-02-14,RR,2013-02-14 10:25:00-05:00,breakout_short,0.8360952138900757,0.0,0.0,-1,-15.912719310469583,,,-6.371060827322771,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130311-RR,2013-03-11,RR,2013-03-11 10:25:00-04:00,breakout_short,0.8291818499565125,0.0,0.0,-1,-15.912719310469583,,,-6.371060827322771,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130110-AR,2013-01-10,AR,2013-01-10 20:25:00-05:00,fade_high_short,0.824195146560669,0.0,0.0,-1,-15.912719310469583,,,-6.371060827322771,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130115-AR,2013-01-15,AR,2013-01-15 20:25:00-05:00,breakout_short,0.8144693374633789,2.0,1.0,1,-13.912719310469583,10.216239330234657,0.19576675284819114,-6.17529407447458,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130116-AR,2013-01-16,AR,2013-01-16 20:25:00-05:00,breakout_short,0.8013269305229187,-0.75,1.0,1,-14.662719310469583,10.22396404480537,-0.07335706548978528,-6.248651139964366,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130306-RR,2013-03-06,RR,2013-03-06 10:25:00-05:00,breakout_short,0.7863284349441528,-3.0720233502706833,1.0,0,-17.734742660740267,2.8220233502706833,-1.0885889197110705,-7.337240059675437,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130124-RR,2013-01-24,RR,2013-01-24 10:25:00-05:00,breakout_short,0.7667436003684998,-3.1781696726075097,1.0,0,-20.912912333347776,2.9281696726075097,-1.0853775661767966,-8.422617625852233,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130111-AR,2013-01-11,AR,2013-01-13 20:25:00-05:00,breakout_short,0.7633194327354431,-1.25,1.0,1,-22.162912333347776,10.226031025100383,-0.1222370631315123,-8.544854688983746,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130123-AR,2013-01-23,AR,2013-01-23 20:25:00-05:00,breakout_short,0.7587735056877136,-3.25,1.0,1,-25.412912333347776,10.291307970167964,-0.3158004803102754,-8.86065516929402,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130213-RR,2013-02-13,RR,2013-02-13 10:25:00-05:00,breakout_short,0.7421818971633911,-0.5,1.0,1,-25.912912333347776,2.185628899015228,-0.2287671069069844,-9.089422276201004,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130215-RR,2013-02-15,RR,2013-02-15 10:25:00-05:00,breakout_short,0.6991131901741028,-2.4057755961723615,1.0,0,-28.318687929520138,2.1557755961723615,-1.1159675433954501,-10.205389819596455,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130125-RR,2013-01-25,RR,2013-01-25 10:25:00-05:00,fade_low_long,0.6968547701835632,4.273744918991952,1.0,2,-24.044943010528186,2.261872459495862,1.8894721057545236,-8.315917713841932,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130118-RR,2013-01-18,RR,2013-01-18 10:25:00-05:00,breakout_short,0.6786584258079529,-3.2909486054604713,1.0,0,-27.335891615988658,3.0409486054604713,-1.082211188821477,-9.398128902663409,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130219-RR,2013-02-19,RR,2013-02-19 10:25:00-05:00,breakout_short,0.6566265821456909,0.0,0.0,-1,-27.335891615988658,,,-9.398128902663409,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130304-RR,2013-03-04,RR,2013-03-04 10:25:00-05:00,breakout_short,0.6505264043807983,-3.1045900249469014,1.0,0,-30.44048164093556,2.8545900249469014,-1.0875782504020666,-10.485707153065475,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130117-AR,2013-01-17,AR,2013-01-17 20:25:00-05:00,breakout_short,0.644722044467926,-2.75,1.0,1,-33.19048164093556,10.22220235823147,-0.26902226189893125,-10.754729414964405,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130312-RR,2013-03-12,RR,2013-03-12 10:25:00-04:00,breakout_short,0.6321601271629333,0.0,1.0,1,-33.19048164093556,2.7613402542967833,0.0,-10.754729414964405,2009-01-01,2012-12-31,2013-01-01,2013-03-31
