session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120730-RR,2012-07-30,RR,2012-07-30 10:25:00-04:00,breakout_short,0.6687687039375305,-2.25,1.0,1,-2.25,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120914-RR,2012-09-14,RR,2012-09-14 10:25:00-04:00,breakout_long,0.6666908860206604,0.0,0.0,-1,-2.25,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20121226-AR,2012-12-26,AR,2012-12-26 20:25:00-05:00,breakout_short,4.03908109664917,-1.0,1.0,1,-3.25,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121227-AR,2012-12-27,AR,2012-12-27 20:25:00-05:00,breakout_short,3.6432762145996094,1.25,1.0,1,-2.0,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121228-AR,2012-12-28,AR,2012-12-30 20:25:00-05:00,breakout_short,2.700314521789551,-1.25,1.0,1,-3.25,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121220-AR,2012-12-20,AR,2012-12-20 20:25:00-05:00,mid_revert_short,1.8795883655548096,-1.1358351694127578,1.0,0,-4.385835169412758,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121221-AR,2012-12-21,AR,2012-12-23 20:25:00-05:00,breakout_long,1.550673007965088,-2.0,1.0,1,-6.385835169412758,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121004-RR,2012-10-04,RR,2012-10-04 10:25:00-04:00,breakout_short,0.6946449279785156,0.0,0.0,-1,-6.385835169412758,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130110-AR,2013-01-10,AR,2013-01-10 20:25:00-05:00,breakout_short,2.7867774963378906,0.5,1.0,1,-5.885835169412758,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130122-AR,2013-01-22,AR,2013-01-22 20:25:00-05:00,breakout_short,2.77231764793396,2.0,1.0,1,-3.8858351694127578,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130118-AR,2013-01-18,AR,2013-01-20 20:25:00-05:00,breakout_short,2.740816116333008,-0.5,1.0,1,-4.385835169412758,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130111-AR,2013-01-11,AR,2013-01-13 20:25:00-05:00,breakout_short,2.260915756225586,-1.25,1.0,1,-5.635835169412758,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130115-AR,2013-01-15,AR,2013-01-15 20:25:00-05:00,breakout_short,2.2315099239349365,2.0,1.0,1,-3.6358351694127578,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130102-AR,2013-01-02,AR,2013-01-02 20:25:00-05:00,breakout_short,2.1540029048919678,0.25,1.0,1,-3.3858351694127578,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130109-AR,2013-01-09,AR,2013-01-09 20:25:00-05:00,breakout_short,2.047889471054077,-4.75,1.0,1,-8.135835169412758,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130108-AR,2013-01-08,AR,2013-01-08 20:25:00-05:00,breakout_short,1.9663326740264893,0.0,0.0,-1,-8.135835169412758,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130103-AR,2013-01-03,AR,2013-01-03 20:25:00-05:00,breakout_short,1.9402862787246704,0.25,1.0,1,-7.885835169412758,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130305-RR,2013-03-05,RR,2013-03-05 10:25:00-05:00,breakout_long,1.434005618095398,-0.5,1.0,1,-8.385835169412758,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130114-AR,2013-01-14,AR,2013-01-14 20:25:00-05:00,breakout_short,1.268275499343872,1.25,1.0,1,-7.135835169412758,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130227-RR,2013-02-27,RR,2013-02-27 10:25:00-05:00,breakout_long,1.0837132930755615,5.684382838261399,1.0,2,-1.4514523311513585,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130107-AR,2013-01-07,AR,2013-01-07 20:25:00-05:00,breakout_short,1.023339033126831,3.0,1.0,1,1.5485476688486415,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130104-AR,2013-01-04,AR,2013-01-06 20:25:00-05:00,breakout_short,0.9968271255493164,0.75,1.0,1,2.2985476688486415,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130123-AR,2013-01-23,AR,2013-01-23 20:25:00-05:00,breakout_short,0.7480160593986511,-3.25,1.0,1,-0.9514523311513585,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130117-AR,2013-01-17,AR,2013-01-17 20:25:00-05:00,breakout_short,0.6150707602500916,-2.75,1.0,1,-3.7014523311513585,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130110-RR,2013-01-10,RR,2013-01-10 10:25:00-05:00,breakout_short,0.5975756645202637,-3.2053697782707786,1.0,0,-6.906822109422137,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130522-RR,2013-05-22,RR,2013-05-22 10:25:00-04:00,breakout_long,0.917917013168335,0.0,0.0,-1,-6.906822109422137,2009-04-01,2013-03-31,2013-04-01,2013-06-30
ES-20130906-RR,2013-09-06,RR,2013-09-06 10:25:00-04:00,fade_low_long,1.2259552478790283,0.0,0.0,-1,-6.906822109422137,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20140203-RR,2014-02-03,RR,2014-02-03 10:25:00-05:00,fade_low_long,1.9059696197509766,-2.4580589348720423,1.0,0,-9.36488104429418,2010-01-01,2013-12-31,2014-01-01,2014-03-31
