session_id,day_date,session,end,action,pred_mu,pred_sigma,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20130103-AR,2013-01-03,AR,2013-01-03 20:25:00-05:00,mid_revert_short,0.7504863142967224,0.0,0.7504863142967224,0.7504863142967224,0.0,0.0,-1,0.0,,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130107-AR,2013-01-07,AR,2013-01-07 20:25:00-05:00,mid_revert_short,0.6184916496276855,0.0,0.6184916496276855,0.6184916496276855,0.0,0.0,-1,0.0,,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130109-AR,2013-01-09,AR,2013-01-09 20:25:00-05:00,mid_revert_short,0.5747420191764832,0.0,0.5747420191764832,0.5747420191764832,0.0,0.0,-1,0.0,,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130116-AR,2013-01-16,AR,2013-01-16 20:25:00-05:00,mid_revert_short,0.7886881232261658,0.0,0.7886881232261658,0.7886881232261658,0.0,0.0,-1,0.0,,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130503-RR,2013-05-03,RR,2013-05-03 10:25:00-04:00,mid_revert_long,1.2886478900909424,0.5855900645256042,0.7030578255653381,1.2886478900909424,0.0,0.0,-1,0.0,,,0.0,,,,2009-04-01,2013-03-31,2013-04-01,2013-06-30
ES-20130906-RR,2013-09-06,RR,2013-09-06 10:25:00-04:00,mid_revert_long,1.48161780834198,0.5122693777084351,0.9693484306335449,1.48161780834198,0.0,0.0,-1,0.0,,,0.0,,,,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20141112-RR,2014-11-12,RR,2014-11-12 10:25:00-05:00,mid_revert_long,0.8880679607391357,0.3649959862232208,0.5230719745159149,0.8880679607391357,0.0,0.0,-1,0.0,,,0.0,,,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20150122-RR,2015-01-22,RR,2015-01-22 10:25:00-05:00,mid_revert_long,1.898329257965088,1.1554661989212036,0.7428630590438843,1.898329257965088,0.0,0.0,-1,0.0,,,0.0,,,,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20151005-RR,2015-10-05,RR,2015-10-05 10:25:00-04:00,mid_revert_long,1.0671062469482422,0.11229057610034943,0.9548156708478928,1.0671062469482422,0.0,0.0,-1,0.0,,,0.0,,,,2011-10-01,2015-09-30,2015-10-01,2015-12-31
ES-20151007-RR,2015-10-07,RR,2015-10-07 10:25:00-04:00,mid_revert_long,0.9738135933876038,0.0,0.9738135933876038,0.9738135933876038,0.0,0.0,-1,0.0,,,0.0,,,,2011-10-01,2015-09-30,2015-10-01,2015-12-31
