session_id,day_date,session,end,action,pred_mu,pred_sigma,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20130103-AR,2013-01-03,AR,2013-01-03 20:25:00-05:00,mid_revert_short,0.7504863142967224,0.0,0.7504863142967224,0.7504863142967224,0.0,0.0,-1,0.0,,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130107-AR,2013-01-07,AR,2013-01-07 20:25:00-05:00,mid_revert_short,0.6184916496276855,0.0,0.6184916496276855,0.6184916496276855,0.0,0.0,-1,0.0,,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130109-AR,2013-01-09,AR,2013-01-09 20:25:00-05:00,mid_revert_short,0.5747420191764832,0.0,0.5747420191764832,0.5747420191764832,0.0,0.0,-1,0.0,,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130116-AR,2013-01-16,AR,2013-01-16 20:25:00-05:00,mid_revert_short,0.7886881232261658,0.0,0.7886881232261658,0.7886881232261658,0.0,0.0,-1,0.0,,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130906-RR,2013-09-06,RR,2013-09-06 10:25:00-04:00,fade_low_long,1.5015451908111572,0.0,1.5015451908111572,1.5015451908111572,0.0,0.0,-1,0.0,,,0.0,,,,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20150508-RR,2015-05-08,RR,2015-05-08 10:25:00-04:00,mid_revert_long,0.8924578428268433,0.0,0.8924578428268433,0.8924578428268433,0.0,0.0,-1,0.0,,,0.0,,,,2011-04-01,2015-03-31,2015-04-01,2015-06-30
ES-20151005-RR,2015-10-05,RR,2015-10-05 10:25:00-04:00,mid_revert_long,1.0671062469482422,0.0,1.0671062469482422,1.0671062469482422,0.0,0.0,-1,0.0,,,0.0,,,,2011-10-01,2015-09-30,2015-10-01,2015-12-31
ES-20160217-RR,2016-02-17,RR,2016-02-17 10:25:00-05:00,mid_revert_long,0.7256944179534912,0.0,0.7256944179534912,0.7256944179534912,0.0,0.0,-1,0.0,,,0.0,,,,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20160225-RR,2016-02-25,RR,2016-02-25 10:25:00-05:00,mid_revert_short,0.5306858420372009,0.0,0.5306858420372009,0.5306858420372009,0.0,0.0,-1,0.0,,,0.0,,,,2012-01-01,2015-12-31,2016-01-01,2016-03-31
ES-20161205-RR,2016-12-05,RR,2016-12-05 10:25:00-05:00,mid_revert_short,1.3818919658660889,0.502923080252791,0.8789688856132979,1.3818919658660889,0.0,0.0,-1,0.0,,,0.0,,,,2012-10-01,2016-09-30,2016-10-01,2016-12-31
