session_id,day_date,session,end,action,pred_mu,pred_sigma,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120103-RR,2012-01-03,RR,2012-01-03 10:25:00-05:00,fade_low_long,0.00012563809286803007,0.0,0.00012563809286803007,0.00012563809286803007,-2.1539864688816124,1.0,0,-2.1539864688816124,1.9039864688816124,-1.1313034541400249,-1.1313034541400249,,-107.69932344408062,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120105-RR,2012-01-05,RR,2012-01-05 10:25:00-05:00,mid_revert_short,0.02620028145611286,0.0,0.02620028145611286,0.02620028145611286,2.0,1.0,2,-0.15398646888161238,2.5872600320965375,0.7730185505858642,-0.35828490355416065,,100.0,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120109-TOUT,2012-01-09,TOUT,2012-01-09 16:55:00-05:00,mid_revert_short,0.0353531613945961,0.0,0.0353531613945961,0.0353531613945961,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120110-RR,2012-01-10,RR,2012-01-10 10:25:00-05:00,mid_revert_short,0.014328732155263424,0.0,0.014328732155263424,0.014328732155263424,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120110-AR,2012-01-10,AR,2012-01-10 20:25:00-05:00,mid_revert_short,0.10091791301965714,0.0,0.10091791301965714,0.10091791301965714,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120113-RR,2012-01-13,RR,2012-01-13 10:25:00-05:00,mid_revert_long,0.04445909336209297,0.0,0.04445909336209297,0.04445909336209297,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120113-TOUT,2012-01-13,TOUT,2012-01-13 16:55:00-05:00,mid_revert_long,0.013474107719957829,0.0,0.013474107719957829,0.013474107719957829,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120113-AR,2012-01-13,AR,2012-01-15 20:25:00-05:00,mid_revert_short,0.021175183355808258,0.0,0.021175183355808258,0.021175183355808258,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120117-RR,2012-01-17,RR,2012-01-17 10:25:00-05:00,fade_high_short,0.1324237436056137,0.0,0.1324237436056137,0.1324237436056137,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120117-TOUT,2012-01-17,TOUT,2012-01-17 16:55:00-05:00,mid_revert_short,0.00335829914547503,0.0,0.00335829914547503,0.00335829914547503,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120119-RR,2012-01-19,RR,2012-01-19 10:25:00-05:00,mid_revert_short,0.0883866399526596,0.0,0.0883866399526596,0.0883866399526596,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120119-TOUT,2012-01-19,TOUT,2012-01-19 16:55:00-05:00,mid_revert_long,0.062093641608953476,0.0,0.062093641608953476,0.062093641608953476,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120123-RR,2012-01-23,RR,2012-01-23 10:25:00-05:00,breakout_long,0.0045252274721860886,0.0,0.0045252274721860886,0.0045252274721860886,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120124-RR,2012-01-24,RR,2012-01-24 10:25:00-05:00,mid_revert_short,0.04762035608291626,0.0,0.04762035608291626,0.04762035608291626,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120124-TOUT,2012-01-24,TOUT,2012-01-24 16:55:00-05:00,mid_revert_long,0.006086989305913448,0.0,0.006086989305913448,0.006086989305913448,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120124-AR,2012-01-24,AR,2012-01-24 20:25:00-05:00,mid_revert_short,0.03668251261115074,0.0,0.03668251261115074,0.03668251261115074,0.0,0.0,-1,-0.15398646888161238,,,-0.35828490355416065,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120125-RR,2012-01-25,RR,2012-01-25 10:25:00-05:00,fade_high_short,0.1407177448272705,0.0,0.1407177448272705,0.1407177448272705,-2.1204550178190402,1.0,0,-2.2744414867006526,1.8704550178190402,-1.1336573174005515,-1.4919422209547122,,-106.02275089095201,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120126-RR,2012-01-26,RR,2012-01-26 10:25:00-05:00,mid_revert_long,0.10080880671739578,0.0,0.10080880671739578,0.10080880671739578,-2.7616832267583504,1.0,0,-5.036124713459003,2.5116832267583504,-1.0995348447354802,-2.591477065690192,,-138.08416133791752,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120127-RR,2012-01-27,RR,2012-01-27 10:25:00-05:00,mid_revert_short,0.07769901305437088,0.0,0.07769901305437088,0.07769901305437088,0.0,0.0,-1,-5.036124713459003,,,-2.591477065690192,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
