session_id,day_date,session,end,action,pred_mu,pred_sigma,pred_R_mu,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120802-TR,2012-08-02,TR,2012-08-03 09:25:00-04:00,breakout_short,1.384978175163269,0.0,0.25961378008025177,1.384978175163269,1.384978175163269,0.0,0.0,-1,0.0,5.334763719919431,,0.0,,,0.0,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120806-TR,2012-08-06,TR,2012-08-07 09:25:00-04:00,breakout_short,2.335087776184082,0.0,0.44083071950024527,2.335087776184082,2.335087776184082,0.0,0.0,-1,0.0,5.297016911233617,,0.0,,,0.0,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120808-TR,2012-08-08,TR,2012-08-09 09:25:00-04:00,breakout_short,1.7045531272888184,0.0,0.31839388831783266,1.7045531272888184,1.7045531272888184,0.0,0.0,-1,0.0,5.353598765021739,,0.0,,,0.0,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120809-TR,2012-08-09,TR,2012-08-10 09:25:00-04:00,breakout_short,1.7332582473754883,0.0,0.32236022724557,1.7332582473754883,1.7332582473754883,-3.5,1.0,1,-3.5,5.376774492887777,-0.650947887926058,-0.650947887926058,0.7439404433440663,-130.1895775852116,-130.1895775852116,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120813-TR,2012-08-13,TR,2012-08-14 09:25:00-04:00,breakout_short,1.6070027351379395,0.0,0.2973264022885591,1.6070027351379395,1.6070027351379395,1.0,1.0,1,-2.5,5.40484370970299,0.1850192260332635,-0.46592866189279447,0.740076904133054,37.003845206652706,-93.1857323785589,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120815-TR,2012-08-15,TR,2012-08-16 09:25:00-04:00,breakout_long,1.1652183532714844,0.0,0.21684654382551505,1.1652183532714844,1.1652183532714844,0.0,0.0,-1,-2.5,5.373469794423258,,-0.46592866189279447,,,-93.1857323785589,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120820-TR,2012-08-20,TR,2012-08-21 09:25:00-04:00,breakout_short,1.8387737274169922,0.0,0.3396038614154033,1.8387737274169922,1.8387737274169922,0.0,0.0,-1,-2.5,5.41446648973112,,-0.46592866189279447,,,-93.1857323785589,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120829-TR,2012-08-29,TR,2012-08-30 09:25:00-04:00,breakout_short,2.668456792831421,0.0,0.49117813234235214,2.668456792831421,2.668456792831421,3.0,1.0,1,0.5,5.432767904601056,0.5522047053508903,0.08627604345809581,0.7362729404678537,110.44094107017806,17.25520869161916,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20140212-TR,2014-02-12,TR,2014-02-13 09:25:00-05:00,breakout_long,1.1634835004806519,0.0,0.20416911587045689,1.1634835004806519,1.1634835004806519,5.75,1.0,1,6.25,5.698626334939265,1.009015096277809,1.0952911397359049,0.7019235452367366,201.80301925556176,219.0582279471809,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140213-TR,2014-02-13,TR,2014-02-14 09:25:00-05:00,breakout_long,1.0351779460906982,0.0,0.1844443699692458,1.0351779460906982,1.0351779460906982,4.25,1.0,1,10.5,5.612412817280916,0.7572500702218528,1.8525412099577576,0.7127059484440966,151.45001404437053,370.5082419915515,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140225-TR,2014-02-25,TR,2014-02-26 09:25:00-05:00,breakout_short,2.2074923515319824,0.0,0.3838735226395027,2.2074923515319824,2.2074923515319824,-3.5,1.0,1,7.0,5.7505720539237295,-0.6086351005048064,1.243906109452951,0.695582972005493,-121.72702010096128,248.7812218905902,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140227-TR,2014-02-27,TR,2014-02-28 09:25:00-05:00,breakout_short,1.1490458250045776,0.0,0.20603612545905703,1.1490458250045776,1.1490458250045776,0.0,0.0,-1,7.0,5.5769143515218795,,1.243906109452951,,,248.7812218905902,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140303-TR,2014-03-03,TR,2014-03-04 09:25:00-05:00,breakout_short,1.0740569829940796,0.0,0.19137969470192984,1.0740569829940796,1.0740569829940796,0.0,0.0,-1,7.0,5.61217836963792,,1.243906109452951,,,248.7812218905902,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20141024-RR,2014-10-24,RR,2014-10-24 10:25:00-04:00,breakout_long,1.7260184288024902,0.0,0.2562476768125786,1.7260184288024902,1.7260184288024902,5.5,1.0,1,12.5,6.735742740274335,0.8165394986234279,2.060445608076379,0.5938469080897658,163.3078997246856,412.08912161527576,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141027-RR,2014-10-27,RR,2014-10-27 10:25:00-04:00,breakout_long,3.642648696899414,0.0,0.5496895927938297,3.642648696899414,3.642648696899414,2.5,1.0,1,15.0,6.626737607283845,0.37725954280309815,2.437705150879477,0.6036152684849571,75.45190856061963,487.5410301758954,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141028-RR,2014-10-28,RR,2014-10-28 10:25:00-04:00,breakout_long,3.3308937549591064,0.0,0.49337669877427226,3.3308937549591064,3.3308937549591064,10.0,1.0,1,25.0,6.75121821365756,1.4812141577308564,3.9189193086103336,0.5924856630923426,296.2428315461713,783.7838617220667,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141029-RR,2014-10-29,RR,2014-10-29 10:25:00-04:00,breakout_long,1.5142481327056885,0.0,0.21688573255492424,1.5142481327056885,1.5142481327056885,0.0,0.0,-1,25.0,6.981778445579493,,3.9189193086103336,,,783.7838617220667,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141031-RR,2014-10-31,RR,2014-10-31 10:25:00-04:00,breakout_short,1.2074140310287476,0.0,0.17214828699808063,1.2074140310287476,1.2074140310287476,0.0,0.0,-1,25.0,7.013802182313959,,3.9189193086103336,,,783.7838617220667,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141104-RR,2014-11-04,RR,2014-11-04 10:25:00-05:00,breakout_long,2.0434253215789795,0.0,0.2922535910653066,2.0434253215789795,2.0434253215789795,0.0,0.0,-1,25.0,6.991959668075929,,3.9189193086103336,,,783.7838617220667,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141106-RR,2014-11-06,RR,2014-11-06 10:25:00-05:00,breakout_long,1.54448664188385,0.0,0.21939405207366142,1.54448664188385,1.54448664188385,4.75,1.0,1,29.75,7.039783564256745,0.6747366530012775,4.593655961611611,0.5681992867379179,134.9473306002555,918.7311923223222,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141107-RR,2014-11-07,RR,2014-11-07 10:25:00-05:00,breakout_long,1.9260578155517578,0.0,0.2732391158008582,1.9260578155517578,1.9260578155517578,0.75,1.0,1,30.5,7.048982756024964,0.1063983309306515,4.700054292542262,0.5674577649634747,21.2796661861303,940.0108585084524,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141110-RR,2014-11-10,RR,2014-11-10 10:25:00-05:00,breakout_long,1.1470738649368286,0.0,0.16688166347622108,1.1470738649368286,1.1470738649368286,4.0,1.0,1,34.5,6.873576407633753,0.5819386826860066,5.281992975228269,0.5819386826860066,116.38773653720132,1056.3985950456538,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141112-RR,2014-11-12,RR,2014-11-12 10:25:00-05:00,breakout_long,2.1613268852233887,0.0,0.3081946047162723,2.1613268852233887,2.1613268852233887,0.25,1.0,1,34.75,7.01286411945184,0.0356487728468267,5.317641748075095,0.5703803655492272,7.12975456936534,1063.5283496150191,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20150113-RR,2015-01-13,RR,2015-01-13 10:25:00-05:00,breakout_long,1.5211074352264404,0.0,0.255619333577791,1.5211074352264404,1.5211074352264404,0.0,0.0,-1,34.75,5.950674442093918,,5.317641748075095,,,1063.5283496150191,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150116-RR,2015-01-16,RR,2015-01-16 10:25:00-05:00,breakout_long,1.1841129064559937,0.0,0.18203980793562805,1.1841129064559937,1.1841129064559937,16.011730330910723,1.0,2,50.76173033091072,6.5046921323643305,2.4615662056077614,7.779207953682857,0.614940710275565,492.3132411215523,1555.8415907365716,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150120-RR,2015-01-20,RR,2015-01-20 10:25:00-05:00,breakout_long,1.0048844814300537,0.0,0.15004742446387315,1.0048844814300537,1.0048844814300537,0.0,0.0,-1,50.76173033091072,6.697112496402758,,7.779207953682857,,,1555.8415907365716,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150121-RR,2015-01-21,RR,2015-01-21 10:25:00-05:00,breakout_long,1.0426335334777832,0.0,0.15004557906317267,1.0426335334777832,1.0426335334777832,-7.198778764343388,1.0,0,43.562951566567335,6.948778764343402,-1.0359775449008137,6.743230408782043,0.5756407184130526,-207.19550898016274,1348.6460817564089,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150122-RR,2015-01-22,RR,2015-01-22 10:25:00-05:00,breakout_long,3.453413963317871,0.0,0.49652498259973965,3.453413963317871,3.453413963317871,17.137916440962726,1.0,2,60.70086800753006,6.955166576385037,2.4640554978440496,9.207285906626094,0.5751120344955144,492.81109956880994,1841.4571813252187,2011-01-01,2014-12-31,2015-01-01,2015-03-31
