session_id,day_date,session,end,action,pred_mu,pred_sigma,pred_R_mu,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120604-RS,2012-06-04,RS,2012-06-04 15:55:00-04:00,breakout_short,0.9209741950035095,0.0,0.1686856796649742,0.9209741950035095,0.9209741950035095,0.0,0.0,-1,0.0,5.459705867342455,,0.0,,,0.0,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20121226-AR,2012-12-26,AR,2012-12-26 20:25:00-05:00,breakout_short,1.591407299041748,0.0,0.15596352681056366,1.591407299041748,1.591407299041748,-1.0,1.0,1,-1.0,10.203714493932305,-0.09800352612714278,-0.09800352612714278,0.3920141045085711,-19.600705225428555,-19.600705225428555,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121227-AR,2012-12-27,AR,2012-12-27 20:25:00-05:00,breakout_short,1.0271556377410889,0.0,0.10061307315221077,1.0271556377410889,1.0271556377410889,1.25,1.0,1,0.25,10.208967935878213,0.1224413680061647,0.024437841879021927,0.39181237761972704,24.48827360123294,4.887568375804385,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121228-AR,2012-12-28,AR,2012-12-30 20:25:00-05:00,breakout_short,1.0131195783615112,0.0,0.09935586200872247,1.0131195783615112,1.0131195783615112,-1.25,1.0,1,-1.0,10.196877747108362,-0.12258654374418443,-0.0981487018651625,0.3922769399813902,-24.517308748836886,-19.6297403730325,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130115-AR,2013-01-15,AR,2013-01-15 20:25:00-05:00,breakout_short,0.8601361513137817,0.0,0.08419303067501974,0.8601361513137817,0.8601361513137817,2.0,1.0,1,1.0,10.216239330234565,0.19576675284819114,0.09761805098302864,0.3915335056963823,39.15335056963823,19.523610196605727,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20140204-RS,2014-02-04,RS,2014-02-04 15:55:00-05:00,breakout_long,3.5257415771484375,0.0,0.4498484889221955,3.5257415771484375,3.5257415771484375,0.0,0.0,-1,1.0,7.83762014094092,,0.09761805098302864,,,19.523610196605727,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140205-RS,2014-02-05,RS,2014-02-05 15:55:00-05:00,breakout_long,2.749778985977173,0.0,0.3576344908658913,2.749778985977173,2.749778985977173,0.0,0.0,-1,1.0,7.688796959486516,,0.09761805098302864,,,19.523610196605727,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140225-TR,2014-02-25,TR,2014-02-26 09:25:00-05:00,breakout_long,1.5374468564987183,0.0,0.2673554634359703,1.5374468564987183,1.5374468564987183,-1.0,1.0,1,0.0,5.7505720539237295,-0.17389574300137325,-0.07627769201834461,0.695582972005493,-34.77914860027465,-15.255538403668925,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20141013-RS,2014-10-13,RS,2014-10-13 15:55:00-04:00,breakout_short,0.9194122552871704,0.0,0.09423154594247553,0.9194122552871704,0.9194122552871704,1.75,1.0,1,1.75,9.756947592141104,0.17935937274169297,0.10308168072334836,0.40996428055244105,35.87187454833859,20.616336144669663,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141015-RS,2014-10-15,RS,2014-10-15 15:55:00-04:00,breakout_long,1.5978482961654663,0.0,0.15234384614005114,1.5978482961654663,1.5978482961654663,0.0,0.0,-1,1.75,10.48843347893783,,0.10308168072334836,,,20.616336144669663,2010-10-01,2014-09-30,2014-10-01,2014-12-31
