session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20100310-RR,2010-03-10,RR,2010-03-10 10:25:00-05:00,breakout_long,0.633240818977356,-3.173475761198688,1.0,0,-3.173475761198688,2008-01-01,2009-12-31,2010-01-01,2010-03-31
ES-20100520-RR,2010-05-20,RR,2010-05-20 10:25:00-04:00,breakout_short,4.3198370933532715,-8.452725397535232,1.0,0,-11.62620115873392,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100617-RR,2010-06-17,RR,2010-06-17 10:25:00-04:00,breakout_short,3.6746370792388916,-6.087872607290137,1.0,0,-17.714073766024057,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100514-RR,2010-05-14,RR,2010-05-14 10:25:00-04:00,breakout_short,2.2524187564849854,-2.25,1.0,1,-19.964073766024057,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100510-RR,2010-05-10,RR,2010-05-10 10:25:00-04:00,breakout_short,2.1560287475585938,-8.568139657905476,1.0,0,-28.532213423929534,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100521-RR,2010-05-21,RR,2010-05-21 10:25:00-04:00,mid_revert_short,1.6380161046981812,0.0,0.0,-1,-28.532213423929534,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100518-RR,2010-05-18,RR,2010-05-18 10:25:00-04:00,breakout_long,1.2645692825317383,0.0,0.0,-1,-28.532213423929534,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100603-RR,2010-06-03,RR,2010-06-03 10:25:00-04:00,breakout_short,1.2375084161758423,-4.0,1.0,1,-32.532213423929534,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100629-RR,2010-06-29,RR,2010-06-29 10:25:00-04:00,fade_low_long,1.0315755605697632,4.164106238139084,1.0,2,-28.36810718579045,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100525-RR,2010-05-25,RR,2010-05-25 10:25:00-04:00,breakout_short,0.7474846839904785,0.0,0.0,-1,-28.36810718579045,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100506-TOUT,2010-05-06,TOUT,2010-05-06 16:55:00-04:00,mid_revert_long,0.7206910848617554,3.875,1.0,2,-24.49310718579045,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100610-RR,2010-06-10,RR,2010-06-10 10:25:00-04:00,mid_revert_short,0.6879082918167114,0.0,0.0,-1,-24.49310718579045,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100517-RR,2010-05-17,RR,2010-05-17 10:25:00-04:00,breakout_long,0.6046805381774902,0.0,0.0,-1,-24.49310718579045,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100528-RR,2010-05-28,RR,2010-05-28 10:25:00-04:00,mid_revert_short,0.5877119898796082,0.0,0.0,-1,-24.49310718579045,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100608-RR,2010-06-08,RR,2010-06-08 10:25:00-04:00,breakout_short,0.5632449984550476,-6.09790785801124,1.0,0,-30.59101504380169,2008-04-01,2010-03-31,2010-04-01,2010-06-30
ES-20100707-RR,2010-07-07,RR,2010-07-07 10:25:00-04:00,breakout_short,0.7680214047431946,0.0,0.0,-1,-30.59101504380169,2008-07-01,2010-06-30,2010-07-01,2010-09-30
ES-20110317-AR,2011-03-17,AR,2011-03-17 20:25:00-04:00,breakout_long,1.2460757493972778,-0.5,1.0,1,-31.09101504380169,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110324-AR,2011-03-24,AR,2011-03-24 20:25:00-04:00,fade_high_short,1.1152935028076172,-1.75,1.0,1,-32.84101504380169,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110317-RR,2011-03-17,RR,2011-03-17 10:25:00-04:00,breakout_long,0.8271100521087646,0.0,0.0,-1,-32.84101504380169,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110321-AR,2011-03-21,AR,2011-03-21 20:25:00-04:00,fade_high_short,0.7119223475456238,0.0,0.0,-1,-32.84101504380169,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110316-AR,2011-03-16,AR,2011-03-16 20:25:00-04:00,breakout_short,0.6929404139518738,0.0,0.0,-1,-32.84101504380169,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110322-AR,2011-03-22,AR,2011-03-22 20:25:00-04:00,mid_revert_long,0.6457253694534302,0.0,0.0,-1,-32.84101504380169,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110222-RR,2011-02-22,RR,2011-02-22 10:25:00-05:00,breakout_short,0.6428481936454773,5.004227621138625,1.0,2,-27.836787422663065,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110329-AR,2011-03-29,AR,2011-03-29 20:25:00-04:00,fade_high_short,0.6202884912490845,-3.158938696862606,1.0,0,-30.99572611952567,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110207-RR,2011-02-07,RR,2011-02-07 10:25:00-05:00,breakout_short,0.6076850891113281,0.0,0.0,-1,-30.99572611952567,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110328-AR,2011-03-28,AR,2011-03-28 20:25:00-04:00,fade_high_short,0.6015685200691223,-3.166101723168822,1.0,0,-34.16182784269449,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110323-AR,2011-03-23,AR,2011-03-23 20:25:00-04:00,fade_high_short,0.5989434719085693,0.0,0.0,-1,-34.16182784269449,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110321-RR,2011-03-21,RR,2011-03-21 10:25:00-04:00,breakout_short,0.5188437700271606,0.0,0.0,-1,-34.16182784269449,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110304-AR,2011-03-04,AR,2011-03-06 20:25:00-05:00,mid_revert_long,0.5019864439964294,-0.7036039891220298,1.0,0,-34.86543183181652,2009-01-01,2010-12-31,2011-01-01,2011-03-31
ES-20110504-RR,2011-05-04,RR,2011-05-04 10:25:00-04:00,mid_revert_long,1.045057773590088,-1.8845367925855498,1.0,0,-36.74996862440207,2009-04-01,2011-03-31,2011-04-01,2011-06-30
