archetype,direction,count,win_rate,avg_r,entry_sd_mode,stop_sd_mode,target_sd_mode,entry_sd_top3,stop_sd_top3,target_sd_top3
cluster_rejection_fade,long,8,0.875,4.190909090909091,0.5,0.0,0.5,0.5;0.0;-0.5,0.0;-0.5;0.5,0.5;1.0;2.0
cluster_rejection_fade,short,7,0.7142857142857143,1.75,-0.0,0.0,-1.0,-0.0;-0.5;1.0,0.0;0.5;1.0,-1.0;-0.0;-0.5
model_forward,long,16,0.75,3.7892857142857146,0.5,0.0,0.5,0.5;-0.0;-0.5,0.0;-0.5;0.5,0.5;1.0;1.5
model_forward,short,9,1.0,4.538888888888889,-0.0,0.5,-1.0,-0.0;-0.5;0.5,0.5;-0.0,-1.0;0.0;-2.0
other,long,12,0.75,4.6628968253968255,0.5,-0.5,-0.0,0.5;-0.5;0.0,-0.5;-0.0;0.5,-0.0;0.5;3.5
other,short,6,0.8333333333333334,2.4875000000000003,0.0,-0.0,-1.0,0.0;-0.5;0.5,-0.0;0.5;1.0,-1.0;-0.5;-4.0
range_post_break_pullback,long,5,0.8,3.7107142857142863,0.0,-0.5,1.5,0.0,-0.5;0.0,1.5;3.0;0.5
range_post_break_pullback,short,3,0.6666666666666666,4.3999999999999995,0.0,0.5,-1.0,0.0;0.5,0.5;-0.0,-1.0;-4.0
range_pre_break_hold,long,5,0.2,1.2,-0.5,-1.0,4.0,-0.5;0.5;-0.0,-1.0;0.0;-0.5,4.0;1.0;3.5
range_pre_break_hold,short,2,0.5,6.0,0.0,0.0,-0.5,0.0;-0.5,0.0;-0.5,-0.5;-1.0
wddrb_sigma_distribution,long,21,0.7619047619047619,4.168480725623583,0.0,-0.0,0.5,0.0;-0.5;0.5,-0.0;0.5;-1.0,0.5;1.0;1.5
wddrb_sigma_distribution,short,15,0.8666666666666667,4.168862433862434,-0.0,0.0,-1.0,-0.0;0.5;-0.5,0.0;0.5;-0.5,-1.0;-0.5;-1.5
