event_type,session,events,pct_any,pct_any_session,pct_weekly,pct_monthly,pct_darkpool,pct_prior_ar,pct_prior_or,pct_prior_rr,pct_wick_perfect,pct_close_perfect,n_any,n_any_session,n_weekly,n_monthly,n_darkpool,n_prior_ar,n_prior_or,n_prior_rr,n_wick_perfect,n_close_perfect
box_high,AR,4531,0.5504526385515567,0.35253863134657837,0.3526292532037119,0.17906822698167366,0.2621466431095406,0.14083885209713023,0.18520971302428257,0.1900662251655629,,,4529,4530,4526,4529,4528,4530,4530,4530,0,0
box_high,OR,4530,0.5313604240282686,0.33451092956502537,0.3467403314917127,0.17623674911660778,0.24895074000441794,0.12651799514241555,0.16935305807021417,0.1770810333406933,,,4528,4529,4525,4528,4527,4529,4529,4529,0,0
box_high,RR,4534,0.5522947925860547,0.46635782042797264,0.3464340914109075,0.17762577228596646,0.27322886779960276,0.19347010809618354,0.2830355173174498,0.2128833002426649,,,4532,4533,4529,4532,4531,4533,4533,4533,0,0
box_low,AR,4531,0.5548686244204019,0.3536423841059603,0.36389748121961996,0.17796423051446236,0.26501766784452296,0.1346578366445916,0.1891832229580574,0.1891832229580574,,,4529,4530,4526,4529,4528,4530,4530,4530,0,0
box_low,OR,4530,0.5636042402826855,0.3300949436961802,0.36441988950276244,0.18661660777385158,0.2633090346808041,0.12695959372930007,0.17398984323250166,0.17156105100463678,,,4528,4529,4525,4528,4527,4529,4529,4529,0,0
box_low,RR,4534,0.6008384819064431,0.49944848885947496,0.3855155663501877,0.19351279788172993,0.28845729419554184,0.20604456210015443,0.3013456871828811,0.23251709684535626,,,4532,4533,4529,4532,4531,4533,4533,4533,0,0
day_high,DAY,4589,0.48822503270824247,0.2738173097885328,0.3085315295657866,0.16463148713475795,0.22857142857142856,0.09505123174187922,0.13189448441247004,0.1458469587965991,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
day_low,DAY,4589,0.5926733536851286,0.33834750381512974,0.3844643246781584,0.18927169646750983,0.2824427480916031,0.11816001744059298,0.17331589274035317,0.183998255940702,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
false_break_high,AS,499,0.5370741482965932,0.35070140280561124,0.312625250501002,0.19238476953907815,0.2685370741482966,0.12424849699398798,0.18236472945891782,0.18637274549098196,0.3586626139817629,0.14285714285714285,499,499,499,499,499,499,499,499,329,329
false_break_high,OS,411,0.5012165450121655,0.3284671532846715,0.3309002433090024,0.170316301703163,0.19708029197080293,0.10218978102189781,0.15571776155717762,0.1654501216545012,0.3372093023255814,0.10852713178294573,411,411,411,411,411,411,411,411,258,258
false_break_high,RS,448,0.5267857142857143,0.33705357142857145,0.3125,0.19642857142857142,0.23883928571428573,0.13392857142857142,0.15848214285714285,0.16517857142857142,0.32413793103448274,0.04827586206896552,448,448,448,448,448,448,448,448,290,290
false_break_low,AS,556,0.5827338129496403,0.31654676258992803,0.3776978417266187,0.17805755395683454,0.2517985611510791,0.1223021582733813,0.1564748201438849,0.17266187050359713,0.32189973614775724,0.1424802110817942,556,556,556,556,556,556,556,556,379,379
false_break_low,OS,446,0.5829596412556054,0.28699551569506726,0.4013452914798206,0.17937219730941703,0.2713004484304933,0.1031390134529148,0.14349775784753363,0.16367713004484305,0.37966101694915255,0.09152542372881356,446,446,446,446,446,446,446,446,295,295
false_break_low,RS,421,0.5819477434679335,0.29453681710213775,0.38717339667458434,0.19002375296912113,0.2660332541567696,0.1021377672209026,0.1330166270783848,0.14251781472684086,0.34385964912280703,0.031578947368421054,421,421,421,421,421,421,421,421,285,285
first_candle_high,AR,4532,0.5549668874172186,0.3562127565658795,0.36956041528606143,0.17240618101545255,0.256347979686465,0.1381593467225778,0.18671374972412272,0.18759655705142353,,,4530,4531,4527,4530,4529,4531,4531,4531,0,0
first_candle_high,OR,4534,0.5372903795233892,0.34215751158173396,0.3495252815190991,0.17762577228596646,0.2560141249172368,0.13236267372600927,0.17493933377454224,0.18442532539157291,,,4532,4533,4529,4532,4531,4533,4533,4533,0,0
first_candle_high,RR,4534,0.574801412180053,0.5592322964923891,0.3700596158092294,0.18314210061782876,0.2862502758772898,0.23604676814471653,0.37370394881976615,0.22920803000220605,,,4532,4533,4529,4532,4531,4533,4533,4533,0,0
first_candle_low,AR,4532,0.5503311258278145,0.3557713529022291,0.36381709741550694,0.1741721854304636,0.2574519761536763,0.138380048554403,0.18516883690134628,0.18737585521959832,,,4530,4531,4527,4530,4529,4531,4531,4531,0,0
first_candle_low,OR,4534,0.5496469549867609,0.33664240017648356,0.35460366526827114,0.18115622241835835,0.25292429927168397,0.13324509155084932,0.17493933377454224,0.17207147584381205,,,4532,4533,4529,4532,4531,4533,4533,4533,0,0
first_candle_low,RR,4534,0.5816416593115622,0.5801897198323406,0.3855155663501877,0.1824801412180053,0.2824983447362613,0.24906243106110743,0.3827487315243768,0.24310611074343702,,,4532,4533,4529,4532,4531,4533,4533,4533,0,0
session_high,AR,4589,0.5436109899694723,0.34837584477872247,0.34824350861880865,0.1768425643262102,0.25888767720828787,0.13908872901678657,0.1829082188794419,0.18792238936123828,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
