Date,Conf Time,Entry Time,Instrument,Conf Type,Direction,Session,Entry Method,Status,Entry,Stop,Target,Exit,entry_dt,narrative,confluences,prior_session,probabilities,session_status,sequence_notes,daycycle_notes,m7_metrics,level_breaks
03/16/2018,,9:35,ES,No Conf,Long,RDR,M7 Candle,W,2757.75,2756.0,2771.0,2760.25,2018-03-16 09:35:00-04:00,"IF prior TR session, prior session closed down AND weekly rejection support, perfect rejection near entry; recent sessions: AR true=True break_dir= box=down, OR true=False break_dir= box=down, RR true=True break_dir= box=down; level breaks: AS high broken 05:10; low broken 03:55; first=low, OS high broken 08:35; first=high, AR high broken 08:35; low broken 20:30; first=low, OR high broken 04:30; first=high, RR high broken 11:00; low broken 13:45; first=high; probs: confirm_long=0.50, seq_intraday_high_holds=0.62, seq_asia_high_holds=0.50, first_break_true=0.82; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=0.74, day_low_in_OS=0.51; seq_intraday holds: high_holds=0.62, low_holds=0.64, hi_pct_pctile=0.48, lo_pct_pctile=0.72; daycycle: daycycle hi_hold_24h=0.28, lo_hold_24h=0.27, cycle_pair_24h=0.02, pair_hi_hold=0.28, pair_lo_hold=0.27, hi_pct_pctile=0.88, lo_pct_pctile=0.85; m7/max: m7_ret_sd=0.50, m7_time=0.50, max_ext_sd=0.50, max_ext_time=0.50, max_ret_sd=0.50, max_ret_time=0.50; THEN LONG via M7 Candle at 2757.75, stop 2756.0, target 2771.0.",weekly rejection support; perfect rejection near entry,prior TR session; prior session closed down,confirm_long=0.50; seq_intraday_high_holds=0.62; seq_asia_high_holds=0.50; first_break_true=0.82,AR true=True break_dir= box=down; OR true=False break_dir= box=down; RR true=True break_dir= box=down,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=0.74, day_low_in_OS=0.51; seq_intraday holds: high_holds=0.62, low_holds=0.64, hi_pct_pctile=0.48, lo_pct_pctile=0.72",daycycle hi_hold_24h=0.28; lo_hold_24h=0.27; cycle_pair_24h=0.02; pair_hi_hold=0.28; pair_lo_hold=0.27; hi_pct_pctile=0.88; lo_pct_pctile=0.85,m7_ret_sd=0.50; m7_time=0.50; max_ext_sd=0.50; max_ext_time=0.50; max_ret_sd=0.50; max_ret_time=0.50,AS high broken 05:10; low broken 03:55; first=low; OS high broken 08:35; first=high; AR high broken 08:35; low broken 20:30; first=low; OR high broken 04:30; first=high; RR high broken 11:00; low broken 13:45; first=high
03/15/2018,11:00,12:20,ES,Confirmed,Long,RDR,Mode,EX,2758.0,2755.75,2768.75,2755.75,2018-03-15 12:20:00-04:00,"IF prior RR session, prior session closed down, prior session high printed early AND near range high, perfect rejection near entry; recent sessions: AR true=True break_dir= box=down, OR true=False break_dir= box=up, RR true=True break_dir= box=down; level breaks: AS high broken 03:45; first=high, OS high broken 11:00; low broken 09:45; first=low, AR high broken 22:40; low broken 20:35; first=low, OR high broken 11:00; low broken 04:05; first=low, RR high broken 11:00; first=high; probs: confirm_long=0.83, seq_intraday_high_holds=0.39, seq_asia_high_holds=0.50, first_break_true=0.89; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=1.00, day_low_in_RR=0.82; seq_intraday holds: high_holds=0.39, low_holds=0.73, hi_pct_pctile=1.00, lo_pct_pctile=0.83; daycycle: daycycle hi_hold_24h=0.52, lo_hold_24h=0.84, cycle_pair_24h=0.03, pair_hi_hold=0.52, pair_lo_hold=0.84, hi_pct_pctile=0.54, lo_pct_pctile=0.86; m7/max: m7_ret_sd=0.26, m7_time=0.96, max_ext_sd=0.48, max_ext_time=0.17, max_ret_sd=0.52, max_ret_time=0.65; THEN LONG via Mode at 2758.0, stop 2755.75, target 2768.75.",near range high; perfect rejection near entry,prior RR session; prior session closed down; prior session high printed early,confirm_long=0.83; seq_intraday_high_holds=0.39; seq_asia_high_holds=0.50; first_break_true=0.89,AR true=True break_dir= box=down; OR true=False break_dir= box=up; RR true=True break_dir= box=down,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=1.00, day_low_in_RR=0.82; seq_intraday holds: high_holds=0.39, low_holds=0.73, hi_pct_pctile=1.00, lo_pct_pctile=0.83",daycycle hi_hold_24h=0.52; lo_hold_24h=0.84; cycle_pair_24h=0.03; pair_hi_hold=0.52; pair_lo_hold=0.84; hi_pct_pctile=0.54; lo_pct_pctile=0.86,m7_ret_sd=0.26; m7_time=0.96; max_ext_sd=0.48; max_ext_time=0.17; max_ret_sd=0.52; max_ret_time=0.65,AS high broken 03:45; first=high; OS high broken 11:00; low broken 09:45; first=low; AR high broken 22:40; low broken 20:35; first=low; OR high broken 11:00; low broken 04:05; first=low; RR high broken 11:00; first=high
03/15/2018,,9:35,ES,No Conf,Short,RDR,M7 Candle,EX,2756.75,2759.75,2743.75,2759.75,2018-03-15 09:35:00-04:00,"IF prior TR session, prior session closed up, prior session low printed early AND confluence light; recent sessions: AR true=True break_dir= box=down, OR true=False break_dir= box=up, RR true=True break_dir= box=down; level breaks: AS high broken 03:45; first=high, OS high/low held, AR high broken 22:40; low broken 20:35; first=low, OR low broken 04:05; first=low, RR low broken 11:00; first=low; probs: confirm_short=0.50, seq_intraday_low_holds=0.73, seq_asia_low_holds=0.50, first_break_true=0.89; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_low_in_RS=0.54, day_high_in_RS=0.45; seq_intraday holds: high_holds=0.65, low_holds=0.73, hi_pct_pctile=0.94, lo_pct_pctile=1.00; daycycle: daycycle hi_hold_24h=0.22, lo_hold_24h=0.35, cycle_pair_24h=0.02, pair_hi_hold=0.22, pair_lo_hold=0.35, hi_pct_pctile=0.84, lo_pct_pctile=0.86; m7/max: m7_ret_sd=0.50, m7_time=0.50, max_ext_sd=0.50, max_ext_time=0.50, max_ret_sd=0.50, max_ret_time=0.50; THEN SHORT via M7 Candle at 2756.75, stop 2759.75, target 2743.75.",confluence light,prior TR session; prior session closed up; prior session low printed early,confirm_short=0.50; seq_intraday_low_holds=0.73; seq_asia_low_holds=0.50; first_break_true=0.89,AR true=True break_dir= box=down; OR true=False break_dir= box=up; RR true=True break_dir= box=down,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_low_in_RS=0.54, day_high_in_RS=0.45; seq_intraday holds: high_holds=0.65, low_holds=0.73, hi_pct_pctile=0.94, lo_pct_pctile=1.00",daycycle hi_hold_24h=0.22; lo_hold_24h=0.35; cycle_pair_24h=0.02; pair_hi_hold=0.22; pair_lo_hold=0.35; hi_pct_pctile=0.84; lo_pct_pctile=0.86,m7_ret_sd=0.50; m7_time=0.50; max_ext_sd=0.50; max_ext_time=0.50; max_ret_sd=0.50; max_ret_time=0.50,AS high broken 03:45; first=high; OS high/low held; AR high broken 22:40; low broken 20:35; first=low; OR low broken 04:05; first=low; RR low broken 11:00; first=low
03/14/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,W,2767.0,2769.25,2752.25,2752.25,2018-03-14 10:30:00-04:00,"IF prior RR session, prior session closed down, prior session high printed early AND near range low, near range low, weekly rejection resistance; recent sessions: AR true=True break_dir= box=up, OR true=False break_dir= box=up, RR true=True break_dir= box=down; level breaks: AS high broken 02:10; first=high, OS low broken 09:30; first=low, AR high broken 00:00; low broken 21:10; first=low, OR high broken 04:00; low broken 10:10; first=high, RR high/low held; probs: confirm_short=1.00, seq_intraday_low_holds=0.49, seq_asia_low_holds=0.50, first_break_true=0.76; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_OS=0.80, day_low_in_RS=0.73; seq_intraday holds: high_holds=0.60, low_holds=0.49, hi_pct_pctile=0.69, lo_pct_pctile=0.50; daycycle: daycycle hi_hold_24h=0.45, lo_hold_24h=0.71, cycle_pair_24h=0.03, pair_hi_hold=0.45, pair_lo_hold=0.71, hi_pct_pctile=0.60, lo_pct_pctile=0.77; m7/max: m7_ret_sd=0.50, m7_time=0.00, max_ext_sd=0.00, max_ext_time=0.00, max_ret_sd=0.50, max_ret_time=0.00; THEN SHORT via Frontrun at 2767.0, stop 2769.25, target 2752.25.",near range low; near range low; weekly rejection resistance,prior RR session; prior session closed down; prior session high printed early,confirm_short=1.00; seq_intraday_low_holds=0.49; seq_asia_low_holds=0.50; first_break_true=0.76,AR true=True break_dir= box=up; OR true=False break_dir= box=up; RR true=True break_dir= box=down,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_OS=0.80, day_low_in_RS=0.73; seq_intraday holds: high_holds=0.60, low_holds=0.49, hi_pct_pctile=0.69, lo_pct_pctile=0.50",daycycle hi_hold_24h=0.45; lo_hold_24h=0.71; cycle_pair_24h=0.03; pair_hi_hold=0.45; pair_lo_hold=0.71; hi_pct_pctile=0.60; lo_pct_pctile=0.77,m7_ret_sd=0.50; m7_time=0.00; max_ext_sd=0.00; max_ext_time=0.00; max_ret_sd=0.50; max_ret_time=0.00,AS high broken 02:10; first=high; OS low broken 09:30; first=low; AR high broken 00:00; low broken 21:10; first=low; OR high broken 04:00; low broken 10:10; first=high; RR high/low held
03/07/2018,10:30,13:20,ES,Confirmed,Long,RDR,Missed,W,2705.75,2702.25,2727.5,2727.5,2018-03-07 13:20:00-05:00,"IF prior RR session, prior session closed up, prior session low printed early AND weekly rejection support; recent sessions: AR true=True break_dir= box=up, OR true=False break_dir= box=down, RR true=True break_dir= box=up; level breaks: AS high broken 07:15; first=high, OS high broken 09:30; first=high, AR high broken 20:35; first=high, OR high broken 05:15; low broken 04:10; first=low, RR high broken 10:30; first=high; probs: confirm_long=0.69, seq_intraday_high_holds=0.50, seq_asia_high_holds=0.50, first_break_true=0.90; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=1.00, day_low_in_OS=0.80; seq_intraday holds: high_holds=0.50, low_holds=0.56, hi_pct_pctile=0.96, lo_pct_pctile=0.67; daycycle: daycycle hi_hold_24h=0.79, lo_hold_24h=0.94, cycle_pair_24h=0.02, pair_hi_hold=0.79, pair_lo_hold=0.94, hi_pct_pctile=0.76, lo_pct_pctile=0.36; m7/max: m7_ret_sd=0.00, m7_time=0.85, max_ext_sd=0.35, max_ext_time=0.49, max_ret_sd=0.14, max_ret_time=0.46; THEN LONG via Missed at 2705.75, stop 2702.25, target 2727.5.",weekly rejection support,prior RR session; prior session closed up; prior session low printed early,confirm_long=0.69; seq_intraday_high_holds=0.50; seq_asia_high_holds=0.50; first_break_true=0.90,AR true=True break_dir= box=up; OR true=False break_dir= box=down; RR true=True break_dir= box=up,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=1.00, day_low_in_OS=0.80; seq_intraday holds: high_holds=0.50, low_holds=0.56, hi_pct_pctile=0.96, lo_pct_pctile=0.67",daycycle hi_hold_24h=0.79; lo_hold_24h=0.94; cycle_pair_24h=0.02; pair_hi_hold=0.79; pair_lo_hold=0.94; hi_pct_pctile=0.76; lo_pct_pctile=0.36,m7_ret_sd=0.00; m7_time=0.85; max_ext_sd=0.35; max_ext_time=0.49; max_ret_sd=0.14; max_ret_time=0.46,AS high broken 07:15; first=high; OS high broken 09:30; first=high; AR high broken 20:35; first=high; OR high broken 05:15; low broken 04:10; first=low; RR high broken 10:30; first=high
03/06/2018,,10:25,ES,No Conf,Short,RDR,Mode,W,2726.5,2729.75,2707.75,2722.0,2018-03-06 10:25:00-05:00,"IF prior TR session, prior session closed up AND weekly rejection resistance; recent sessions: AR true=True break_dir= box=up, OR true=False break_dir= box=down, RR true=True break_dir= box=down; level breaks: AS high broken 02:00; first=high, OS low broken 09:40; first=low, AR high broken 20:35; low broken 21:00; first=high, OR high broken 06:05; low broken 09:40; first=high, RR high/low held; probs: confirm_short=0.75, seq_intraday_low_holds=0.49, seq_asia_low_holds=0.50, first_break_true=0.75; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=0.59, day_low_in_RS=0.53; seq_intraday holds: high_holds=0.47, low_holds=0.49, hi_pct_pctile=0.51, lo_pct_pctile=0.84; daycycle: daycycle hi_hold_24h=0.45, lo_hold_24h=0.63, cycle_pair_24h=0.03, pair_hi_hold=0.45, pair_lo_hold=0.63, hi_pct_pctile=0.64, lo_pct_pctile=0.73; m7/max: m7_ret_sd=0.50, m7_time=0.50, max_ext_sd=0.50, max_ext_time=0.50, max_ret_sd=0.50, max_ret_time=0.50; THEN SHORT via Mode at 2726.5, stop 2729.75, target 2707.75.",weekly rejection resistance,prior TR session; prior session closed up,confirm_short=0.75; seq_intraday_low_holds=0.49; seq_asia_low_holds=0.50; first_break_true=0.75,AR true=True break_dir= box=up; OR true=False break_dir= box=down; RR true=True break_dir= box=down,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=0.59, day_low_in_RS=0.53; seq_intraday holds: high_holds=0.47, low_holds=0.49, hi_pct_pctile=0.51, lo_pct_pctile=0.84",daycycle hi_hold_24h=0.45; lo_hold_24h=0.63; cycle_pair_24h=0.03; pair_hi_hold=0.45; pair_lo_hold=0.63; hi_pct_pctile=0.64; lo_pct_pctile=0.73,m7_ret_sd=0.50; m7_time=0.50; max_ext_sd=0.50; max_ext_time=0.50; max_ret_sd=0.50; max_ret_time=0.50,AS high broken 02:00; first=high; OS low broken 09:40; first=low; AR high broken 20:35; low broken 21:00; first=high; OR high broken 06:05; low broken 09:40; first=high; RR high/low held
03/02/2018,10:40,11:20,ES,Confirmed,Long,RDR,Mode,W,2654.0,2650.5,2684.5,2684.5,2018-03-02 11:20:00-05:00,"IF prior RR session, prior session closed down, prior session low printed early, prior session high printed early AND weekly rejection support, perfect rejection near entry; recent sessions: AR true=True break_dir= box=down, OR true=False break_dir= box=up, RR true=True break_dir= box=down; level breaks: AS high broken 03:20; low broken 04:30; first=high, OS low broken 09:35; first=low, AR low broken 20:35; first=low, OR low broken 04:10; first=low, RR high broken 10:40; first=high; probs: confirm_long=0.76, seq_intraday_high_holds=0.56, seq_asia_high_holds=0.50, first_break_true=0.89; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_OS=0.88, day_low_in_RS=0.75; seq_intraday holds: high_holds=0.56, low_holds=0.46, hi_pct_pctile=0.04, lo_pct_pctile=0.16; daycycle: daycycle hi_hold_24h=0.78, lo_hold_24h=0.54, cycle_pair_24h=0.04, pair_hi_hold=0.78, pair_lo_hold=0.54, hi_pct_pctile=0.33, lo_pct_pctile=0.73; m7/max: m7_ret_sd=0.15, m7_time=0.71, max_ext_sd=0.15, max_ext_time=0.21, max_ret_sd=0.50, max_ret_time=0.29; THEN LONG via Mode at 2654.0, stop 2650.5, target 2684.5.",weekly rejection support; perfect rejection near entry,prior RR session; prior session closed down; prior session low printed early; prior session high printed early,confirm_long=0.76; seq_intraday_high_holds=0.56; seq_asia_high_holds=0.50; first_break_true=0.89,AR true=True break_dir= box=down; OR true=False break_dir= box=up; RR true=True break_dir= box=down,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_OS=0.88, day_low_in_RS=0.75; seq_intraday holds: high_holds=0.56, low_holds=0.46, hi_pct_pctile=0.04, lo_pct_pctile=0.16",daycycle hi_hold_24h=0.78; lo_hold_24h=0.54; cycle_pair_24h=0.04; pair_hi_hold=0.78; pair_lo_hold=0.54; hi_pct_pctile=0.33; lo_pct_pctile=0.73,m7_ret_sd=0.15; m7_time=0.71; max_ext_sd=0.15; max_ext_time=0.21; max_ret_sd=0.50; max_ret_time=0.29,AS high broken 03:20; low broken 04:30; first=high; OS low broken 09:35; first=low; AR low broken 20:35; first=low; OR low broken 04:10; first=low; RR high broken 10:40; first=high
03/01/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,BE,2718.25,2715.25,2737.75,2718.25,2018-03-01 10:30:00-05:00,"IF prior RR session, prior session closed up, prior session high printed early AND near range high; recent sessions: AR true=True break_dir= box=down, OR true=False break_dir= box=up, RR true=True break_dir= box=up; level breaks: AS high broken 02:00; low broken 06:50; first=high, OS high broken 09:30; first=high, AR high broken 03:40; low broken 20:30; first=low, OR high broken 10:30; low broken 04:00; first=low, RR high broken 10:30; first=high; probs: confirm_long=0.77, seq_intraday_high_holds=0.48, seq_asia_high_holds=0.50, first_break_true=0.85; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=1.00, day_low_in_RS=0.60; seq_intraday holds: high_holds=0.48, low_holds=0.51, hi_pct_pctile=0.93, lo_pct_pctile=0.56; daycycle: daycycle hi_hold_24h=0.50, lo_hold_24h=0.71, cycle_pair_24h=0.03, pair_hi_hold=0.50, pair_lo_hold=0.71, hi_pct_pctile=0.41, lo_pct_pctile=0.41; m7/max: m7_ret_sd=0.50, m7_time=0.00, max_ext_sd=0.00, max_ext_time=0.00, max_ret_sd=0.50, max_ret_time=0.00; THEN LONG via Frontrun at 2718.25, stop 2715.25, target 2737.75.",near range high,prior RR session; prior session closed up; prior session high printed early,confirm_long=0.77; seq_intraday_high_holds=0.48; seq_asia_high_holds=0.50; first_break_true=0.85,AR true=True break_dir= box=down; OR true=False break_dir= box=up; RR true=True break_dir= box=up,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=1.00, day_low_in_RS=0.60; seq_intraday holds: high_holds=0.48, low_holds=0.51, hi_pct_pctile=0.93, lo_pct_pctile=0.56",daycycle hi_hold_24h=0.50; lo_hold_24h=0.71; cycle_pair_24h=0.03; pair_hi_hold=0.50; pair_lo_hold=0.71; hi_pct_pctile=0.41; lo_pct_pctile=0.41,m7_ret_sd=0.50; m7_time=0.00; max_ext_sd=0.00; max_ext_time=0.00; max_ret_sd=0.50; max_ret_time=0.00,AS high broken 02:00; low broken 06:50; first=high; OS high broken 09:30; first=high; AR high broken 03:40; low broken 20:30; first=low; OR high broken 10:30; low broken 04:00; first=low; RR high broken 10:30; first=high
02/28/2018,,10:40,ES,No Conf,Short,RDR,Frontrun,W,2755.25,2757.75,2738.5,2738.5,2018-02-28 10:40:00-05:00,"IF prior RR session, prior session closed up, prior session low printed early AND weekly rejection resistance; recent sessions: AR true=True break_dir= box=down, OR true=False break_dir= box=up, RR true=True break_dir= box=up; level breaks: AS high broken 03:05; first=high, OS high broken 08:35; first=high, AR high broken 03:40; low broken 20:30; first=low, OR high broken 04:15; low broken 06:40; first=high, RR high/low held; probs: confirm_short=0.40, seq_intraday_low_holds=0.49, seq_asia_low_holds=0.50, first_break_true=0.62; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=0.56, day_low_in_RS=0.56; seq_intraday holds: high_holds=0.49, low_holds=0.49, hi_pct_pctile=0.96, lo_pct_pctile=0.93; daycycle: daycycle hi_hold_24h=0.54, lo_hold_24h=0.74, cycle_pair_24h=0.03, pair_hi_hold=0.54, pair_lo_hold=0.74, hi_pct_pctile=0.88, lo_pct_pctile=0.46; m7/max: m7_ret_sd=0.50, m7_time=0.06, max_ext_sd=0.00, max_ext_time=0.03, max_ret_sd=0.50, max_ret_time=0.02; THEN SHORT via Frontrun at 2755.25, stop 2757.75, target 2738.5.",weekly rejection resistance,prior RR session; prior session closed up; prior session low printed early,confirm_short=0.40; seq_intraday_low_holds=0.49; seq_asia_low_holds=0.50; first_break_true=0.62,AR true=True break_dir= box=down; OR true=False break_dir= box=up; RR true=True break_dir= box=up,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_high_in_RS=0.56, day_low_in_RS=0.56; seq_intraday holds: high_holds=0.49, low_holds=0.49, hi_pct_pctile=0.96, lo_pct_pctile=0.93",daycycle hi_hold_24h=0.54; lo_hold_24h=0.74; cycle_pair_24h=0.03; pair_hi_hold=0.54; pair_lo_hold=0.74; hi_pct_pctile=0.88; lo_pct_pctile=0.46,m7_ret_sd=0.50; m7_time=0.06; max_ext_sd=0.00; max_ext_time=0.03; max_ret_sd=0.50; max_ret_time=0.02,AS high broken 03:05; first=high; OS high broken 08:35; first=high; AR high broken 03:40; low broken 20:30; first=low; OR high broken 04:15; low broken 06:40; first=high; RR high/low held
02/27/2018,10:45,11:15,ES,Confirmed,Short,RDR,Missed,W,2776.25,2779.25,2747.75,2747.75,2018-02-27 11:15:00-05:00,"IF prior RR session, prior session closed up AND near range low, near weekly cluster; recent sessions: AR true=True break_dir= box=up, OR true=False break_dir= box=up, RR true=True break_dir= box=up; level breaks: AS high broken 10:10; low broken 04:35; first=low, OS high broken 09:35; low broken 10:40; first=high, AR high broken 20:30; low broken 22:10; first=high, OR high broken 09:35; low broken 04:10; first=low, RR low broken 10:40; first=low; probs: confirm_short=0.77, seq_intraday_low_holds=0.44, seq_asia_low_holds=0.50, first_break_true=0.63; seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_low_in_RS=1.00, day_high_in_RR=0.60; seq_intraday holds: high_holds=0.54, low_holds=0.44, hi_pct_pctile=0.38, lo_pct_pctile=0.25; daycycle: daycycle hi_hold_24h=0.65, lo_hold_24h=0.68, cycle_pair_24h=0.03, pair_hi_hold=0.65, pair_lo_hold=0.68, hi_pct_pctile=0.83, lo_pct_pctile=0.26; m7/max: m7_ret_sd=0.30, m7_time=0.90, max_ext_sd=0.43, max_ext_time=0.37, max_ret_sd=0.83, max_ret_time=0.27; THEN SHORT via Missed at 2776.25, stop 2779.25, target 2747.75.",near range low; near weekly cluster,prior RR session; prior session closed up,confirm_short=0.77; seq_intraday_low_holds=0.44; seq_asia_low_holds=0.50; first_break_true=0.63,AR true=True break_dir= box=up; OR true=False break_dir= box=up; RR true=True break_dir= box=up,"seq_asia top: asia_high_holds=0.50, asia_low_holds=0.50; seq_intraday top: day_low_in_RS=1.00, day_high_in_RR=0.60; seq_intraday holds: high_holds=0.54, low_holds=0.44, hi_pct_pctile=0.38, lo_pct_pctile=0.25",daycycle hi_hold_24h=0.65; lo_hold_24h=0.68; cycle_pair_24h=0.03; pair_hi_hold=0.65; pair_lo_hold=0.68; hi_pct_pctile=0.83; lo_pct_pctile=0.26,m7_ret_sd=0.30; m7_time=0.90; max_ext_sd=0.43; max_ext_time=0.37; max_ret_sd=0.83; max_ret_time=0.27,AS high broken 10:10; low broken 04:35; first=low; OS high broken 09:35; low broken 10:40; first=high; AR high broken 20:30; low broken 22:10; first=high; OR high broken 09:35; low broken 04:10; first=low; RR low broken 10:40; first=low
