Date,conf,entry,instrument,conf type,exit time,Unnamed: 6,stopped out,Unnamed: 8,Unnamed: 9,entry.1,stop ,take profit,exit,source,date,entry_time,stop,target,direction,entry_method,conf_type,conf_time,status,entry_ts,entry_date,Conf Time,Entry Time,Instrument,Conf Type,Direction,Session,Entry Method,Status,Entry,Stop,Target,Exit,session_label,Entry Price,Stop Price,Target Price,Exit Price,ts_x,bar_session,bar_session_start,high,low,range_session,session_x,range_session_start,mins_from_range_start,session_y,breakout_ts,ts_y,session,range_p_confirm_long,range_p_confirm_short,range_p_false_session,range_p_m7_ret_sd,range_p_m7_time,range_p_max_ext_sd,range_p_max_ret_sd,first_range_candle_p_session_box_dir_up,first_range_candle_p_session_box_dir_down,first_range_candle_p_first_break_true_range_only,seq_intraday_p_high_holds,seq_intraday_p_low_holds,seq_intraday_hi_pct_percentile,seq_intraday_lo_pct_percentile,seq_asia_p_high_holds,seq_asia_p_low_holds,seq_asia_hi_pct_percentile,seq_asia_lo_pct_percentile,seq_daycycle_p_hi_hold_24h,seq_daycycle_p_lo_hold_24h,modeldb_p_box_up,modeldb_p_box_down,range_p_confirm_dir,seq_intraday_p_hold_dir,seq_asia_p_hold_dir,entry_cluster,target_cluster,stop_cluster,rej_30m_count,rej_30m_perfect,rej_6h_support,rej_6h_resist,rej_24h_support,rej_24h_resist,rej_move_away,rej_retest_count,rej_quality,rej_6h_bias,rej_24h_bias,rej_30m_perfect_any,frontrun_class,risk_pts,target_r_multiple,realized_r_multiple,is_win
2011-01-02,0:00,1256.25,ES,Confirmation,22:30,,No,,,1256.25,1255.5,1261.0,1261.0,2011-2016,2011-01-02,19:35,1255.5,1261.0,Long,Confirmation,Confirmation,0:00,No,2011-01-02 19:35:00-05:00,2011-01-02,,,,,,,,,,,,,,,,,,2011-01-02 19:35:00-05:00,AR,2011-01-02 19:30:00-05:00,1256.5,1256.25,AR,AR,2011-01-02 19:30:00-05:00,5.0,AR,2011-01-02 20:25:00-05:00,2011-01-02 19:35:00-05:00,AR,0.52,0.48,0.5,0.5,0.5,0.5,0.5,0.3971,0.5037,0.7227,0.5,0.5,,,0.5,0.5,,,0.902,0.921,1.0,0.0,0.52,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,6.0,dirty,0.0,0.0,False,m7_first_two,0.75,6.333333333333333,6.333333333333333,True
2011-01-03,0:00,1260.0,ES,Confirmation,11:35,,No,,,1260.0,1258.75,1271.5,1271.5,2011-2016,2011-01-03,7:15,1258.75,1271.5,Long,Confirmation,Confirmation,0:00,No,2011-01-03 07:15:00-05:00,2011-01-03,,,,,,,,,,,,,,,,,,2011-01-03 07:15:00-05:00,OS,2011-01-03 04:00:00-05:00,1260.25,1260.0,OS,OS,2011-01-03 04:00:00-05:00,195.0,OS,2011-01-03 07:30:00-05:00,2011-01-03 07:15:00-05:00,OS,0.78,0.22,0.16,0.5,0.0,0.0,0.5,0.7972,0.1748,0.8321,0.3061224489795918,0.2244897959183673,,,0.9782608695652174,0.981132075471698,0.391,0.438,0.983,0.983,1.0,0.0,0.78,0.3061224489795918,0.9782608695652174,0.0,0.0,0.0,2.0,2.0,14.0,18.0,22.0,22.0,4.25,3.0,dirty,-4.0,0.0,True,frontrun,1.25,9.2,9.2,True
2011-01-03,0:00,1266.75,ES,Confirmation,4:35,,Yes,,,1266.75,1267.75,1261.0,1267.75,2011-2016,2011-01-03,21:50,1267.75,1261.0,Short,Confirmation,Confirmation,0:00,Yes,2011-01-03 21:50:00-05:00,2011-01-03,,,,,,,,,,,,,,,,,,2011-01-03 21:50:00-05:00,AS,2011-01-03 20:30:00-05:00,1267.0,1266.5,AS,AS,2011-01-02 20:30:00-05:00,1520.0,AS,2011-01-03 00:00:00-05:00,2011-01-03 21:50:00-05:00,AS,0.72,0.28,0.26,0.39,0.78,0.39,0.89,0.6575,0.2329,0.7391,0.5,0.5,,,0.9833333333333332,0.981132075471698,,,0.926,0.963,1.0,0.0,0.28,0.5,0.981132075471698,0.0,0.0,0.0,12.0,12.0,14.0,27.0,14.0,27.0,0.5,6.0,dirty,-13.0,-13.0,True,post_breakout,1.0,5.75,-1.0,False
2011-01-04,0:00,1268.25,ES,Confirmation,12:25,,No,,,1268.25,1270.25,1260.0,1260.0,2011-2016,2011-01-04,9:35,1270.25,1260.0,Short,Confirmation,Confirmation,0:00,No,2011-01-04 09:35:00-05:00,2011-01-04,,,,,,,,,,,,,,,,,,2011-01-04 09:35:00-05:00,RR,2011-01-04 09:30:00-05:00,1269.0,1267.75,RR,RR,2011-01-04 09:30:00-05:00,5.0,RR,2011-01-04 10:25:00-05:00,2011-01-04 09:35:00-05:00,RR,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5263,0.4561,0.7368,0.1818181818181818,0.6285714285714286,,,0.5,0.5,0.69,0.966,0.253,0.386,0.0,1.0,0.5,0.6285714285714286,0.5,1.0,0.0,1.0,16.0,8.0,38.0,47.0,38.0,47.0,4.0,1.0,clean,-9.0,-9.0,True,m7_first_two,2.0,4.125,4.125,True
2011-01-04,0:00,1264.75,ES,Confirmation,3:40,,No,,,1264.75,1265.25,1258.25,1258.25,2011-2016,2011-01-04,19:45,1265.25,1258.25,Short,Confirmation,Confirmation,0:00,No,2011-01-04 19:45:00-05:00,2011-01-04,,,,,,,,,,,,,,,,,,2011-01-04 19:45:00-05:00,AR,2011-01-04 19:30:00-05:00,1265.0,1264.5,AR,AR,2011-01-04 19:30:00-05:00,15.0,AR,2011-01-04 20:25:00-05:00,2011-01-04 19:45:00-05:00,AR,0.58,0.42,0.5,0.5,0.5,0.5,0.5,0.465,0.4568,0.7186,0.5,0.5,,,0.5,0.5,0.667,0.667,0.921,0.895,0.0,0.0,0.42,0.5,0.5,1.0,1.0,1.0,0.0,0.0,36.0,54.0,143.0,133.0,0.5,6.0,dirty,-18.0,10.0,False,frontrun,0.5,13.0,13.0,True
2011-01-05,0:00,1264.25,ES,Confirmation,11:25,,No,,,1264.25,1263.25,1270.0,1270.0,2011-2016,2011-01-05,10:35,1263.25,1270.0,Long,Confirmation,Confirmation,0:00,No,2011-01-05 10:35:00-05:00,2011-01-05,,,,,,,,,,,,,,,,,,2011-01-05 10:35:00-05:00,RS,2011-01-05 10:30:00-05:00,1265.0,1264.0,RS,RS,2011-01-05 10:30:00-05:00,5.0,RS,2011-01-05 10:50:00-05:00,2011-01-05 10:35:00-05:00,RS,0.89,0.11,0.3,0.5,0.0,0.0,0.5,0.8362,0.1638,0.8276,0.265625,0.7109375,,,0.5,0.5,0.606,0.152,0.62,0.58,1.0,0.0,0.89,0.265625,0.5,1.0,1.0,1.0,52.0,26.0,52.0,48.0,110.0,121.0,3.25,3.0,dirty,4.0,-11.0,True,m7_first_two,1.0,5.75,5.75,True
2011-01-06,0:00,1271.25,ES,Confirmation,7:30,,No,,,1271.25,1270.25,1276.75,1271.25,2011-2016,2011-01-06,3:00,1270.25,1276.75,Long,Confirmation,Confirmation,0:00,No,2011-01-06 03:00:00-05:00,2011-01-06,,,,,,,,,,,,,,,,,,2011-01-06 03:00:00-05:00,OR,2011-01-06 03:00:00-05:00,1272.0,1271.0,OR,OR,2011-01-06 03:00:00-05:00,0.0,,,2011-01-06 03:00:00-05:00,OR,0.52,0.48,0.5,0.5,0.5,0.5,0.5,0.3077,0.5385,0.8182,0.5,0.5,,,0.95125,0.9906542056074766,0.024,1.0,0.981,0.981,1.0,0.0,0.52,0.5,0.95125,1.0,0.0,1.0,33.0,27.0,138.0,122.0,153.0,124.0,2.25,4.0,dirty,16.0,29.0,True,m7_first_two,1.0,5.5,0.0,False
2011-01-06,0:00,1274.25,ES,Confirmation,11:05,,No,,,1274.25,1275.25,1267.75,1274.25,2011-2016,2011-01-06,10:40,1275.25,1267.75,Short,Confirmation,Confirmation,0:00,No,2011-01-06 10:40:00-05:00,2011-01-06,,,,,,,,,,,,,,,,,,2011-01-06 10:40:00-05:00,RS,2011-01-06 10:30:00-05:00,1274.5,1273.25,RS,RS,2011-01-06 10:30:00-05:00,10.0,RS,2011-01-06 10:35:00-05:00,2011-01-06 10:40:00-05:00,RS,0.72,0.28,0.29,0.58,0.0,0.18,0.87,0.2308,0.7692,0.7692,0.4444444444444444,0.5111111111111111,,,0.5,0.5,0.523,0.923,0.556,0.741,1.0,0.0,0.28,0.5111111111111111,0.5,1.0,1.0,0.0,3.0,2.0,17.0,13.0,17.0,16.0,8.0,1.0,clean,4.0,1.0,True,post_breakout,1.0,6.5,-0.0,False
2011-01-07,0:00,1270.25,ES,Confirmation,6:50,,BE,,,1270.25,1271.5,1264.25,1270.25,2011-2016,2011-01-07,3:05,1271.5,1264.25,Short,Confirmation,Confirmation,0:00,BE,2011-01-07 03:05:00-05:00,2011-01-07,,,,,,,,,,,,,,,,,,2011-01-07 03:05:00-05:00,OR,2011-01-07 03:00:00-05:00,1271.0,1270.25,OR,OR,2011-01-07 03:00:00-05:00,5.0,,,2011-01-07 03:05:00-05:00,OR,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7852,0.2074,0.8125,0.5,0.5,,,0.9910714285714286,0.9906542056074766,0.569,0.969,0.963,0.963,1.0,0.0,0.5,0.5,0.9906542056074766,1.0,1.0,1.0,35.0,26.0,116.0,164.0,163.0,237.0,3.5,3.0,dirty,-48.0,-74.0,True,m7_first_two,1.25,4.8,-0.0,False
2011-01-07,0:00,1272.25,ES,Confirmation,11:20,,No,,,1272.25,1273.5,1264.5,1272.25,2011-2016,2011-01-07,10:35,1273.5,1264.5,Short,Confirmation,Confirmation,0:00,No,2011-01-07 10:35:00-05:00,2011-01-07,,,,,,,,,,,,,,,,,,2011-01-07 10:35:00-05:00,RS,2011-01-07 10:30:00-05:00,1272.5,1271.0,RS,RS,2011-01-07 10:30:00-05:00,5.0,RS,2011-01-07 10:50:00-05:00,2011-01-07 10:35:00-05:00,RS,0.86,0.14,0.17,0.5,0.0,0.0,0.5,0.7368,0.2632,0.4211,0.4429347826086957,0.4201086956521739,,,0.5,0.5,0.462,0.538,0.645,0.553,0.0,1.0,0.14,0.4201086956521739,0.5,1.0,1.0,1.0,20.0,11.0,20.0,46.0,27.0,78.0,7.0,1.0,clean,-26.0,-51.0,True,m7_first_two,1.25,6.2,-0.0,False
