entry_method,trades,win_rate,avg_r,pct_entry_cluster,pct_perfect_rej,avg_range_p_confirm
Mode,139,0.4028776978417266,2.1063325077180353,0.33093525179856115,0.4244604316546763,0.7097122302158274
Frontrun,130,0.4307692307692308,2.4145544273937305,0.3923076923076923,0.5153846153846153,0.6582307692307692
Confirmation,109,0.6513761467889908,3.834497332433112,0.5412844036697247,0.8807339449541285,0.4922935779816514
Advanced,84,0.4523809523809524,3.262068305090613,0.32142857142857145,0.5833333333333334,0.5076190476190476
M7 Candle,12,0.5833333333333334,4.319913985330975,0.16666666666666666,0.3333333333333333,0.6133333333333334
Retired,8,0.75,4.334469930213465,0.625,0.5,0.7375
Median,4,0.25,0.7250000000000001,0.25,0.5,0.7375
Missed,4,1.0,10.497321428571428,0.75,0.5,0.69
Goldfish,2,0.5,1.7142857142857144,0.0,0.5,0.815
WDR R...,1,1.0,8.741935483870968,0.0,1.0,0.33
