source,bar_session,trades
2011-2016,RS,25
2011-2016,AS,19
2011-2016,RR,18
2011-2016,OS,16
2011-2016,OR,14
2011-2016,TR,7
2011-2016,AR,6
2011-2016,TO,3
2011-2016,TA,0
2011-2016,TOUT,0
2018,RS,25
2018,RR,22
2018,OS,1
2018,TR,1
2018,AR,0
2018,AS,0
2018,OR,0
2018,TA,0
2018,TO,0
2018,TOUT,0
2018_set2,RS,169
2018_set2,RR,8
2018_set2,OS,5
2018_set2,TR,2
2018_set2,AR,0
2018_set2,AS,0
2018_set2,OR,0
2018_set2,TA,0
2018_set2,TO,0
2018_set2,TOUT,0
2022,RS,57
2022,RR,41
2022,OS,39
2022,TR,12
2022,OR,2
2022,AR,0
2022,AS,0
2022,TA,0
2022,TO,0
2022,TOUT,0
