source,timing_class,trades,win_rate,avg_r,med_r,avg_stop,med_stop,avg_mins
2011-2016,after_confirm,38,0.631578947368421,3.9984649122807014,5.325,1.0986842105263157,1.0,574.3421052631579
2011-2016,frontrun_window,18,0.7222222222222222,4.2043430335097,4.755952380952381,1.6805555555555556,1.25,50.0
2011-2016,m7,25,0.64,3.706095238095238,4.125,1.31,1.25,4.4
2011-2016,other,27,0.6666666666666666,3.6180735930735928,4.285714285714286,1.287037037037037,1.25,27.77777777777778
2011-2016,unknown,1,0.0,0.0,-0.0,0.75,0.75,
2018,after_confirm,27,0.6666666666666666,4.302887144261413,5.9,2.361111111111111,2.25,94.07407407407408
2018,frontrun_window,4,0.25,0.7954545454545454,-1.0,2.375,2.375,41.25
2018,m7,10,0.5,3.4052255639097746,0.7142857142857143,2.425,1.875,5.0
2018,other,8,0.0,-0.75,-1.0,2.75,2.625,53.75
2018_set2,after_confirm,168,0.48214285714285715,2.7171422703287753,0.0,3.4613095238095237,2.0,89.19642857142857
2018_set2,m7,6,0.8333333333333334,6.781419234360411,7.7,2.1666666666666665,1.75,4.166666666666667
2018_set2,other,10,0.3,1.9945454545454546,0.0,1.65,1.375,149.0
2022,after_confirm,64,0.359375,2.013456413922245,0.0,6.6953125,6.25,88.359375
2022,frontrun_window,15,0.13333333333333333,0.49671957671957667,-1.0,5.05,5.25,53.666666666666664
2022,m7,22,0.5454545454545454,4.311908985622221,4.4714285714285715,6.818181818181818,7.0,5.454545454545454
2022,other,50,0.4,2.571213034913587,0.0,5.355,5.125,184.2
