Date,conf,entry,instrument,conf type,exit time,Unnamed: 6,stopped out,Unnamed: 8,Unnamed: 9,entry.1,stop ,take profit,exit,source,date,entry_time,stop,target,direction,entry_method,conf_type,conf_time,status,entry_ts,entry_date,Conf Time,Entry Time,Instrument,Conf Type,Direction,Session,Entry Method,Status,Entry,Stop,Target,Exit,session_label,Entry Price,Stop Price,Target Price,Exit Price,ts,bar_session,session_start,range_session,session_x,range_session_start,mins_from_range_start,session_y,confirm_ts,pre_breakout,timing_class,risk_pts,target_r,target_r_multiple,realized_r_multiple,is_win
2011-01-02,0:00,1256.25,ES,Confirmation,22:30,,No,,,1256.25,1255.5,1261.0,1261.0,2011-2016,2011-01-02,19:35,1255.5,1261.0,Long,Confirmation,Confirmation,0:00,No,2011-01-02 19:35:00-05:00,2011-01-02,,,,,,,,,,,,,,,,,,2011-01-02 19:35:00-05:00,AR,2011-01-02 19:30:00-05:00,AR,AR,2011-01-02 19:30:00-05:00,5.0,AR,2011-01-02 20:25:00-05:00,True,m7,0.75,4.75,6.333333333333333,6.333333333333333,True
2011-01-03,0:00,1260.0,ES,Confirmation,11:35,,No,,,1260.0,1258.75,1271.5,1271.5,2011-2016,2011-01-03,7:15,1258.75,1271.5,Long,Confirmation,Confirmation,0:00,No,2011-01-03 07:15:00-05:00,2011-01-03,,,,,,,,,,,,,,,,,,2011-01-03 07:15:00-05:00,OS,2011-01-03 04:00:00-05:00,OS,OS,2011-01-03 04:00:00-05:00,195.0,OS,2011-01-03 07:30:00-05:00,True,other,1.25,11.5,9.2,9.2,True
2011-01-03,0:00,1266.75,ES,Confirmation,4:35,,Yes,,,1266.75,1267.75,1261.0,1267.75,2011-2016,2011-01-03,21:50,1267.75,1261.0,Short,Confirmation,Confirmation,0:00,Yes,2011-01-03 21:50:00-05:00,2011-01-03,,,,,,,,,,,,,,,,,,2011-01-03 21:50:00-05:00,AS,2011-01-03 20:30:00-05:00,AS,AS,2011-01-02 20:30:00-05:00,1520.0,AS,2011-01-03 00:00:00-05:00,False,after_confirm,1.0,5.75,5.75,-1.0,False
2011-01-04,0:00,1268.25,ES,Confirmation,12:25,,No,,,1268.25,1270.25,1260.0,1260.0,2011-2016,2011-01-04,9:35,1270.25,1260.0,Short,Confirmation,Confirmation,0:00,No,2011-01-04 09:35:00-05:00,2011-01-04,,,,,,,,,,,,,,,,,,2011-01-04 09:35:00-05:00,RR,2011-01-04 09:30:00-05:00,RR,RR,2011-01-04 09:30:00-05:00,5.0,RR,2011-01-04 10:25:00-05:00,True,m7,2.0,8.25,4.125,4.125,True
2011-01-04,0:00,1264.75,ES,Confirmation,3:40,,No,,,1264.75,1265.25,1258.25,1258.25,2011-2016,2011-01-04,19:45,1265.25,1258.25,Short,Confirmation,Confirmation,0:00,No,2011-01-04 19:45:00-05:00,2011-01-04,,,,,,,,,,,,,,,,,,2011-01-04 19:45:00-05:00,AR,2011-01-04 19:30:00-05:00,AR,AR,2011-01-04 19:30:00-05:00,15.0,AR,2011-01-04 20:25:00-05:00,True,other,0.5,6.5,13.0,13.0,True
2011-01-05,0:00,1264.25,ES,Confirmation,11:25,,No,,,1264.25,1263.25,1270.0,1270.0,2011-2016,2011-01-05,10:35,1263.25,1270.0,Long,Confirmation,Confirmation,0:00,No,2011-01-05 10:35:00-05:00,2011-01-05,,,,,,,,,,,,,,,,,,2011-01-05 10:35:00-05:00,RS,2011-01-05 10:30:00-05:00,RS,RS,2011-01-05 10:30:00-05:00,5.0,RS,2011-01-05 10:50:00-05:00,True,m7,1.0,5.75,5.75,5.75,True
2011-01-06,0:00,1271.25,ES,Confirmation,7:30,,No,,,1271.25,1270.25,1276.75,1271.25,2011-2016,2011-01-06,3:00,1270.25,1276.75,Long,Confirmation,Confirmation,0:00,No,2011-01-06 03:00:00-05:00,2011-01-06,,,,,,,,,,,,,,,,,,2011-01-06 03:00:00-05:00,OR,2011-01-06 03:00:00-05:00,OR,OR,2011-01-06 03:00:00-05:00,0.0,,,False,m7,1.0,5.5,5.5,0.0,False
2011-01-06,0:00,1274.25,ES,Confirmation,11:05,,No,,,1274.25,1275.25,1267.75,1274.25,2011-2016,2011-01-06,10:40,1275.25,1267.75,Short,Confirmation,Confirmation,0:00,No,2011-01-06 10:40:00-05:00,2011-01-06,,,,,,,,,,,,,,,,,,2011-01-06 10:40:00-05:00,RS,2011-01-06 10:30:00-05:00,RS,RS,2011-01-06 10:30:00-05:00,10.0,RS,2011-01-06 10:35:00-05:00,False,m7,1.0,6.5,6.5,-0.0,False
2011-01-07,0:00,1270.25,ES,Confirmation,6:50,,BE,,,1270.25,1271.5,1264.25,1270.25,2011-2016,2011-01-07,3:05,1271.5,1264.25,Short,Confirmation,Confirmation,0:00,BE,2011-01-07 03:05:00-05:00,2011-01-07,,,,,,,,,,,,,,,,,,2011-01-07 03:05:00-05:00,OR,2011-01-07 03:00:00-05:00,OR,OR,2011-01-07 03:00:00-05:00,5.0,,,False,m7,1.25,6.0,4.8,-0.0,False
2011-01-07,0:00,1272.25,ES,Confirmation,11:20,,No,,,1272.25,1273.5,1264.5,1272.25,2011-2016,2011-01-07,10:35,1273.5,1264.5,Short,Confirmation,Confirmation,0:00,No,2011-01-07 10:35:00-05:00,2011-01-07,,,,,,,,,,,,,,,,,,2011-01-07 10:35:00-05:00,RS,2011-01-07 10:30:00-05:00,RS,RS,2011-01-07 10:30:00-05:00,5.0,RS,2011-01-07 10:50:00-05:00,True,m7,1.25,7.75,6.2,-0.0,False
2011-01-10,0:00,1263.5,ES,Confirmation,8:25,,No,,,1263.5,1264.75,1257.75,1262.25,2011-2016,2011-01-10,3:15,1264.75,1257.75,Short,Confirmation,Confirmation,0:00,No,2011-01-10 03:15:00-05:00,2011-01-10,,,,,,,,,,,,,,,,,,2011-01-10 03:15:00-05:00,OR,2011-01-10 03:00:00-05:00,OR,OR,2011-01-10 03:00:00-05:00,15.0,,,False,other,1.25,5.75,4.6,1.0,True
2011-01-10,0:00,1260.75,ES,Confirmation,9:55,,Yes,,,1260.75,1258.75,1274.0,1258.75,2011-2016,2011-01-10,9:30,1258.75,1274.0,Long,Confirmation,Confirmation,0:00,Yes,2011-01-10 09:30:00-05:00,2011-01-10,,,,,,,,,,,,,,,,,,2011-01-10 09:30:00-05:00,RR,2011-01-10 09:30:00-05:00,RR,RR,2011-01-10 09:30:00-05:00,0.0,RR,2011-01-10 10:25:00-05:00,True,m7,2.0,13.25,6.625,-1.0,False
2011-01-10,0:00,1264.25,ES,Confirmation,7:05,,No,,,1264.25,1263.25,1272.0,1272.0,2011-2016,2011-01-10,20:40,1263.25,1272.0,Long,Confirmation,Confirmation,0:00,No,2011-01-10 20:40:00-05:00,2011-01-10,,,,,,,,,,,,,,,,,,2011-01-10 20:40:00-05:00,AS,2011-01-10 20:30:00-05:00,AS,AS,2011-01-09 20:30:00-05:00,1450.0,AS,2011-01-10 00:00:00-05:00,False,after_confirm,1.0,7.75,7.75,7.75,True
2011-01-11,0:00,1266.0,ES,Confirmation,7:05,,No,,,1266.0,1265.0,1272.0,1272.0,2011-2016,2011-01-11,5:05,1265.0,1272.0,Long,Confirmation,Confirmation,0:00,No,2011-01-11 05:05:00-05:00,2011-01-11,,,,,,,,,,,,,,,,,,2011-01-11 05:05:00-05:00,OS,2011-01-11 04:00:00-05:00,OS,OS,2011-01-11 04:00:00-05:00,65.0,OS,2011-01-11 04:30:00-05:00,False,after_confirm,1.0,6.0,6.0,6.0,True
2011-01-12,0:00,1279.0,ES,Confirmation,11:15,,No,,,1279.0,1278.0,1282.75,1282.75,2011-2016,2011-01-12,10:40,1278.0,1282.75,Long,Confirmation,Confirmation,0:00,No,2011-01-12 10:40:00-05:00,2011-01-12,,,,,,,,,,,,,,,,,,2011-01-12 10:40:00-05:00,RS,2011-01-12 10:30:00-05:00,RS,RS,2011-01-12 10:30:00-05:00,10.0,RS,2011-01-12 10:55:00-05:00,True,m7,1.0,3.75,3.75,3.75,True
