session_id,day_date,session,end,action,pred_mu,pred_sigma,pred_R_mu,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20121221-AR,2012-12-21,AR,2012-12-23 20:25:00-05:00,breakout_long,1.3046600818634033,0.0,0.12781818644837692,1.3046600818634033,1.3046600818634033,-2.0,1.0,1,-2.0,10.207155320501501,-0.195940978382382,-0.195940978382382,0.39188195676476395,-39.1881956764764,-39.1881956764764,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121226-AR,2012-12-26,AR,2012-12-26 20:25:00-05:00,breakout_short,2.23606538772583,0.0,0.219142292647988,2.23606538772583,2.23606538772583,-1.0,1.0,1,-3.0,10.203714493932305,-0.09800352612714278,-0.2939445045095248,0.3920141045085711,-19.600705225428555,-58.78890090190495,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121227-AR,2012-12-27,AR,2012-12-27 20:25:00-05:00,breakout_long,1.3588075637817383,0.0,0.13309940557324795,1.3588075637817383,1.3588075637817383,0.0,0.0,-1,-3.0,10.208967935878213,,-0.2939445045095248,,,-58.78890090190495,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130102-AR,2013-01-02,AR,2013-01-02 20:25:00-05:00,breakout_short,1.243863821029663,0.0,0.1220308204214151,1.243863821029663,1.243863821029663,0.25,1.0,1,-2.75,10.193030061866063,0.024526563591261683,-0.2694179409182631,0.39242501746018693,4.905312718252337,-53.88358818365261,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130110-AR,2013-01-10,AR,2013-01-10 20:25:00-05:00,breakout_short,1.8790936470031738,0.0,0.1837559110070005,1.8790936470031738,1.8790936470031738,0.5,1.0,1,-2.25,10.226031025100392,0.04889482525260492,-0.2205231156656582,0.39115860202083935,9.778965050520984,-44.104623133131625,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130114-AR,2013-01-14,AR,2013-01-14 20:25:00-05:00,breakout_short,1.014312505722046,0.0,0.09922180911583939,1.014312505722046,1.014312505722046,1.25,1.0,1,-1.0,10.222676997734009,0.12227716871784944,-0.09824594694780875,0.3912869398971182,24.455433743569888,-19.649189389561737,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130115-AR,2013-01-15,AR,2013-01-15 20:25:00-05:00,breakout_short,1.1308430433273315,0.0,0.11069073528657902,1.1308430433273315,1.1308430433273315,2.0,1.0,1,1.0,10.216239330234565,0.19576675284819114,0.0975208059003824,0.3915335056963823,39.15335056963823,19.50416118007649,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130116-AR,2013-01-16,AR,2013-01-16 20:25:00-05:00,breakout_short,0.8102617263793945,0.0,0.07925123003450629,0.8102617263793945,0.8102617263793945,-0.75,1.0,1,0.25,10.223964044805404,-0.07335706548978528,0.024163740410597115,0.3912376826121881,-14.671413097957053,4.832748082119437,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130122-AR,2013-01-22,AR,2013-01-22 20:25:00-05:00,breakout_short,0.8056889176368713,0.0,0.07841229020023151,0.8056889176368713,0.8056889176368713,2.0,1.0,1,2.25,10.27503361500456,0.19464656515375423,0.21881030556435133,0.3892931303075085,38.92931303075085,43.762061112870285,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130123-AR,2013-01-23,AR,2013-01-23 20:25:00-05:00,breakout_short,1.3376247882843018,0.0,0.12997616942003476,1.3376247882843018,1.3376247882843018,-3.25,1.0,1,-1.0,10.291307970167937,-0.3158004803102754,-0.09699017474592408,0.3886775142280313,-63.16009606205509,-19.398034949184805,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20141017-RR,2014-10-17,RR,2014-10-17 10:25:00-04:00,breakout_long,0.8876699209213257,0.0,0.12410448953005163,0.8876699209213257,0.8876699209213257,-7.402601201476955,1.0,0,-8.402601201476955,7.152601201476909,-1.034952319157459,-1.131942493903383,0.559237106519242,-206.9904638314918,-226.38849878067663,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141020-RR,2014-10-20,RR,2014-10-20 10:25:00-04:00,breakout_long,2.6212003231048584,0.0,0.3793927974332608,2.6212003231048584,2.6212003231048584,8.5,1.0,1,0.09739879852304512,6.908935385274295,1.2302908517739073,0.0983483578705242,0.57896040083478,246.05817035478148,19.669671574104854,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141021-RR,2014-10-21,RR,2014-10-21 10:25:00-04:00,breakout_long,2.7077043056488037,0.0,0.40059513000984565,2.7077043056488037,2.7077043056488037,16.648010627227677,1.0,2,16.745409425750722,6.759204250891056,2.463013397624875,2.5613617554953994,0.5917856380020896,492.6026795249749,512.2723510990797,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141022-RR,2014-10-22,RR,2014-10-22 10:25:00-04:00,breakout_long,0.8173167705535889,0.0,0.1213966026398859,0.8173167705535889,0.8173167705535889,-6.982616504747739,1.0,0,9.762792921002983,6.732616504747657,-1.037132666003446,1.5242290894919535,0.5941226560549393,-207.42653320068916,304.8458178983906,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141027-RR,2014-10-27,RR,2014-10-27 10:25:00-04:00,breakout_long,4.385568141937256,0.0,0.6617989728636328,4.385568141937256,4.385568141937256,2.5,1.0,1,12.262792921002983,6.626737607283845,0.37725954280309815,1.9014886322950515,0.6036152684849571,75.45190856061963,380.2977264590102,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141028-RR,2014-10-28,RR,2014-10-28 10:25:00-04:00,breakout_long,3.489151954650879,0.0,0.5168181273703173,3.489151954650879,3.489151954650879,10.0,1.0,1,22.262792921002983,6.75121821365756,1.4812141577308564,3.382702790025908,0.5924856630923426,296.2428315461713,676.5405580051815,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141029-RR,2014-10-29,RR,2014-10-29 10:25:00-04:00,breakout_long,1.857107162475586,0.0,0.2659934251639583,1.857107162475586,1.857107162475586,0.0,0.0,-1,22.262792921002983,6.981778445579493,,3.382702790025908,,,676.5405580051815,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141030-RR,2014-10-30,RR,2014-10-30 10:25:00-04:00,breakout_long,1.6353033781051636,0.0,0.2298277217803634,1.6353033781051636,1.6353033781051636,10.75,1.0,1,33.01279292100298,7.115344334605351,1.510819363683858,4.893522153709766,0.5621653446265518,302.16387273677157,978.704430741953,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141104-RR,2014-11-04,RR,2014-11-04 10:25:00-05:00,breakout_long,5.1850786209106445,0.0,0.7415773069436901,5.1850786209106445,5.1850786209106445,0.0,0.0,-1,33.01279292100298,6.991959668075929,,4.893522153709766,,,978.704430741953,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141105-RR,2014-11-05,RR,2014-11-05 10:25:00-05:00,breakout_long,1.1902204751968384,0.0,0.16873829087643277,1.1902204751968384,1.1902204751968384,0.0,0.0,-1,33.01279292100298,7.053647805810941,,4.893522153709766,,,978.704430741953,2010-10-01,2014-09-30,2014-10-01,2014-12-31
