session_id,day_date,session,end,action,pred_mu,pred_sigma,pred_R_mu,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20121221-AR,2012-12-21,AR,2012-12-23 20:25:00-05:00,breakout_long,0.2148611694574356,1.054719995068711,0.2148611694574356,-0.31249882807691987,0.2148611694574356,-2.0,1.0,1,-2.0,10.207155320501501,-0.195940978382382,-0.195940978382382,,-100.0,,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121226-AR,2012-12-26,AR,2012-12-26 20:25:00-05:00,breakout_short,0.5073878765106201,0.9068975437130622,0.5073878765106201,0.05393910465408902,0.5073878765106201,-1.0,1.0,1,-3.0,10.203714493932305,-0.09800352612714278,-0.2939445045095248,,-50.0,,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20121227-AR,2012-12-27,AR,2012-12-27 20:25:00-05:00,breakout_long,0.38832470774650574,0.8668770105384004,0.38832470774650574,-0.045113797522694454,0.38832470774650574,0.0,0.0,-1,-3.0,10.208967935878213,,-0.2939445045095248,,,,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130109-AR,2013-01-09,AR,2013-01-09 20:25:00-05:00,breakout_long,0.33800196647644043,0.757698404433952,0.33800196647644043,-0.04084723574053556,0.33800196647644043,3.5,1.0,1,0.5,10.21705230948422,0.34256455717184126,0.04862005266231645,,175.0,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130110-AR,2013-01-10,AR,2013-01-10 20:25:00-05:00,breakout_long,0.6815071702003479,0.9734918765927707,0.6815071702003479,0.19476123190396255,0.6815071702003479,0.0,0.0,-1,0.5,10.226031025100392,,0.04862005266231645,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130116-AR,2013-01-16,AR,2013-01-16 20:25:00-05:00,breakout_short,0.5009378790855408,0.5670657297784717,0.5009378790855408,0.21740501419630492,0.5009378790855408,-0.75,1.0,1,-0.25,10.223964044805404,-0.07335706548978528,-0.024737012827468832,,-37.5,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130118-AR,2013-01-18,AR,2013-01-20 20:25:00-05:00,breakout_short,0.18781711161136627,0.3270559037708101,0.18781711161136627,0.024289159725961212,0.18781711161136627,-0.5,1.0,1,-0.75,10.24318611771285,-0.04881293713245957,-0.0735499499599284,,-25.0,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130122-AR,2013-01-22,AR,2013-01-22 20:25:00-05:00,breakout_long,0.43735918402671814,0.7594605448697563,0.43735918402671814,0.05762891159183997,0.43735918402671814,0.0,0.0,-1,-0.75,10.27503361500456,,-0.0735499499599284,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20141104-RR,2014-11-04,RR,2014-11-04 10:25:00-05:00,breakout_long,0.6217955350875854,1.0283495254931716,0.6217955350875854,0.10762077234099965,0.6217955350875854,0.0,0.0,-1,-0.75,6.991959668075929,,-0.0735499499599284,,,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141105-RR,2014-11-05,RR,2014-11-05 10:25:00-05:00,breakout_long,0.5514764189720154,0.7872421114863414,0.5514764189720154,0.1578553632288447,0.5514764189720154,0.0,0.0,-1,-0.75,7.053647805810941,,-0.0735499499599284,,,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141106-RR,2014-11-06,RR,2014-11-06 10:25:00-05:00,breakout_long,0.3958456218242645,0.8848721269587038,0.3958456218242645,-0.046590441655087356,0.3958456218242645,4.75,1.0,1,4.0,7.039783564256745,0.6747366530012775,0.6011867030413491,,237.5,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141107-RR,2014-11-07,RR,2014-11-07 10:25:00-05:00,breakout_long,0.2753077447414398,1.0446380514982214,0.2753077447414398,-0.2470112810076709,0.2753077447414398,0.75,1.0,1,4.75,7.048982756024964,0.1063983309306515,0.7075850339720007,,37.5,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141110-RR,2014-11-10,RR,2014-11-10 10:25:00-05:00,breakout_long,0.4308631718158722,0.7777629852780445,0.4308631718158722,0.04198167917684992,0.4308631718158722,4.0,1.0,1,8.75,6.873576407633753,0.5819386826860066,1.2895237166580071,,200.0,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141112-RR,2014-11-12,RR,2014-11-12 10:25:00-05:00,breakout_long,0.49562308192253113,0.7921767390195564,0.49562308192253113,0.09953471241275291,0.49562308192253113,0.25,1.0,1,9.0,7.01286411945184,0.0356487728468267,1.3251724895048338,,12.5,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141113-RR,2014-11-13,RR,2014-11-13 10:25:00-05:00,breakout_long,0.6051638126373291,0.8947952747087192,0.6051638126373291,0.1577661752829695,0.6051638126373291,-5.750762506952469,1.0,0,3.2492374930475307,5.500762506952553,-1.0454482446177116,0.2797242448871222,,-287.53812534762346,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20150116-RR,2015-01-16,RR,2015-01-16 10:25:00-05:00,breakout_long,0.20919150114059448,0.8669739881351143,0.20919150114059448,-0.22429549292696266,0.20919150114059448,16.011730330910723,1.0,2,19.260967823958254,6.5046921323643305,2.4615662056077614,2.7412904504948834,,800.5865165455361,,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150120-RR,2015-01-20,RR,2015-01-20 10:25:00-05:00,breakout_long,0.2263956069946289,0.7758033096235014,0.2263956069946289,-0.1615060478171218,0.2263956069946289,0.0,0.0,-1,19.260967823958254,6.697112496402758,,2.7412904504948834,,,,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150121-RR,2015-01-21,RR,2015-01-21 10:25:00-05:00,breakout_long,0.20179148018360138,1.0604849388063844,0.20179148018360138,-0.3284509892195908,0.20179148018360138,-7.198778764343388,1.0,0,12.062189059614866,6.948778764343402,-1.0359775449008137,1.7053129055940697,,-359.9389382171694,,2011-01-01,2014-12-31,2015-01-01,2015-03-31
ES-20150122-RR,2015-01-22,RR,2015-01-22 10:25:00-05:00,breakout_long,0.19669267535209656,0.8153075349421888,0.19669267535209656,-0.21096109211899783,0.19669267535209656,17.137916440962726,1.0,2,29.200105500577592,6.955166576385037,2.4640554978440496,4.169368403438119,,856.8958220481363,,2011-01-01,2014-12-31,2015-01-01,2015-03-31
