min_planned_r,quality,archetypes,trades,months,trades_per_month,median_trades_per_month,win_rate,stop_rate,timeout_rate,total_r,avg_r
2.0,all,all,97.0,7.0,13.857142857142858,12.0,0.1134020618556701,0.6597938144329897,0.2268041237113402,14.388695813728232,0.14833707024462095
2.0,all,range_start,10.0,6.0,1.6666666666666667,1.0,0.1,0.7,0.2,5.808352365826168,0.5808352365826168
2.0,all,after_formed,53.0,7.0,7.571428571428571,8.0,0.16981132075471697,0.6037735849056604,0.22641509433962265,5.534116283764936,0.10441728837292333
2.0,all,post_breakout,34.0,7.0,4.857142857142857,4.0,0.029411764705882353,0.7352941176470589,0.23529411764705882,3.046227164137129,0.0895949165922685
2.0,all,range+post,44.0,7.0,6.285714285714286,5.0,0.045454545454545456,0.7272727272727273,0.22727272727272727,8.854579529963296,0.20124044386280218
2.0,all,range+after,63.0,7.0,9.0,8.0,0.15873015873015872,0.6190476190476191,0.2222222222222222,11.342468649591105,0.18003918491414453
2.0,all,post+after,87.0,7.0,12.428571428571429,11.0,0.11494252873563218,0.6551724137931034,0.22988505747126436,8.580343447902065,0.09862463733220764
2.0,all,range+post+after,97.0,7.0,13.857142857142858,12.0,0.1134020618556701,0.6597938144329897,0.2268041237113402,14.388695813728232,0.14833707024462095
2.0,clean_mixed,all,33.0,7.0,4.714285714285714,4.0,0.24242424242424243,0.48484848484848486,0.2727272727272727,31.594882830743547,0.9574206918407135
2.0,clean_mixed,range_start,6.0,4.0,1.5,1.0,0.0,0.8333333333333334,0.16666666666666666,-1.7857142857142856,-0.2976190476190476
2.0,clean_mixed,after_formed,20.0,6.0,3.3333333333333335,4.0,0.35,0.4,0.25,12.764096910250721,0.6382048455125361
2.0,clean_mixed,post_breakout,7.0,5.0,1.4,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,20.61650020620711,2.945214315172444
2.0,clean_mixed,range+post,13.0,6.0,2.1666666666666665,2.0,0.07692307692307693,0.6153846153846154,0.3076923076923077,18.830785920492826,1.4485219938840634
2.0,clean_mixed,range+after,26.0,7.0,3.7142857142857144,4.0,0.2692307692307692,0.5,0.23076923076923078,10.978382624536437,0.4222454855590937
2.0,clean_mixed,post+after,27.0,7.0,3.857142857142857,4.0,0.2962962962962963,0.4074074074074074,0.2962962962962963,33.380597116457835,1.2363184117206605
2.0,clean_mixed,range+post+after,33.0,7.0,4.714285714285714,4.0,0.24242424242424243,0.48484848484848486,0.2727272727272727,31.594882830743547,0.9574206918407135
2.0,clean_only,all,22.0,7.0,3.142857142857143,3.0,0.36363636363636365,0.4090909090909091,0.22727272727272727,18.215445601306318,0.8279748000593781
2.0,clean_only,range_start,2.0,2.0,1.0,1.0,0.0,0.5,0.5,2.2142857142857144,1.1071428571428572
2.0,clean_only,after_formed,15.0,6.0,2.5,2.5,0.4666666666666667,0.3333333333333333,0.2,14.18227872843254,0.9454852485621693
2.0,clean_only,post_breakout,5.0,5.0,1.0,1.0,0.2,0.6,0.2,1.818881158588061,0.3637762317176122
2.0,clean_only,range+post,7.0,5.0,1.4,1.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,4.0331668728737755,0.5761666961248251
2.0,clean_only,range+after,17.0,7.0,2.4285714285714284,3.0,0.4117647058823529,0.35294117647058826,0.23529411764705882,16.396564442718255,0.9645037907481326
2.0,clean_only,post+after,20.0,7.0,2.857142857142857,3.0,0.4,0.4,0.2,16.001159887020602,0.8000579943510301
2.0,clean_only,range+post+after,22.0,7.0,3.142857142857143,3.0,0.36363636363636365,0.4090909090909091,0.22727272727272727,18.215445601306318,0.8279748000593781
2.5,all,all,69.0,7.0,9.857142857142858,9.0,0.057971014492753624,0.7246376811594203,0.21739130434782608,6.724247827669913,0.0974528670676799
2.5,all,range_start,10.0,6.0,1.6666666666666667,1.0,0.1,0.7,0.2,5.808352365826168,0.5808352365826168
2.5,all,after_formed,33.0,7.0,4.714285714285714,4.0,0.06060606060606061,0.696969696969697,0.24242424242424243,-5.392543436302051,-0.1634104071606682
2.5,all,post_breakout,26.0,7.0,3.7142857142857144,4.0,0.038461538461538464,0.7692307692307693,0.19230769230769232,6.3084388981458,0.2426322653133
2.5,all,range+post,36.0,7.0,5.142857142857143,5.0,0.05555555555555555,0.75,0.19444444444444445,12.11679126397197,0.3365775351103325
2.5,all,range+after,43.0,7.0,6.142857142857143,5.0,0.06976744186046512,0.6976744186046512,0.23255813953488372,0.4158089295241165,0.009669975105212012
2.5,all,post+after,59.0,7.0,8.428571428571429,8.0,0.05084745762711865,0.7288135593220338,0.22033898305084745,0.9158954618437503,0.015523651895656784
2.5,all,range+post+after,69.0,7.0,9.857142857142858,9.0,0.057971014492753624,0.7246376811594203,0.21739130434782608,6.724247827669913,0.0974528670676799
2.5,clean_mixed,all,24.0,7.0,3.4285714285714284,3.0,0.125,0.625,0.25,18.63465781473148,0.7764440756138117
2.5,clean_mixed,range_start,6.0,4.0,1.5,1.0,0.0,0.8333333333333334,0.16666666666666666,-1.7857142857142856,-0.2976190476190476
2.5,clean_mixed,after_formed,12.0,5.0,2.4,2.0,0.16666666666666666,0.5833333333333334,0.25,0.8514909418577057,0.07095757848814215
2.5,clean_mixed,post_breakout,6.0,5.0,1.2,1.0,0.16666666666666666,0.5,0.3333333333333333,19.568881158588063,3.2614801930980106
2.5,clean_mixed,range+post,12.0,6.0,2.0,2.0,0.08333333333333333,0.6666666666666666,0.25,17.783166872873778,1.4819305727394816
2.5,clean_mixed,range+after,18.0,6.0,3.0,2.5,0.1111111111111111,0.6666666666666666,0.2222222222222222,-0.9342233438565808,-0.051901296880921155
2.5,clean_mixed,post+after,18.0,7.0,2.5714285714285716,2.0,0.16666666666666666,0.5555555555555556,0.2777777777777778,20.42037210044577,1.1344651166914317
2.5,clean_mixed,range+post+after,24.0,7.0,3.4285714285714284,3.0,0.125,0.625,0.25,18.63465781473148,0.7764440756138117
2.5,clean_only,all,15.0,7.0,2.142857142857143,2.0,0.2,0.5333333333333333,0.26666666666666666,7.202839632913301,0.48018930886088673
2.5,clean_only,range_start,2.0,2.0,1.0,1.0,0.0,0.5,0.5,2.2142857142857144,1.1071428571428572
2.5,clean_only,after_formed,8.0,4.0,2.0,2.0,0.25,0.5,0.25,3.169672760039524,0.3962090950049405
2.5,clean_only,post_breakout,5.0,5.0,1.0,1.0,0.2,0.6,0.2,1.818881158588061,0.3637762317176122
