min_planned_r,quality,archetypes,bias_score_min,trades,months,trades_per_month,median_trades_per_month,win_rate,stop_rate,timeout_rate,total_r,avg_r
1.5,all,all,0,420.0,7.0,60.0,58.0,0.10714285714285714,0.5285714285714286,0.30952380952380953,-28.151083950238355,-0.06702639035771037
1.5,all,all,1,420.0,7.0,60.0,58.0,0.10714285714285714,0.5285714285714286,0.30952380952380953,-28.151083950238355,-0.06702639035771037
1.5,all,all,2,380.0,7.0,54.285714285714285,46.0,0.11052631578947368,0.5078947368421053,0.33157894736842103,-11.301669433845255,-0.029741235352224355
1.5,all,all,3,271.0,7.0,38.714285714285715,24.0,0.1033210332103321,0.4797047970479705,0.3726937269372694,1.9328370599571318,0.007132240073642553
1.5,all,range_start,0,12.0,7.0,1.7142857142857142,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,6.558352365826168,0.5465293638188473
1.5,all,range_start,1,12.0,7.0,1.7142857142857142,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,6.558352365826168,0.5465293638188473
1.5,all,range_start,2,12.0,7.0,1.7142857142857142,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,6.558352365826168,0.5465293638188473
1.5,all,range_start,3,12.0,7.0,1.7142857142857142,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,6.558352365826168,0.5465293638188473
1.5,all,after_formed,0,66.0,7.0,9.428571428571429,8.0,0.18181818181818182,0.6060606060606061,0.21212121212121213,2.6661072005949458,0.04039556364537797
1.5,all,after_formed,1,66.0,7.0,9.428571428571429,8.0,0.18181818181818182,0.6060606060606061,0.21212121212121213,2.6661072005949458,0.04039556364537797
1.5,all,after_formed,2,56.0,7.0,8.0,7.0,0.17857142857142858,0.6428571428571429,0.17857142857142858,-1.5632662316727135,-0.027915468422727026
1.5,all,after_formed,3,38.0,7.0,5.428571428571429,4.0,0.18421052631578946,0.6052631578947368,0.21052631578947367,3.093137506270111,0.08139835542816082
1.5,all,post_breakout,0,45.0,7.0,6.428571428571429,6.0,0.08888888888888889,0.6666666666666666,0.24444444444444444,-17.1184313203354,-0.38040958489634225
1.5,all,post_breakout,1,45.0,7.0,6.428571428571429,6.0,0.08888888888888889,0.6666666666666666,0.24444444444444444,-17.1184313203354,-0.38040958489634225
1.5,all,post_breakout,2,44.0,7.0,6.285714285714286,6.0,0.09090909090909091,0.6590909090909091,0.25,-16.118431320335404,-0.36632798455307736
1.5,all,post_breakout,3,36.0,7.0,5.142857142857143,5.0,0.1111111111111111,0.6388888888888888,0.25,-9.171062899282768,-0.2547517472022991
1.5,all,m7,0,89.0,7.0,12.714285714285714,15.0,0.16853932584269662,0.6292134831460674,0.20224719101123595,-1.6330205507797597,-0.01834854551437932
1.5,all,m7,1,89.0,7.0,12.714285714285714,15.0,0.16853932584269662,0.6292134831460674,0.20224719101123595,-1.6330205507797597,-0.01834854551437932
1.5,all,m7,2,84.0,7.0,12.0,15.0,0.17857142857142858,0.6071428571428571,0.21428571428571427,3.3669794492202403,0.040083088681193334
1.5,all,m7,3,56.0,7.0,8.0,8.0,0.17857142857142858,0.5714285714285714,0.25,2.858008198643134,0.05103586069005596
1.5,all,frontrun,0,208.0,7.0,29.714285714285715,24.0,0.057692307692307696,0.4230769230769231,0.40865384615384615,-18.624091645544304,-0.08953890214203993
1.5,all,frontrun,1,208.0,7.0,29.714285714285715,24.0,0.057692307692307696,0.4230769230769231,0.40865384615384615,-18.624091645544304,-0.08953890214203993
1.5,all,frontrun,2,184.0,7.0,26.285714285714285,20.0,0.059782608695652176,0.375,0.46195652173913043,-3.5453036968835474,-0.019267954874367107
1.5,all,frontrun,3,129.0,7.0,18.428571428571427,14.0,0.03875968992248062,0.34108527131782945,0.5271317829457365,-1.4055981114995149,-0.010896109391469108
1.5,all,m7+frontrun,0,297.0,7.0,42.42857142857143,42.0,0.09090909090909091,0.48484848484848486,0.3468013468013468,-20.257112196324066,-0.0682057649707881
1.5,all,m7+frontrun,1,297.0,7.0,42.42857142857143,42.0,0.09090909090909091,0.48484848484848486,0.3468013468013468,-20.257112196324066,-0.0682057649707881
