ts,timestamp,symbol,session_x,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,horizon,outcome,exit_price,ambiguous,month,day_date,session_y,current_session_model,current_session_box_dir,current_session_break_out,current_session_break_out_direction,first_break_dir,first_break_true_range_only,wddrb_mid,wddrb_sigma,wddrb_rr_hi,wddrb_rr_lo,wddrb_full_high_sd,wddrb_full_low_sd,wddrb_post_high_sd,wddrb_post_low_sd,current_session_max_ext,current_session_max_ret,current_session_close_ext,range_p_confirm_long,range_p_confirm_short,first_range_candle_p_session_box_dir_up,first_range_candle_p_session_box_dir_down,first_range_candle_p_session_true,first_range_candle_p_first_break_true_range_only,first_range_candle_p_first_break_true_via_wick,seq_intraday_p_low_holds,seq_intraday_p_high_holds,seq_daycycle_p_lo_hold_24h,seq_daycycle_p_hi_hold_24h,modeldb_p_model_u,modeldb_p_model_ux,modeldb_p_model_uxp,modeldb_p_model_d,modeldb_p_model_dx,modeldb_p_model_dxp,cluster_dist_entry,year
1452526200,2016-01-11 10:30:00,ES,RS,wddrb_sigma_distribution,short,1921.75,1923.75,1903.875,2.0,17.875,8.9375,0.5,['wddrb_mid_sigma'],session,target,1903.875,False,2016-01,2016-01-11,RS,RC,down,False,,Down,True,1920.625,16.75,1929.0,1912.25,,,,,0.0,,,0.5,0.5,0.25,0.5833,0.5,0.8182,0.75,0.4625,0.5,0.678,0.496,0.0,0.0,0.0,0.0,0.0,0.0,13.5,2016
1453735800,2016-01-25 10:30:00,ES,RS,wddrb_sigma_distribution,short,1890.75,1892.75,1882.25,2.0,8.5,4.25,0.55,"['wddrb_mid_sigma', 'model_down_bias']",session,target,1882.25,False,2016-01,2016-01-25,RS,D,down,False,,Down,True,1891.25,9.0,1895.75,1886.75,,,,,0.0,,,0.46,0.54,0.2449,0.7449,0.5,0.7551,0.5816,0.4357142857142857,0.5,0.378,0.721,0.0,0.0,0.0,1.0,0.0,0.0,4.5,2016
1451921400,2016-01-04 10:30:00,ES,RS,wddrb_sigma_distribution,short,1991.0,1994.75,1982.25,3.75,8.75,2.3333333333333335,0.55,"['wddrb_mid_sigma', 'model_down_bias']",session,target,1982.25,False,2016-01,2016-01-04,RS,DXP,down,False,,Down,True,1994.75,12.5,2001.0,1988.5,,,,,0.0,,,0.32,0.68,0.1498,0.8328,0.5,0.8811,0.7143,0.4429347826086957,0.5798913043478261,0.376,0.725,0.0,0.0,0.0,0.0,0.0,1.0,49.0,2016
1453685400,2016-01-24 20:30:00,ES,AS,cluster_rejection_fade,long,1896.0,1892.75,1902.25,3.25,6.25,1.9230769230769231,0.7000000000000001,"['rejection_bias', 'cluster_confluence', 'model_up_bias', 'cluster_near_darkpool']",session,target,1902.25,False,2016-01,2016-01-24,AS,RC,down,False,,Up,True,1892.75,19.0,1902.25,1883.25,0.6052631578947368,0.0789473684210526,0.6052631578947368,0.131578947368421,0.0,,,0.33,0.67,0.6878,0.2381,0.5,0.7514,0.6223,0.5,0.5,0.943,0.946,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2016
1453685400,2016-01-24 20:30:00,ES,AS,model_forward,long,1896.0,1892.75,1902.25,3.25,6.25,1.9230769230769231,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_darkpool']",session,target,1902.25,False,2016-01,2016-01-24,AS,RC,down,False,,Up,True,1892.75,19.0,1902.25,1883.25,0.6052631578947368,0.0789473684210526,0.6052631578947368,0.131578947368421,0.0,,,0.33,0.67,0.6878,0.2381,0.5,0.7514,0.6223,0.5,0.5,0.943,0.946,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2016
1453735800,2016-01-25 10:30:00,ES,RS,model_forward,short,1890.75,1895.75,1882.25,5.0,8.5,1.7,0.55,"['model_down_bias', 'model_down_bias']",session,target,1882.25,False,2016-01,2016-01-25,RS,D,down,False,,Down,True,1891.25,9.0,1895.75,1886.75,,,,,0.0,,,0.46,0.54,0.2449,0.7449,0.5,0.7551,0.5816,0.4357142857142857,0.5,0.378,0.721,0.0,0.0,0.0,1.0,0.0,0.0,4.5,2016
1453127400,2016-01-18 09:30:00,ES,RR,wddrb_sigma_distribution,long,1868.75,1866.75,1871.5,2.0,2.75,1.375,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",session,target,1871.5,False,2016-01,2016-01-18,RR,DXP,down,False,,,,1869.875,3.25,1871.5,1868.25,,,,,0.0,,,0.53,0.47,0.2565,0.7197,0.5,0.7861,0.6413,0.6777777777777778,0.6041666666666666,0.23,0.183,0.0,0.0,0.0,0.25,0.25,0.25,0.0,2016
1453744800,2016-01-25 13:00:00,ES,RS,wddrb_sigma_distribution,short,1893.25,1888.75,1874.75,4.5,18.5,1.0,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_weekly']",session,stop,1888.75,False,2016-01,2016-01-25,RS,D,down,True,short,Down,True,1888.75,14.0,1895.75,1881.75,,,,,0.92,-0.96,-0.92,0.34,0.66,0.2449,0.7449,0.5,0.7551,0.5816,0.4791666666666667,0.5416666666666666,0.658,0.851,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2016
1453081800,2016-01-17 20:50:00,ES,AS,wddrb_sigma_distribution,short,1878.5,1865.625,1832.875,12.875,45.625,1.0,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",session,stop,1865.625,False,2016-01,2016-01-17,AS,RC,up,False,,Up,True,1865.625,32.75,1882.0,1849.25,0.4541984732824427,-0.1793893129770992,,,0.0,,,0.5,0.5,0.6862,0.2394,0.5,0.75,0.6203,0.5,0.5,0.946,0.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
1453081800,2016-01-17 20:50:00,ES,AS,cluster_rejection_fade,short,1878.5,1865.625,1832.875,12.875,45.625,1.0,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",session,stop,1865.625,False,2016-01,2016-01-17,AS,RC,up,False,,Up,True,1865.625,32.75,1882.0,1849.25,0.4541984732824427,-0.1793893129770992,,,0.0,,,0.5,0.5,0.6862,0.2394,0.5,0.75,0.6203,0.5,0.5,0.946,0.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
