setup,r_band,horizon,trades,win_rate,totalR,avgR,trades_win_totalR
percentile_extension,R2_3,1h,284,0.02112676056338028,-25.008167674848394,-0.08805692843256477,-150.04900604909037
percentile_extension,R2_3,2h,284,0.045774647887323945,-31.634751581499046,-0.11138997035739101,-411.25177055948757
percentile_extension,R2_3,4h,284,0.09154929577464789,-34.03185730856336,-0.1198304834808569,-884.8282900226474
percentile_extension,R2_3,session,284,0.04225352112676056,-10.744949199151318,-0.03783432816602577,-128.9393903898158
percentile_extension,R3_4,1h,170,0.0058823529411764705,-22.339444868856802,-0.13140849922856943,-22.339444868856802
percentile_extension,R3_4,2h,170,0.011764705882352941,-33.66193164134337,-0.1980113625961375,-67.32386328268674
percentile_extension,R3_4,4h,170,0.029411764705882353,-41.28167789146493,-0.24283339936155843,-206.40838945732466
percentile_extension,R3_4,session,170,0.0058823529411764705,-23.845621468926446,-0.14026836158192027,-23.845621468926446
percentile_extension,R4_5,1h,96,0.010416666666666666,-8.867886178861864,-0.09237381436314442,-8.867886178861864
percentile_extension,R4_5,2h,96,0.020833333333333332,-11.206988742965796,-0.11673946607256037,-22.413977485931593
percentile_extension,R4_5,4h,96,0.03125,-16.058052572753137,-0.16727138096617852,-48.17415771825941
percentile_extension,R4_5,session,96,0.0,-16.0,-0.16666666666666666,-0.0
percentile_extension,R5_8,1h,108,0.0,-8.0,-0.07407407407407407,-0.0
percentile_extension,R5_8,2h,108,0.0,-13.0,-0.12037037037037036,-0.0
percentile_extension,R5_8,4h,108,0.0,-22.0,-0.2037037037037037,-0.0
percentile_extension,R5_8,session,108,0.0,-12.0,-0.1111111111111111,-0.0
wddrb_completion,R2_3,1h,486,0.037037037037037035,-24.885236034236154,-0.05120418937085629,-447.9342486162508
wddrb_completion,R2_3,2h,486,0.06584362139917696,-47.45286566122822,-0.09763964127824737,-1518.4917011593031
wddrb_completion,R2_3,4h,486,0.102880658436214,-78.53448716681521,-0.16159359499344694,-3926.724358340761
wddrb_completion,R2_3,session,486,0.0720164609053498,-51.201748915251066,-0.1053533928297347,-1792.0612120337873
wddrb_completion,R3_4,1h,208,0.02403846153846154,-9.893568563605953,-0.04756523347887477,-49.467842818029766
wddrb_completion,R3_4,2h,208,0.038461538461538464,-16.565633795780002,-0.07964247017201924,-132.52507036624002
wddrb_completion,R3_4,4h,208,0.052884615384615384,-27.431450156605163,-0.1318819719067556,-301.7459517226568
wddrb_completion,R3_4,session,208,0.057692307692307696,-7.695910054023554,-0.036999567567420934,-92.35092064828265
wddrb_completion,R4_5,1h,97,0.0,-10.0,-0.10309278350515463,-0.0
wddrb_completion,R4_5,2h,97,0.010309278350515464,-13.212765957446315,-0.136214082035529,-13.212765957446315
wddrb_completion,R4_5,4h,97,0.030927835051546393,-16.932175240146705,-0.1745585076303784,-50.796525720440115
wddrb_completion,R4_5,session,97,0.020618556701030927,-15.504329004328756,-0.15983844334359543,-31.008658008657513
wddrb_completion,R5_8,1h,102,0.00980392156862745,-18.18238993710745,-0.17825872487360248,-18.18238993710745
wddrb_completion,R5_8,2h,102,0.00980392156862745,-29.18238993710745,-0.2861018621285044,-29.18238993710745
