ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,day_date,horizon,outcome,exit_price,ambiguous
1452177000,2016-01-07 09:30:00,ES,RR,strict_confluence,long,1946.0,1943.0,1953.0,3.0,7.0,2.3333333333333335,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly', 'recent_session_level']",2016-01-07,1h,target,1953.0,False
1452177000,2016-01-07 09:30:00,ES,RR,strict_confluence,long,1946.0,1943.0,1953.0,3.0,7.0,2.3333333333333335,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly', 'recent_session_level']",2016-01-07,2h,target,1953.0,False
1452177000,2016-01-07 09:30:00,ES,RR,strict_confluence,long,1946.0,1943.0,1953.0,3.0,7.0,2.3333333333333335,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly', 'recent_session_level']",2016-01-07,4h,target,1953.0,False
1452177000,2016-01-07 09:30:00,ES,RR,strict_confluence,long,1946.0,1943.0,1953.0,3.0,7.0,2.3333333333333335,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly', 'recent_session_level']",2016-01-07,session,target,1953.0,False
1453476600,2016-01-22 10:30:00,ES,RS,strict_confluence,long,1895.75,1880.375,1913.5,15.375,17.75,-0.45528455284552843,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-01-22,1h,timeout,1888.75,False
1453476600,2016-01-22 10:30:00,ES,RS,strict_confluence,long,1895.75,1880.375,1913.5,15.375,17.75,-0.35772357723577236,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-01-22,2h,timeout,1890.25,False
1453476600,2016-01-22 10:30:00,ES,RS,strict_confluence,long,1895.75,1880.375,1913.5,15.375,17.75,0.06504065040650407,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-01-22,4h,timeout,1896.75,False
1453476600,2016-01-22 10:30:00,ES,RS,strict_confluence,long,1895.75,1880.375,1913.5,15.375,17.75,0.22764227642276422,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-01-22,session,timeout,1899.25,False
1456328400,2016-02-24 10:40:00,ES,RS,strict_confluence,short,1895.75,1907.375,1873.0,11.625,22.75,-0.45161290322580644,0.6000000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_monthly']",2016-02-24,1h,timeout,1901.0,False
1456328400,2016-02-24 10:40:00,ES,RS,strict_confluence,short,1895.75,1907.375,1873.0,11.625,22.75,-1.0,0.6000000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_monthly']",2016-02-24,2h,stop,1907.375,False
1456328400,2016-02-24 10:40:00,ES,RS,strict_confluence,short,1895.75,1907.375,1873.0,11.625,22.75,-1.0,0.6000000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_monthly']",2016-02-24,4h,stop,1907.375,False
