ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,day_date
1451917800,2016-01-04 09:30:00,ES,RR,wddrb_sigma_distribution,long,1995.5,1992.0,2007.0,3.5,11.5,3.2857142857142856,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-04
1452090600,2016-01-06 09:30:00,ES,RR,wddrb_sigma_distribution,long,1979.0,1975.625,1986.25,3.375,7.25,2.1481481481481484,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-06
1452177000,2016-01-07 09:30:00,ES,RR,wddrb_sigma_distribution,long,1946.0,1943.0,1953.0,3.0,7.0,2.3333333333333335,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_monthly']",2016-01-07
1452177000,2016-01-07 09:30:00,ES,RR,model_forward,long,1946.0,1943.0,1953.0,3.0,7.0,2.3333333333333335,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_monthly']",2016-01-07
1452502800,2016-01-11 04:00:00,ES,OS,wddrb_sigma_distribution,long,1922.75,1888.375,1996.5,34.375,73.75,2.1454545454545455,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-11
1452502800,2016-01-11 04:00:00,ES,OS,model_forward,long,1922.75,1888.375,1996.5,34.375,73.75,2.1454545454545455,0.55,"['model_up_bias', 'model_up_bias']",2016-01-11
1452609000,2016-01-12 09:30:00,ES,RR,wddrb_sigma_distribution,short,1933.0,1938.75,1923.25,5.75,9.75,1.6956521739130435,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-12
1452589200,2016-01-12 04:00:00,ES,OS,wddrb_sigma_distribution,long,1909.0,1874.25,1965.5,34.75,56.5,1.6258992805755397,0.55,"['wddrb_mid_sigma', 'cluster_near_darkpool']",2016-01-12
1452695400,2016-01-13 09:30:00,ES,RR,wddrb_sigma_distribution,short,1939.75,1944.875,1933.0,5.125,6.75,1.3170731707317074,0.65,"['wddrb_mid_sigma', 'cluster_near_weekly']",2016-01-13
1452695400,2016-01-13 09:30:00,ES,RR,cluster_rejection_fade,short,1939.75,1944.875,1933.0,5.125,6.75,1.3170731707317074,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_weekly']",2016-01-13
1452873300,2016-01-15 10:55:00,ES,RS,wddrb_sigma_distribution,long,1869.75,1849.375,1903.75,20.375,34.0,1.6687116564417177,0.55,"['wddrb_mid_sigma', 'cluster_near_darkpool']",2016-01-15
1453127400,2016-01-18 09:30:00,ES,RR,wddrb_sigma_distribution,long,1868.75,1865.5,1874.75,3.25,6.0,1.8461538461538463,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",2016-01-18
1453127400,2016-01-18 09:30:00,ES,RR,cluster_rejection_fade,long,1868.75,1865.5,1874.75,3.25,6.0,1.8461538461538463,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",2016-01-18
1453217400,2016-01-19 10:30:00,ES,RS,wddrb_sigma_distribution,short,1891.5,1904.25,1860.5,12.75,31.0,2.4313725490196076,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-19
1453366800,2016-01-21 04:00:00,ES,OS,wddrb_sigma_distribution,short,1838.75,1901.75,1739.25,63.0,99.5,1.5793650793650793,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-21
1453366800,2016-01-21 04:00:00,ES,OS,model_forward,short,1838.75,1901.75,1739.25,63.0,99.5,1.5793650793650793,0.55,"['model_down_bias', 'model_down_bias']",2016-01-21
1453477800,2016-01-22 10:50:00,ES,RS,wddrb_sigma_distribution,long,1890.5,1880.375,1913.5,10.125,23.0,2.271604938271605,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-22
1453477800,2016-01-22 10:50:00,ES,RS,model_forward,long,1890.5,1880.375,1913.5,10.125,23.0,2.271604938271605,0.55,"['model_up_bias', 'model_up_bias']",2016-01-22
1453712400,2016-01-25 04:00:00,ES,OS,wddrb_sigma_distribution,short,1888.5,1911.75,1864.25,23.25,24.25,1.043010752688172,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-25
1453801800,2016-01-26 04:50:00,ES,OS,wddrb_sigma_distribution,long,1861.75,1854.125,1923.5,7.625,61.75,8.098360655737705,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-26
1453801800,2016-01-26 04:50:00,ES,OS,model_forward,long,1861.75,1854.125,1923.5,7.625,61.75,8.098360655737705,0.55,"['model_up_bias', 'model_up_bias']",2016-01-26
1453991400,2016-01-28 09:30:00,ES,RR,cluster_rejection_fade,short,1895.0,1898.375,1887.75,3.375,7.25,2.1481481481481484,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",2016-01-28
1453971600,2016-01-28 04:00:00,ES,OS,wddrb_sigma_distribution,long,1889.0,1841.75,1955.5,47.25,66.5,1.4074074074074074,0.7000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",2016-01-28
1454340900,2016-02-01 10:35:00,ES,RS,wddrb_sigma_distribution,short,1919.75,1928.25,1902.0,8.5,17.75,2.088235294117647,0.6000000000000001,"['wddrb_mid_sigma', 'model_down_bias']",2016-02-01
1454340600,2016-02-01 10:30:00,ES,RS,wddrb_sigma_distribution,short,1917.75,1928.25,1902.0,10.5,15.75,1.5,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-02-01
1454429400,2016-02-02 11:10:00,ES,RS,wddrb_sigma_distribution,short,1909.5,1920.375,1888.5,10.875,21.0,1.9310344827586208,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-02-02
1454429400,2016-02-02 11:10:00,ES,RS,model_forward,short,1909.5,1920.375,1888.5,10.875,21.0,1.9310344827586208,0.55,"['model_down_bias', 'model_down_bias']",2016-02-02
1454490000,2016-02-03 04:00:00,ES,OS,wddrb_sigma_distribution,long,1904.75,1876.5,1939.0,28.25,34.25,1.2123893805309736,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-02-03
1454490000,2016-02-03 04:00:00,ES,OS,model_forward,long,1904.75,1876.5,1939.0,28.25,34.25,1.2123893805309736,0.55,"['model_up_bias', 'model_up_bias']",2016-02-03
1454576400,2016-02-04 04:00:00,ES,OS,wddrb_sigma_distribution,short,1912.0,1935.875,1817.75,23.875,94.25,3.9476439790575917,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']",2016-02-04
1454590500,2016-02-04 07:55:00,ES,OS,wddrb_sigma_distribution,short,1903.25,1935.875,1817.75,32.625,85.5,2.6206896551724137,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']",2016-02-04
