archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_post_break_pullback,1h,5,0.0,0.0,1.0,0.0,2.73983268983269,0.5479665379665379
range_pre_break_hold,1h,12,0.25,0.6666666666666666,0.08333333333333333,0.0,5.324929971988796,0.44374416433239966
cluster_rejection_fade,1h,57,0.14035087719298245,0.3684210526315789,0.49122807017543857,0.0,9.862999445490784,0.17303507799106638
model_forward,1h,66,0.06060606060606061,0.19696969696969696,0.7424242424242424,0.0,8.468040272740579,0.12830364049606938
wddrb_sigma_distribution,1h,255,0.12156862745098039,0.37254901960784315,0.5058823529411764,0.0,1.9941779983333323,0.00782030587581699
range_post_break_pullback,2h,5,0.0,0.0,1.0,0.0,4.062998712998713,0.8125997425997425
range_pre_break_hold,2h,12,0.3333333333333333,0.6666666666666666,0.0,0.0,6.030812324929972,0.5025676937441643
cluster_rejection_fade,2h,57,0.17543859649122806,0.42105263157894735,0.40350877192982454,0.0,14.654604957955417,0.2570983325957091
model_forward,2h,66,0.09090909090909091,0.22727272727272727,0.6818181818181818,0.0,13.798909016287055,0.20907437903465234
wddrb_sigma_distribution,2h,255,0.1450980392156863,0.40784313725490196,0.4470588235294118,0.0,9.964464493069535,0.039076331345370724
range_post_break_pullback,4h,5,0.2,0.0,0.8,0.0,3.382882882882883,0.6765765765765767
range_pre_break_hold,4h,12,0.3333333333333333,0.6666666666666666,0.0,0.0,6.030812324929972,0.5025676937441643
model_forward,4h,66,0.10606060606060606,0.3484848484848485,0.5454545454545454,0.0,18.353899645125843,0.27808938856251275
cluster_rejection_fade,4h,57,0.21052631578947367,0.5087719298245614,0.2807017543859649,0.0,9.769728221778113,0.17139874073294936
wddrb_sigma_distribution,4h,255,0.1607843137254902,0.47058823529411764,0.3686274509803922,0.0,13.233060496649472,0.05189435488882146
range_post_break_pullback,session,5,0.2,0.0,0.8,0.0,4.302123552123552,0.8604247104247105
range_pre_break_hold,session,12,0.25,0.5833333333333334,0.16666666666666666,0.0,2.965452847805789,0.24712107065048242
model_forward,session,66,0.09090909090909091,0.2727272727272727,0.6212121212121212,0.0,11.89313719711889,0.1801990484411953
cluster_rejection_fade,session,57,0.14035087719298245,0.38596491228070173,0.47368421052631576,0.0,6.852718095074721,0.1202231244749951
wddrb_sigma_distribution,session,255,0.12156862745098039,0.4235294117647059,0.4470588235294118,0.0,1.1847876633478207,0.004646226130775768
