archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_pre_break_hold,1h,11,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.0,8.169849758085052,0.7427136143713683
range_post_break_pullback,1h,6,0.0,0.0,1.0,0.0,3.509063459063459,0.5848439098439099
cluster_rejection_fade,1h,58,0.15517241379310345,0.29310344827586204,0.5517241379310345,0.0,18.732243316676943,0.322969712356499
wddrb_sigma_distribution,1h,179,0.0893854748603352,0.24022346368715083,0.6703910614525139,0.0,12.44457157094233,0.06952274620638173
model_forward,1h,55,0.05454545454545454,0.16363636363636364,0.7818181818181819,0.0,2.4136796817621975,0.043885085122949044
range_post_break_pullback,2h,6,0.16666666666666666,0.0,0.8333333333333334,0.0,5.242485892485893,0.8737476487476488
range_pre_break_hold,2h,11,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0,7.918379169849757,0.7198526518045234
cluster_rejection_fade,2h,58,0.1896551724137931,0.3448275862068966,0.46551724137931033,0.0,22.82416338694781,0.3935200583956519
model_forward,2h,55,0.07272727272727272,0.18181818181818182,0.7454545454545455,0.0,7.9431305396943035,0.14442055526716915
wddrb_sigma_distribution,2h,179,0.12290502793296089,0.2849162011173184,0.5921787709497207,0.0,24.828536547977947,0.13870690808926228
range_post_break_pullback,4h,6,0.3333333333333333,0.0,0.6666666666666666,0.0,4.5623700623700625,0.7603950103950105
range_pre_break_hold,4h,11,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0,7.716908581614463,0.701537143783133
cluster_rejection_fade,4h,58,0.22413793103448276,0.41379310344827586,0.3620689655172414,0.0,18.678774502910965,0.3220478362570856
model_forward,4h,55,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.0,11.624803705756937,0.21136006737739885
wddrb_sigma_distribution,4h,179,0.1452513966480447,0.33519553072625696,0.5195530726256983,0.0,30.118205729277832,0.16825813256579794
range_post_break_pullback,session,6,0.16666666666666666,0.0,0.8333333333333334,0.0,4.60981585981586,0.7683026433026433
range_pre_break_hold,session,11,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,6.041418385536033,0.5492198532305484
cluster_rejection_fade,session,58,0.15517241379310345,0.27586206896551724,0.5689655172413793,0.0,15.928798322653284,0.2746344538388497
model_forward,session,55,0.07272727272727272,0.23636363636363636,0.6727272727272727,0.0,5.147164856209097,0.09358481556743813
wddrb_sigma_distribution,session,179,0.10614525139664804,0.3128491620111732,0.5698324022346368,0.0,16.570929112071557,0.0925750229724668
