ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,day_date,horizon,outcome,exit_price,ambiguous
1451930400,2016-01-04 13:00:00,ES,RS,wddrb_sigma_distribution,short,1994.25,1990.625,1969.875,3.625,24.375,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,1h,stop,1990.625,False
1451930400,2016-01-04 13:00:00,ES,RS,wddrb_sigma_distribution,short,1994.25,1990.625,1969.875,3.625,24.375,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,2h,stop,1990.625,False
1451930400,2016-01-04 13:00:00,ES,RS,wddrb_sigma_distribution,short,1994.25,1990.625,1969.875,3.625,24.375,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,4h,stop,1990.625,False
1451930400,2016-01-04 13:00:00,ES,RS,wddrb_sigma_distribution,short,1994.25,1990.625,1969.875,3.625,24.375,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,session,stop,1990.625,False
1451940300,2016-01-04 15:45:00,ES,RS,wddrb_sigma_distribution,short,2000.5,1990.75,1969.75,9.75,30.75,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,1h,stop,1990.75,False
1451940300,2016-01-04 15:45:00,ES,RS,wddrb_sigma_distribution,short,2000.5,1990.75,1969.75,9.75,30.75,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,2h,stop,1990.75,False
1451940300,2016-01-04 15:45:00,ES,RS,wddrb_sigma_distribution,short,2000.5,1990.75,1969.75,9.75,30.75,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,4h,stop,1990.75,False
1451940300,2016-01-04 15:45:00,ES,RS,wddrb_sigma_distribution,short,2000.5,1990.75,1969.75,9.75,30.75,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,session,stop,1990.75,False
1452004200,2016-01-05 09:30:00,ES,RR,wddrb_sigma_distribution,long,2009.25,2007.25,2013.0,2.0,3.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-05,1h,stop,2007.25,False
1452004200,2016-01-05 09:30:00,ES,RR,wddrb_sigma_distribution,long,2009.25,2007.25,2013.0,2.0,3.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-05,2h,stop,2007.25,False
1452004200,2016-01-05 09:30:00,ES,RR,wddrb_sigma_distribution,long,2009.25,2007.25,2013.0,2.0,3.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-05,4h,stop,2007.25,False
1452004200,2016-01-05 09:30:00,ES,RR,wddrb_sigma_distribution,long,2009.25,2007.25,2013.0,2.0,3.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-05,session,stop,2007.25,False
