archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_post_break_pullback,1h,10,0.1,0.0,0.9,0.0,8.1143437674633,0.81143437674633
cluster_rejection_fade,1h,52,0.057692307692307696,0.5769230769230769,0.36538461538461536,0.0,11.337774516330771,0.2180341253140533
wddrb_sigma_distribution,1h,253,0.08695652173913043,0.6956521739130435,0.21739130434782608,0.003952569169960474,50.08617916720932,0.19796908761742815
range_pre_break_hold,1h,4,0.25,0.75,0.0,0.25,-1.125,-0.28125
range_post_break_pullback,2h,10,0.2,0.0,0.8,0.0,12.887058716847383,1.2887058716847384
wddrb_sigma_distribution,2h,253,0.11067193675889328,0.7391304347826086,0.15019762845849802,0.003952569169960474,50.591771660751824,0.1999674769199677
cluster_rejection_fade,2h,52,0.057692307692307696,0.6923076923076923,0.25,0.0,7.342669141331611,0.14120517579483868
range_pre_break_hold,2h,4,0.25,0.75,0.0,0.25,-1.125,-0.28125
range_post_break_pullback,4h,10,0.3,0.0,0.7,0.0,10.728183242700675,1.0728183242700675
wddrb_sigma_distribution,4h,253,0.15019762845849802,0.7470355731225297,0.10276679841897234,0.003952569169960474,81.59803820790795,0.3225218901498338
cluster_rejection_fade,4h,52,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.0,7.981965811965812,0.15349934253780406
range_pre_break_hold,4h,4,0.25,0.75,0.0,0.25,-1.125,-0.28125
range_post_break_pullback,session,10,0.1,0.0,0.9,0.0,9.796886108462363,0.9796886108462364
wddrb_sigma_distribution,session,253,0.1541501976284585,0.7391304347826086,0.09881422924901186,0.003952569169960474,79.56162409492114,0.31447282250956976
cluster_rejection_fade,session,52,0.09615384615384616,0.6730769230769231,0.23076923076923078,0.0,11.493649155722327,0.22103171453312168
range_pre_break_hold,session,4,0.25,0.75,0.0,0.25,-1.125,-0.28125
