ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,day_date
1452177000,2016-01-07 09:30:00,ES,RR,strict_confluence,long,1946.0,1945.0,1953.0,1.0,7.0,7.0,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly', 'recent_session_level']",2016-01-07
1453476600,2016-01-22 10:30:00,ES,RS,strict_confluence,long,1895.75,1887.0,1913.5,8.75,17.75,2.0285714285714285,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-01-22
1455723000,2016-02-17 10:30:00,ES,RS,strict_confluence,long,1917.0,1904.0,1933.0,13.0,16.0,1.2307692307692308,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly']",2016-02-17
1456328400,2016-02-24 10:40:00,ES,RS,strict_confluence,short,1895.75,1900.5,1873.0,4.75,22.75,4.7894736842105265,0.6000000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_monthly']",2016-02-24
1458321000,2016-03-18 13:10:00,ES,RS,strict_confluence,long,2035.75,2034.25,2051.25,1.5,15.5,10.333333333333334,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-03-18
1458311700,2016-03-18 10:35:00,ES,RS,strict_confluence,long,2036.75,2034.25,2047.25,2.5,10.5,4.2,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-03-18
1458570600,2016-03-21 10:30:00,ES,RS,strict_confluence,long,2034.75,2033.5,2049.5,1.25,14.75,11.8,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-03-21
1458639300,2016-03-22 05:35:00,ES,OS,strict_confluence,short,2038.25,2044.5,2021.0,6.25,17.25,2.76,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_weekly', 'recent_session_level']",2016-03-22
1458633600,2016-03-22 04:00:00,ES,OS,strict_confluence,short,2035.0,2044.5,2021.0,9.5,14.0,1.4736842105263157,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-03-22
1458744300,2016-03-23 10:45:00,ES,RS,strict_confluence,short,2036.5,2038.5,2024.5,2.0,12.0,6.0,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-03-23
1459183500,2016-03-28 12:45:00,ES,RS,strict_confluence,short,2031.5,2032.5,2011.5,1.0,20.0,20.0,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-03-28
1459185000,2016-03-28 13:10:00,ES,RS,strict_confluence,short,2030.5,2032.5,2011.5,2.0,19.0,9.5,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_weekly', 'recent_session_level']",2016-03-28
1462296900,2016-05-03 13:35:00,ES,RS,strict_confluence,short,2061.75,2062.25,2033.75,0.5,28.0,56.0,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_weekly', 'recent_session_level']",2016-05-03
1462295100,2016-05-03 13:05:00,ES,RS,strict_confluence,short,2058.75,2061.75,2034.25,3.0,24.5,8.166666666666666,0.6000000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_darkpool']",2016-05-03
1462780800,2016-05-09 04:00:00,ES,OS,strict_confluence,short,2051.0,2052.75,2014.75,1.75,36.25,20.714285714285715,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_weekly', 'recent_session_level']",2016-05-09
1463495400,2016-05-17 10:30:00,ES,RS,strict_confluence,short,2054.0,2062.75,2041.75,8.75,12.25,1.4,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_weekly', 'recent_session_level']",2016-05-17
1464100200,2016-05-24 10:30:00,ES,RS,strict_confluence,long,2069.25,2056.0,2083.0,13.25,13.75,1.0377358490566038,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_weekly', 'recent_session_level']",2016-05-24
1464877800,2016-06-02 10:30:00,ES,RS,strict_confluence,short,2092.5,2093.5,2080.0,1.0,12.5,12.5,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_monthly', 'recent_session_level']",2016-06-02
1464978600,2016-06-03 14:30:00,ES,RS,strict_confluence,short,2097.75,2098.0,2067.5,0.25,30.25,121.0,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_weekly', 'recent_session_level']",2016-06-03
1464968400,2016-06-03 11:40:00,ES,RS,strict_confluence,short,2093.5,2098.0,2067.5,4.5,26.0,5.777777777777778,0.6000000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_monthly']",2016-06-03
1466433300,2016-06-20 10:35:00,ES,RS,strict_confluence,long,2087.25,2084.25,2100.75,3.0,13.5,4.5,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly', 'recent_session_level']",2016-06-20
1466521200,2016-06-21 11:00:00,ES,RS,strict_confluence,short,2080.75,2081.25,2066.75,0.5,14.0,28.0,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_weekly', 'recent_session_level']",2016-06-21
1466688600,2016-06-23 09:30:00,ES,RR,strict_confluence,long,2093.75,2093.0,2099.0,0.75,5.25,7.0,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly', 'recent_session_level']",2016-06-23
1467124500,2016-06-28 10:35:00,ES,RS,strict_confluence,long,2011.0,2008.25,2028.25,2.75,17.25,6.2727272727272725,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-06-28
1467393900,2016-07-01 13:25:00,ES,RS,strict_confluence,long,2092.75,2089.0,2112.5,3.75,19.75,5.266666666666667,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly', 'recent_session_level']",2016-07-01
1467903000,2016-07-07 10:50:00,ES,RS,strict_confluence,long,2097.0,2094.0,2110.0,3.0,13.0,4.333333333333333,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-07-07
1469433600,2016-07-25 04:00:00,ES,OS,strict_confluence,long,2167.5,2157.0,2181.5,10.5,14.0,1.3333333333333333,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-07-25
1470317700,2016-08-04 09:35:00,ES,RR,strict_confluence,long,2161.5,2158.0,2165.5,3.5,4.0,1.1428571428571428,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_monthly', 'recent_session_level']",2016-08-04
1470764400,2016-08-09 13:40:00,ES,RS,strict_confluence,long,2176.75,2176.0,2191.0,0.75,14.25,19.0,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-08-09
1470753000,2016-08-09 10:30:00,ES,RS,strict_confluence,long,2181.25,2176.0,2189.0,5.25,7.75,1.4761904761904763,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_weekly', 'recent_session_level']",2016-08-09
1470923100,2016-08-11 09:45:00,ES,RR,strict_confluence,long,2179.0,2178.25,2183.25,0.75,4.25,5.666666666666667,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_weekly', 'recent_session_level']",2016-08-11
1471251000,2016-08-15 04:50:00,ES,OS,strict_confluence,long,2183.0,2175.5,2190.5,7.5,7.5,1.0,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_weekly', 'recent_session_level']",2016-08-15
1471527000,2016-08-18 09:30:00,ES,RR,strict_confluence,long,2180.75,2178.5,2185.0,2.25,4.25,1.8888888888888888,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-08-18
1471593900,2016-08-19 04:05:00,ES,OS,strict_confluence,short,2177.75,2184.5,2171.0,6.75,6.75,1.0,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_weekly', 'recent_session_level']",2016-08-19
1471964400,2016-08-23 11:00:00,ES,RS,strict_confluence,long,2188.75,2187.75,2195.25,1.0,6.5,6.5,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_weekly', 'recent_session_level']",2016-08-23
1471962600,2016-08-23 10:30:00,ES,RS,strict_confluence,long,2189.5,2187.75,2195.25,1.75,5.75,3.2857142857142856,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_weekly', 'recent_session_level']",2016-08-23
1472671500,2016-08-31 15:25:00,ES,RS,strict_confluence,short,2169.0,2172.75,2146.25,3.75,22.75,6.066666666666666,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-08-31
1472747400,2016-09-01 12:30:00,ES,RS,strict_confluence,short,2168.0,2172.25,2137.25,4.25,30.75,7.235294117647059,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-09-01
1472827200,2016-09-02 10:40:00,ES,RS,strict_confluence,long,2179.5,2177.5,2190.0,2.0,10.5,5.25,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-09-02
1472826600,2016-09-02 10:30:00,ES,RS,strict_confluence,long,2179.75,2177.5,2190.0,2.25,10.25,4.555555555555555,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-09-02
1473345000,2016-09-08 10:30:00,ES,RS,strict_confluence,short,2180.0,2181.25,2170.25,1.25,9.75,7.8,0.7500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-09-08
1473341400,2016-09-08 09:30:00,ES,RR,strict_confluence,long,2180.75,2179.0,2183.5,1.75,2.75,1.5714285714285714,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-09-08
1474037100,2016-09-16 10:45:00,ES,RS,strict_confluence,short,2131.0,2132.5,2114.0,1.5,17.0,11.333333333333334,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_down_bias', 'cluster_near_weekly', 'recent_session_level']",2016-09-16
1474358400,2016-09-20 04:00:00,ES,OS,strict_confluence,long,2139.0,2127.75,2165.75,11.25,26.75,2.3777777777777778,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_weekly', 'recent_session_level']",2016-09-20
1474365300,2016-09-20 05:55:00,ES,OS,strict_confluence,long,2140.5,2127.75,2165.75,12.75,25.25,1.9803921568627452,0.6500000000000001,"['strict_confluence', 'cluster_wddrb_model_bias', 'model_up_bias', 'cluster_near_darkpool', 'recent_session_level']",2016-09-20
