archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_post_break_pullback,1h,4,0.0,0.0,1.0,0.0,3.1416666666666666,0.7854166666666667
wddrb_sigma_distribution,1h,254,0.14566929133858267,0.6968503937007874,0.15748031496062992,0.003937007874015748,97.85263725757456,0.3852466033762778
cluster_rejection_fade,1h,41,0.12195121951219512,0.7073170731707317,0.17073170731707318,0.0,14.3125,0.3490853658536585
range_pre_break_hold,1h,5,0.2,0.8,0.0,0.2,-2.125,-0.425
range_post_break_pullback,2h,4,0.0,0.0,1.0,0.0,6.884615384615384,1.721153846153846
cluster_rejection_fade,2h,41,0.14634146341463414,0.7317073170731707,0.12195121951219512,0.0,16.375,0.39939024390243905
wddrb_sigma_distribution,2h,254,0.17716535433070865,0.7244094488188977,0.0984251968503937,0.003937007874015748,94.86433020910437,0.37348161499647387
range_pre_break_hold,2h,5,0.2,0.8,0.0,0.2,-2.125,-0.425
range_post_break_pullback,4h,4,0.0,0.0,1.0,0.0,5.106410256410256,1.276602564102564
wddrb_sigma_distribution,4h,254,0.2047244094488189,0.7283464566929134,0.06692913385826772,0.003937007874015748,119.52895535482006,0.47058643840480335
cluster_rejection_fade,4h,41,0.17073170731707318,0.7804878048780488,0.04878048780487805,0.0,16.0625,0.39176829268292684
range_pre_break_hold,4h,5,0.2,0.8,0.0,0.2,-2.125,-0.425
range_post_break_pullback,session,4,0.0,0.0,1.0,0.0,5.102564102564102,1.2756410256410255
cluster_rejection_fade,session,41,0.17073170731707318,0.7317073170731707,0.0975609756097561,0.0,17.9375,0.4375
wddrb_sigma_distribution,session,254,0.1968503937007874,0.7283464566929134,0.06692913385826772,0.003937007874015748,109.17742085481538,0.4298323655701393
range_pre_break_hold,session,5,0.2,0.8,0.0,0.2,-2.125,-0.425
