ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,day_date,horizon,outcome,exit_price,ambiguous,month
1452589200,2016-01-12 04:00:00,ES,OS,wddrb_sigma_distribution,long,1909.0,1907.0,1929.0,2.0,20.0,10.0,0.55,"['wddrb_mid_sigma', 'cluster_near_darkpool']",2016-01-12,session,target,1929.0,False,2016-01
1452612600,2016-01-12 10:30:00,ES,RS,wddrb_sigma_distribution,short,1929.5,1931.875,1915.125,2.375,14.375,6.052631578947368,0.6,['wddrb_mid_sigma'],2016-01-12,session,target,1915.125,False,2016-01
1453991400,2016-01-28 09:30:00,ES,RR,cluster_rejection_fade,short,1895.0,1897.0,1889.875,2.0,5.125,2.5625,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",2016-01-28,session,target,1889.875,False,2016-01
1452177000,2016-01-07 09:30:00,ES,RR,wddrb_sigma_distribution,long,1946.0,1944.0,1949.0,2.0,3.0,1.5,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_monthly']",2016-01-07,session,target,1949.0,False,2016-01
1453127400,2016-01-18 09:30:00,ES,RR,wddrb_sigma_distribution,long,1868.75,1866.75,1871.5,2.0,2.75,1.375,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",2016-01-18,session,target,1871.5,False,2016-01
1451930400,2016-01-04 13:00:00,ES,RS,wddrb_sigma_distribution,short,1994.25,1990.625,1969.875,3.625,24.375,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,session,stop,1990.625,False,2016-01
1451940300,2016-01-04 15:45:00,ES,RS,wddrb_sigma_distribution,short,2000.5,1990.75,1969.75,9.75,30.75,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-04,session,stop,1990.75,False,2016-01
1452502800,2016-01-11 04:00:00,ES,OS,wddrb_sigma_distribution,long,1922.75,1931.625,1953.25,8.875,30.5,1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-11,session,stop,1931.625,False,2016-01
1453217400,2016-01-19 10:30:00,ES,RS,wddrb_sigma_distribution,short,1891.5,1886.75,1869.25,4.75,22.25,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-19,session,stop,1886.75,False,2016-01
1453366800,2016-01-21 04:00:00,ES,OS,wddrb_sigma_distribution,short,1838.75,1836.75,1771.75,2.0,67.0,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-21,session,stop,1836.75,False,2016-01
1453477800,2016-01-22 10:50:00,ES,RS,wddrb_sigma_distribution,long,1890.5,1893.625,1900.25,3.125,9.75,1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-22,session,stop,1893.625,False,2016-01
1453477200,2016-01-22 10:40:00,ES,RS,wddrb_sigma_distribution,long,1893.75,1891.75,1900.25,2.0,6.5,-1.0,0.7000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",2016-01-22,session,stop,1891.75,False,2016-01
1453971600,2016-01-28 04:00:00,ES,OS,wddrb_sigma_distribution,long,1889.0,1887.0,1910.0,2.0,21.0,-1.0,0.7000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",2016-01-28,session,stop,1887.0,False,2016-01
1452695400,2016-01-13 09:30:00,ES,RR,wddrb_sigma_distribution,short,1939.75,1941.75,1935.375,2.0,4.375,-1.0,0.65,"['wddrb_mid_sigma', 'cluster_near_weekly']",2016-01-13,session,stop,1941.75,False,2016-01
1453732200,2016-01-25 09:30:00,ES,RR,wddrb_sigma_distribution,long,1892.75,1890.75,1895.5,2.0,2.75,-1.0,0.65,"['wddrb_mid_sigma', 'cluster_near_weekly']",2016-01-25,session,stop,1890.75,False,2016-01
1453905000,2016-01-27 09:30:00,ES,RR,wddrb_sigma_distribution,short,1887.75,1889.75,1885.625,2.0,2.125,-1.0,0.6,['wddrb_mid_sigma'],2016-01-27,session,stop,1889.75,False,2016-01
1454077800,2016-01-29 09:30:00,ES,RR,wddrb_sigma_distribution,short,1895.5,1897.5,1891.375,2.0,4.125,-1.0,0.6,['wddrb_mid_sigma'],2016-01-29,session,stop,1897.5,False,2016-01
1452004200,2016-01-05 09:30:00,ES,RR,wddrb_sigma_distribution,long,2009.25,2007.25,2013.0,2.0,3.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-05,session,stop,2007.25,False,2016-01
1452090600,2016-01-06 09:30:00,ES,RR,wddrb_sigma_distribution,long,1979.0,1977.0,1982.0,2.0,3.0,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2016-01-06,session,stop,1977.0,True,2016-01
1452873300,2016-01-15 10:55:00,ES,RS,wddrb_sigma_distribution,long,1869.75,1867.75,1882.0,2.0,12.25,-1.0,0.55,"['wddrb_mid_sigma', 'cluster_near_darkpool']",2016-01-15,session,stop,1867.75,False,2016-01
1452880200,2016-01-15 12:50:00,ES,RS,wddrb_sigma_distribution,short,1859.75,1865.625,1832.875,5.875,26.875,-1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-15,session,stop,1865.625,False,2016-01
1453712400,2016-01-25 04:00:00,ES,OS,wddrb_sigma_distribution,short,1888.5,1892.75,1873.75,4.25,14.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-01-25,session,stop,1892.75,False,2016-01
1453819800,2016-01-26 09:50:00,ES,RR,wddrb_sigma_distribution,short,1876.75,1880.125,1868.875,3.375,7.875,-1.0,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']",2016-01-26,session,stop,1880.125,False,2016-01
1454945400,2016-02-08 10:30:00,ES,RS,wddrb_sigma_distribution,short,1842.25,1844.25,1823.625,2.0,18.625,9.3125,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-02-08,session,target,1823.625,False,2016-02
1454429400,2016-02-02 11:10:00,ES,RS,wddrb_sigma_distribution,short,1909.5,1911.5,1894.875,2.0,14.625,7.3125,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-02-02,session,target,1894.875,False,2016-02
1455809400,2016-02-18 10:30:00,ES,RS,wddrb_sigma_distribution,short,1922.25,1924.25,1913.5,2.0,8.75,4.375,0.6,['wddrb_mid_sigma'],2016-02-18,session,target,1913.5,False,2016-02
1456410600,2016-02-25 09:30:00,ES,RR,cluster_rejection_fade,short,1935.5,1937.5,1927.75,2.0,7.75,3.875,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_weekly']",2016-02-25,session,target,1927.75,False,2016-02
1454686200,2016-02-05 10:30:00,ES,RS,wddrb_sigma_distribution,short,1887.75,1895.0,1874.5,7.25,13.25,1.827586206896552,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2016-02-05,session,target,1874.5,False,2016-02
1456761300,2016-02-29 10:55:00,ES,RS,wddrb_sigma_distribution,short,1947.25,1944.5,1937.5,2.75,9.75,1.0,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",2016-02-29,session,stop,1944.5,False,2016-02
1456757400,2016-02-29 09:50:00,ES,RR,cluster_rejection_fade,short,1947.5,1944.375,1937.625,3.125,9.875,1.0,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",2016-02-29,session,stop,1944.375,False,2016-02
1454340900,2016-02-01 10:35:00,ES,RS,wddrb_sigma_distribution,short,1919.75,1917.75,1907.25,2.0,12.5,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_down_bias']",2016-02-01,session,stop,1917.75,False,2016-02
1455028200,2016-02-09 09:30:00,ES,RR,wddrb_sigma_distribution,short,1831.0,1828.875,1822.625,2.125,8.375,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'cluster_near_weekly']",2016-02-09,session,stop,1828.875,False,2016-02
