archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_post_break_pullback,1h,4,0.0,0.0,1.0,0.0,3.1416666666666666,0.7854166666666667
wddrb_sigma_distribution,1h,251,0.15139442231075698,0.6852589641434262,0.16334661354581673,0.00398406374501992,86.35263725757456,0.3440344113847592
cluster_rejection_fade,1h,37,0.13513513513513514,0.6756756756756757,0.1891891891891892,0.0,10.3125,0.27871621621621623
range_pre_break_hold,1h,4,0.25,0.75,0.0,0.25,-1.125,-0.28125
range_post_break_pullback,2h,4,0.0,0.0,1.0,0.0,6.884615384615384,1.721153846153846
cluster_rejection_fade,2h,37,0.16216216216216217,0.7027027027027027,0.13513513513513514,0.0,12.375,0.3344594594594595
wddrb_sigma_distribution,2h,251,0.18326693227091634,0.7171314741035857,0.099601593625498,0.00398406374501992,81.98933020910437,0.32665071796455925
range_pre_break_hold,2h,4,0.25,0.75,0.0,0.25,-1.125,-0.28125
range_post_break_pullback,4h,4,0.0,0.0,1.0,0.0,5.106410256410256,1.276602564102564
wddrb_sigma_distribution,4h,251,0.21115537848605578,0.7211155378486056,0.06772908366533864,0.00398406374501992,106.65395535482006,0.42491615679211175
cluster_rejection_fade,4h,37,0.1891891891891892,0.7567567567567568,0.05405405405405406,0.0,12.0625,0.3260135135135135
range_pre_break_hold,4h,4,0.25,0.75,0.0,0.25,-1.125,-0.28125
range_post_break_pullback,session,4,0.0,0.0,1.0,0.0,5.102564102564102,1.2756410256410255
wddrb_sigma_distribution,session,251,0.20318725099601595,0.7211155378486056,0.06772908366533864,0.00398406374501992,96.30242085481538,0.38367498348532025
cluster_rejection_fade,session,37,0.1891891891891892,0.7027027027027027,0.10810810810810811,0.0,13.9375,0.3766891891891892
range_pre_break_hold,session,4,0.25,0.75,0.0,0.25,-1.125,-0.28125
