ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,horizon,outcome,exit_price,ambiguous
1514853000,2018-01-01 19:30:00,ES,AR,range_pre_break_hold,short,2680.5,2681.75,2674.25,1.25,6.25,-1.0,0.55,"['near_first_high', 'pre_break', 'model_down_bias']",1h,stop,2681.75,False
1514853000,2018-01-01 19:30:00,ES,AR,range_pre_break_hold,short,2680.5,2681.75,2674.25,1.25,6.25,-1.0,0.55,"['near_first_high', 'pre_break', 'model_down_bias']",2h,stop,2681.75,False
1514853000,2018-01-01 19:30:00,ES,AR,range_pre_break_hold,short,2680.5,2681.75,2674.25,1.25,6.25,-1.0,0.55,"['near_first_high', 'pre_break', 'model_down_bias']",4h,stop,2681.75,False
1514853000,2018-01-01 19:30:00,ES,AR,range_pre_break_hold,short,2680.5,2681.75,2674.25,1.25,6.25,-1.0,0.55,"['near_first_high', 'pre_break', 'model_down_bias']",session,stop,2681.75,False
1514853000,2018-01-01 19:30:00,ES,AR,wddrb_sigma_distribution,short,2680.5,2684.125,2664.375,3.625,16.125,0.20689655172413793,0.55,"['wddrb_mid_sigma', 'model_down_bias']",1h,timeout,2679.75,False
1514853000,2018-01-01 19:30:00,ES,AR,wddrb_sigma_distribution,short,2680.5,2684.125,2664.375,3.625,16.125,0.5517241379310345,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2h,timeout,2678.5,False
1514853000,2018-01-01 19:30:00,ES,AR,wddrb_sigma_distribution,short,2680.5,2684.125,2664.375,3.625,16.125,0.4827586206896552,0.55,"['wddrb_mid_sigma', 'model_down_bias']",4h,timeout,2678.75,False
1514853000,2018-01-01 19:30:00,ES,AR,wddrb_sigma_distribution,short,2680.5,2684.125,2664.375,3.625,16.125,0.20689655172413793,0.55,"['wddrb_mid_sigma', 'model_down_bias']",session,timeout,2679.75,False
1514856600,2018-01-01 20:30:00,ES,AS,range_post_break_pullback,long,2679.75,2674.25,2713.75,5.5,34.0,-0.22727272727272727,0.6,"['pullback_first_high', 'post_break']",1h,timeout,2678.5,False
1514856600,2018-01-01 20:30:00,ES,AS,range_post_break_pullback,long,2679.75,2674.25,2713.75,5.5,34.0,-0.13636363636363635,0.6,"['pullback_first_high', 'post_break']",2h,timeout,2679.0,False
1514856600,2018-01-01 20:30:00,ES,AS,range_post_break_pullback,long,2679.75,2674.25,2713.75,5.5,34.0,0.045454545454545456,0.6,"['pullback_first_high', 'post_break']",4h,timeout,2680.0,False
1514856600,2018-01-01 20:30:00,ES,AS,range_post_break_pullback,long,2679.75,2674.25,2713.75,5.5,34.0,-0.09090909090909091,0.6,"['pullback_first_high', 'post_break']",session,timeout,2679.25,False
1514856600,2018-01-01 20:30:00,ES,AS,wddrb_sigma_distribution,short,2679.75,2684.125,2664.375,4.375,15.375,0.2857142857142857,0.55,"['wddrb_mid_sigma', 'model_down_bias']",1h,timeout,2678.5,False
1514856600,2018-01-01 20:30:00,ES,AS,wddrb_sigma_distribution,short,2679.75,2684.125,2664.375,4.375,15.375,0.17142857142857143,0.55,"['wddrb_mid_sigma', 'model_down_bias']",2h,timeout,2679.0,False
1514856600,2018-01-01 20:30:00,ES,AS,wddrb_sigma_distribution,short,2679.75,2684.125,2664.375,4.375,15.375,-0.05714285714285714,0.55,"['wddrb_mid_sigma', 'model_down_bias']",4h,timeout,2680.0,False
1514856600,2018-01-01 20:30:00,ES,AS,wddrb_sigma_distribution,short,2679.75,2684.125,2664.375,4.375,15.375,0.11428571428571428,0.55,"['wddrb_mid_sigma', 'model_down_bias']",session,timeout,2679.25,False
1514880000,2018-01-02 03:00:00,ES,OR,wddrb_sigma_distribution,short,2679.25,2684.125,2664.375,4.875,14.875,0.2564102564102564,0.6,['wddrb_mid_sigma'],1h,timeout,2678.0,False
1514880000,2018-01-02 03:00:00,ES,OR,wddrb_sigma_distribution,short,2679.25,2684.125,2664.375,4.875,14.875,0.46153846153846156,0.6,['wddrb_mid_sigma'],2h,timeout,2677.0,False
1514880000,2018-01-02 03:00:00,ES,OR,wddrb_sigma_distribution,short,2679.25,2684.125,2664.375,4.875,14.875,-0.5128205128205128,0.6,['wddrb_mid_sigma'],4h,timeout,2681.75,False
1514880000,2018-01-02 03:00:00,ES,OR,wddrb_sigma_distribution,short,2679.25,2684.125,2664.375,4.875,14.875,0.20512820512820512,0.6,['wddrb_mid_sigma'],session,timeout,2678.25,False
1514880000,2018-01-02 03:00:00,ES,OR,model_forward,short,2679.25,2694.0,2664.375,14.75,14.875,0.0847457627118644,0.6,['model_down_bias'],1h,timeout,2678.0,False
1514880000,2018-01-02 03:00:00,ES,OR,model_forward,short,2679.25,2694.0,2664.375,14.75,14.875,0.15254237288135594,0.6,['model_down_bias'],2h,timeout,2677.0,False
1514880000,2018-01-02 03:00:00,ES,OR,model_forward,short,2679.25,2694.0,2664.375,14.75,14.875,-0.1694915254237288,0.6,['model_down_bias'],4h,timeout,2681.75,False
1514880000,2018-01-02 03:00:00,ES,OR,model_forward,short,2679.25,2694.0,2664.375,14.75,14.875,0.06779661016949153,0.6,['model_down_bias'],session,timeout,2678.25,False
1514883600,2018-01-02 04:00:00,ES,OS,model_forward,long,2678.0,2684.125,2694.0,6.125,16.0,1.0,0.65,"['model_up_bias', 'model_up_bias']",1h,stop,2684.125,False
1514883600,2018-01-02 04:00:00,ES,OS,model_forward,long,2678.0,2684.125,2694.0,6.125,16.0,1.0,0.65,"['model_up_bias', 'model_up_bias']",2h,stop,2684.125,False
1514883600,2018-01-02 04:00:00,ES,OS,model_forward,long,2678.0,2684.125,2694.0,6.125,16.0,1.0,0.65,"['model_up_bias', 'model_up_bias']",4h,stop,2684.125,False
1514883600,2018-01-02 04:00:00,ES,OS,model_forward,long,2678.0,2684.125,2694.0,6.125,16.0,1.0,0.65,"['model_up_bias', 'model_up_bias']",session,stop,2684.125,False
1514883600,2018-01-02 04:00:00,ES,OS,wddrb_sigma_distribution,short,2678.0,2684.125,2664.375,6.125,13.625,0.16326530612244897,0.55,"['wddrb_mid_sigma', 'model_down_bias']",1h,timeout,2677.0,False
