ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons
1514853000,2018-01-01 19:30:00,ES,AR,range_pre_break_hold,short,2680.5,2681.75,2674.25,1.25,6.25,5.0,0.55,"['near_first_high', 'pre_break', 'model_down_bias']"
1514853000,2018-01-01 19:30:00,ES,AR,wddrb_sigma_distribution,short,2680.5,2684.125,2664.375,3.625,16.125,4.448275862068965,0.55,"['wddrb_mid_sigma', 'model_down_bias']"
1514856600,2018-01-01 20:30:00,ES,AS,range_post_break_pullback,long,2679.75,2674.25,2713.75,5.5,34.0,6.181818181818182,0.6,"['pullback_first_high', 'post_break']"
1514856600,2018-01-01 20:30:00,ES,AS,wddrb_sigma_distribution,short,2679.75,2684.125,2664.375,4.375,15.375,3.5142857142857142,0.55,"['wddrb_mid_sigma', 'model_down_bias']"
1514880000,2018-01-02 03:00:00,ES,OR,wddrb_sigma_distribution,short,2679.25,2684.125,2664.375,4.875,14.875,3.051282051282051,0.6,['wddrb_mid_sigma']
1514880000,2018-01-02 03:00:00,ES,OR,model_forward,short,2679.25,2694.0,2664.375,14.75,14.875,1.0084745762711864,0.6,['model_down_bias']
1514883600,2018-01-02 04:00:00,ES,OS,model_forward,long,2678.0,2684.125,2694.0,6.125,16.0,2.6122448979591835,0.65,"['model_up_bias', 'model_up_bias']"
1514883600,2018-01-02 04:00:00,ES,OS,wddrb_sigma_distribution,short,2678.0,2684.125,2664.375,6.125,13.625,2.2244897959183674,0.55,"['wddrb_mid_sigma', 'model_down_bias']"
1514903400,2018-01-02 09:30:00,ES,RR,range_pre_break_hold,long,2682.75,2681.5,2684.5,1.25,1.75,1.4,0.6000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_weekly']"
1514903400,2018-01-02 09:30:00,ES,RR,wddrb_sigma_distribution,long,2682.75,2684.875,2687.25,2.125,4.5,2.1176470588235294,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']"
1514904900,2018-01-02 09:55:00,ES,RR,cluster_rejection_fade,short,2687.5,2684.75,2678.75,2.75,8.75,3.1818181818181817,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']"
1514904900,2018-01-02 09:55:00,ES,RR,range_post_break_pullback,long,2687.5,2681.75,2693.75,5.75,6.25,1.0869565217391304,0.6000000000000001,"['pullback_first_high', 'post_break', 'model_up_bias', 'cluster_near_darkpool']"
1514907000,2018-01-02 10:30:00,ES,RS,wddrb_sigma_distribution,long,2691.5,2687.0,2692.25,4.5,0.75,0.16666666666666666,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']"
1514907000,2018-01-02 10:30:00,ES,RS,model_forward,long,2691.5,2687.0,2692.25,4.5,0.75,0.16666666666666666,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']"
1514911200,2018-01-02 11:40:00,ES,RS,range_post_break_pullback,long,2688.25,2681.75,2702.75,6.5,14.5,2.230769230769231,0.65,"['pullback_first_high', 'post_break', 'model_up_bias']"
1514911200,2018-01-02 11:40:00,ES,RS,wddrb_sigma_distribution,long,2688.25,2686.25,2692.25,2.0,4.0,2.0,0.65,"['wddrb_mid_sigma', 'model_up_bias']"
1515457800,2018-01-08 19:30:00,ES,AR,range_pre_break_hold,short,2747.0,2748.25,2746.25,1.25,0.75,0.6,0.6000000000000001,"['near_first_high', 'pre_break', 'cluster_near_darkpool']"
1515457800,2018-01-08 19:30:00,ES,AR,range_pre_break_hold,long,2747.0,2745.75,2748.25,1.25,1.25,1.0,0.6000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_darkpool']"
1515461400,2018-01-08 20:30:00,ES,AS,range_post_break_pullback,long,2746.75,2737.0,2760.0,9.75,13.25,1.358974358974359,0.7000000000000001,"['pullback_first_high', 'post_break', 'model_up_bias', 'cluster_near_darkpool']"
1515461400,2018-01-08 20:30:00,ES,AS,model_forward,long,2746.75,2742.75,2748.5,4.0,1.75,0.4375,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_darkpool']"
1515484800,2018-01-09 03:00:00,ES,OR,range_pre_break_hold,short,2746.25,2748.0,2745.25,1.75,1.0,0.5714285714285714,0.65,"['near_first_high', 'pre_break', 'cluster_near_darkpool']"
1515484800,2018-01-09 03:00:00,ES,OR,wddrb_sigma_distribution,short,2746.25,2742.75,2731.25,3.5,15.0,4.285714285714286,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']"
1515488400,2018-01-09 04:00:00,ES,OS,wddrb_sigma_distribution,long,2749.0,2742.75,2748.5,6.25,0.5,0.08,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']"
1515488400,2018-01-09 04:00:00,ES,OS,model_forward,long,2749.0,2742.75,2748.5,6.25,0.5,0.08,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']"
1515489300,2018-01-09 04:15:00,ES,OS,wddrb_sigma_distribution,long,2748.0,2742.75,2748.5,5.25,0.5,0.09523809523809523,0.7000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']"
1515489300,2018-01-09 04:15:00,ES,OS,model_forward,long,2748.0,2742.75,2748.5,5.25,0.5,0.09523809523809523,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']"
1515497700,2018-01-09 06:35:00,ES,OS,wddrb_sigma_distribution,long,2746.75,2742.75,2748.5,4.0,1.75,0.4375,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_darkpool']"
1515497700,2018-01-09 06:35:00,ES,OS,model_forward,long,2746.75,2742.75,2748.5,4.0,1.75,0.4375,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_darkpool']"
1515508200,2018-01-09 09:30:00,ES,RR,wddrb_sigma_distribution,long,2753.0,2751.0,2753.5,2.0,0.5,0.25,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']"
1515508200,2018-01-09 09:30:00,ES,RR,model_forward,long,2753.0,2751.0,2753.5,2.0,0.5,0.25,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']"
1515509400,2018-01-09 09:50:00,ES,RR,wddrb_sigma_distribution,long,2750.25,2748.25,2753.5,2.0,3.25,1.625,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']"
1515509400,2018-01-09 09:50:00,ES,RR,model_forward,long,2750.25,2748.25,2753.5,2.0,3.25,1.625,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']"
1515511800,2018-01-09 10:30:00,ES,RS,wddrb_sigma_distribution,long,2752.5,2750.5,2753.75,2.0,1.25,0.625,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']"
1515511800,2018-01-09 10:30:00,ES,RS,model_forward,long,2752.5,2750.5,2753.75,2.0,1.25,0.625,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']"
1515512400,2018-01-09 10:40:00,ES,RS,range_post_break_pullback,short,2750.75,2754.5,2749.25,3.75,1.5,0.4,0.55,"['pullback_first_low', 'post_break', 'model_down_bias']"
1515512400,2018-01-09 10:40:00,ES,RS,wddrb_sigma_distribution,long,2750.75,2748.75,2753.75,2.0,3.0,1.5,0.55,"['wddrb_mid_sigma', 'model_up_bias']"
1516062600,2018-01-15 19:30:00,ES,AR,range_pre_break_hold,short,2792.25,2793.75,2792.0,1.5,0.25,0.16666666666666666,0.5,"['near_first_high', 'pre_break']"
1516062600,2018-01-15 19:30:00,ES,AR,range_pre_break_hold,long,2792.25,2791.0,2793.0,1.25,0.75,0.6,0.5,"['near_first_low', 'pre_break']"
1516066200,2018-01-15 20:30:00,ES,AS,range_post_break_pullback,long,2793.25,2791.25,2799.5,2.0,6.25,3.125,0.65,"['pullback_first_high', 'post_break', 'cluster_near_darkpool']"
1516066200,2018-01-15 20:30:00,ES,AS,wddrb_sigma_distribution,long,2793.25,2791.25,2796.0,2.0,2.75,1.375,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']"
1516113000,2018-01-16 09:30:00,ES,RR,wddrb_sigma_distribution,long,2802.75,2800.75,2803.25,2.0,0.5,0.25,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']"
1516113000,2018-01-16 09:30:00,ES,RR,model_forward,long,2802.75,2800.75,2803.25,2.0,0.5,0.25,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']"
1516116600,2018-01-16 10:30:00,ES,RS,wddrb_sigma_distribution,long,2801.0,2804.375,2808.5,3.375,7.5,2.2222222222222223,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']"
1516116600,2018-01-16 10:30:00,ES,RS,model_forward,long,2801.0,2804.375,2808.5,3.375,7.5,2.2222222222222223,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']"
1516667400,2018-01-22 19:30:00,ES,AR,range_pre_break_hold,long,2834.75,2833.5,2835.5,1.25,0.75,0.6,0.55,"['near_first_low', 'pre_break', 'model_up_bias']"
1516667400,2018-01-22 19:30:00,ES,AR,wddrb_sigma_distribution,long,2834.75,2822.375,2835.5,12.375,0.75,0.06060606060606061,0.55,"['wddrb_mid_sigma', 'model_up_bias']"
1516671000,2018-01-22 20:30:00,ES,AS,wddrb_sigma_distribution,long,2837.0,2822.375,2835.5,14.625,1.5,0.10256410256410256,0.55,"['wddrb_mid_sigma', 'model_up_bias']"
1516671000,2018-01-22 20:30:00,ES,AS,model_forward,long,2837.0,2822.375,2835.5,14.625,1.5,0.10256410256410256,0.55,"['model_up_bias', 'model_up_bias']"
1516684200,2018-01-23 00:10:00,ES,AS,wddrb_sigma_distribution,long,2838.75,2822.375,2835.5,16.375,3.25,0.1984732824427481,0.55,"['wddrb_mid_sigma', 'model_up_bias']"
1516684200,2018-01-23 00:10:00,ES,AS,model_forward,long,2838.75,2822.375,2835.5,16.375,3.25,0.1984732824427481,0.55,"['model_up_bias', 'model_up_bias']"
1516684500,2018-01-23 00:15:00,ES,AS,wddrb_sigma_distribution,long,2839.25,2822.375,2835.5,16.875,3.75,0.2222222222222222,0.55,"['wddrb_mid_sigma', 'model_up_bias']"
1516684500,2018-01-23 00:15:00,ES,AS,model_forward,long,2839.25,2822.375,2835.5,16.875,3.75,0.2222222222222222,0.55,"['model_up_bias', 'model_up_bias']"
1516695600,2018-01-23 03:20:00,ES,OR,range_pre_break_hold,long,2840.75,2840.5,2841.0,0.25,0.25,1.0,0.55,"['near_first_low', 'pre_break', 'cluster_near_weekly']"
1516695600,2018-01-23 03:20:00,ES,OR,wddrb_sigma_distribution,long,2840.75,2822.375,2835.5,18.375,5.25,0.2857142857142857,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']"
1516698000,2018-01-23 04:00:00,ES,OS,model_forward,long,2840.5,2822.375,2835.5,18.125,5.0,0.27586206896551724,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']"
1516698000,2018-01-23 04:00:00,ES,OS,wddrb_sigma_distribution,short,2840.5,2822.375,2796.125,18.125,44.375,2.4482758620689653,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']"
1516717800,2018-01-23 09:30:00,ES,RR,range_pre_break_hold,short,2836.25,2838.25,2835.5,2.0,0.75,0.375,0.65,"['near_first_high', 'pre_break', 'model_down_bias']"
1516717800,2018-01-23 09:30:00,ES,RR,model_forward,short,2836.25,2838.25,2832.0,2.0,4.25,2.125,0.65,"['model_down_bias', 'model_down_bias']"
1516719300,2018-01-23 09:55:00,ES,RR,wddrb_sigma_distribution,long,2834.75,2836.75,2841.5,2.0,6.75,3.375,0.55,"['wddrb_mid_sigma', 'model_up_bias']"
1516719300,2018-01-23 09:55:00,ES,RR,model_forward,long,2834.75,2836.75,2841.5,2.0,6.75,3.375,0.55,"['model_up_bias', 'model_up_bias']"
1516721400,2018-01-23 10:30:00,ES,RS,wddrb_sigma_distribution,long,2838.5,2836.5,2841.5,2.0,3.0,1.5,0.55,"['wddrb_mid_sigma', 'model_up_bias']"
1516721400,2018-01-23 10:30:00,ES,RS,model_forward,long,2838.5,2836.5,2841.5,2.0,3.0,1.5,0.55,"['model_up_bias', 'model_up_bias']"
1516727400,2018-01-23 12:10:00,ES,RS,range_post_break_pullback,long,2838.25,2832.0,2857.5,6.25,19.25,3.08,0.55,"['pullback_first_high', 'post_break', 'model_up_bias']"
1516727400,2018-01-23 12:10:00,ES,RS,wddrb_sigma_distribution,long,2838.25,2836.25,2844.75,2.0,6.5,3.25,0.55,"['wddrb_mid_sigma', 'model_up_bias']"
1517272200,2018-01-29 19:30:00,ES,AR,range_pre_break_hold,short,2855.5,2857.0,2852.0,1.5,3.5,2.3333333333333335,0.55,"['near_first_high', 'pre_break', 'model_down_bias']"
1517272200,2018-01-29 19:30:00,ES,AR,range_pre_break_hold,long,2855.5,2854.5,2858.0,1.0,2.5,2.5,0.55,"['near_first_low', 'pre_break', 'model_up_bias']"
